Lower lip pit	HP:0000196
Dilated superficial abdominal veins	HP:0030168
Nail bed hemorrhage	HP:0030254
Impaired stimulus-induced skin wrinkling	HP:0030331
Erythematous papule	HP:0030350
Red-blue papule	HP:0030350
Urticarial plaque	HP:0030351
Sebaceous gland carcinoma	HP:0030410
Sebaceous carcinoma	HP:0030410
Cutaneous myxoma	HP:0030428
Pilomatrixoma	HP:0030434
Fibrofolliculomas	HP:0030436
Fibrofolliculoma	HP:0030436
Anaplastic carcinoma of the skin	HP:0030447
Merkel cell cancer of the skin	HP:0030447
Merkel cell skin cancer	HP:0030447
Neuroendocrine tumor of the skin	HP:0030447
Cutaneous APUDoma	HP:0030447
Neuroendocrine carcinoma of the skin	HP:0030447
Primary small cell carcinoma of the skin	HP:0030447
Primary undifferentiated carcinoma of the skin	HP:0030447
Macular telangiectasia	HP:0030503
Parafoveal telangiectasia	HP:0030503
Juxtafoveal telangiectasia	HP:0030503
Ash-leaf spot	HP:0030679
Ochronosis	HP:0030764
Platonychia	HP:0030803
Trachyonychia	HP:0030804
Absent lunulae	HP:0030805
Absent lunula	HP:0030805
Lunula absent	HP:0030805
Lunulae absent	HP:0030805
Fast-growing nails	HP:0030806
Abnormal nail growth	HP:0030807
Ragged cuticle	HP:0030808
Beaked nails	HP:0030817
Central nail canal	HP:0030818
Median nail dystrophy	HP:0030818
Upslanting nail	HP:0030819
Upward angulation of nail	HP:0030819
Ski jump nail	HP:0030819
Heliotrope rash of eyelid	HP:0030845
Pruritis on abdomen	HP:0030898
Pruritis on hand	HP:0030899
Itchy feet	HP:0030900
Itchy foot	HP:0030900
Pruritus on foot	HP:0030900
Pruritis on breast	HP:0030901
Eccrine syringofibroadenoma	HP:0031018
Syringofibroadenoma	HP:0031018
Acrosyringeal adenomatosis	HP:0031018
Eccrine syringofibroadenomatous hyperplasia	HP:0031018
Squamous Papilloma	HP:0031021
Oropharyngeal squamous papilloma	HP:0031022
Cylindroma	HP:0031024
Acral blistering	HP:0031045
Skin fissure	HP:0031057
Cracked skin	HP:0031057
Widened atrophic scar	HP:0031158
Erythema chronicum migrans	HP:0031180
Erythema migrans	HP:0031180
Necrolytic migratory erythema	HP:0031181
Superficial dermal perivascular inflammatory infiltrate	HP:0031190
Superficial perivascular inflammatory infiltrate	HP:0031190
Deep perivascular inflammatory infiltrate	HP:0031191
Deep dermal perivascular inflammatory infiltrate	HP:0031191
Neutrophilic infiltration of the skin	HP:0031234
Predominantly epidermal neutrophilic infiltrate	HP:0031235
Predominantly dermal neutrophilic infiltrate	HP:0031236
Itchy palm	HP:0031248
Palmar pruritus	HP:0031248
Malalignment of the great toenail	HP:0031282
Tufted hairs	HP:0031283
Flushing	HP:0031284
Abnormal perifollicular morphology	HP:0031285
Perifollicular erythema	HP:0031286
Basal cell papilloma	HP:0031287
Seborrheic verruca	HP:0031287
Seborrheic keratosis	HP:0031287
Senile wart	HP:0031287
Cobblestone-like hyperkeratosis	HP:0031288
White papule	HP:0031289
Tuberous xanthoma	HP:0031290
Ichthyosis follicularis	HP:0031291
Cutaneous abscess	HP:0031292
Skin abscess	HP:0031292
Digital pitting scar	HP:0031293
Cutaneous sclerotic plaque	HP:0031359
Yellow skin plaque	HP:0031360
Palpable purpura	HP:0031363
Ecchymoses	HP:0031364
Ecchymosis	HP:0031364
Flat purpura	HP:0031365
Macular purpura	HP:0031365
Poroma	HP:0031405
Herpetiform vesicles	HP:0031448
Lichenoid skin lesion	HP:0031452
Apocrine hidrocystoma	HP:0031454
Genital blistering	HP:0031464
Abnormal cutaneous collagen fibril morphology	HP:0031512
Luse bodies	HP:0031513
Verruciform xanthoma	HP:0031517
Cauliflower deformity of dermal collagen fibrils	HP:0031519
Keratoacanthoma	HP:0031525
Abnormal dermoepidermal junction morphology	HP:0031538
Linear IgA deposits along the epidermal basement membrane zone	HP:0031539
Linear IgG deposits along the epidermal basement membrane zone	HP:0031540
Linear C3 deposits along the epidermal basement membrane zone	HP:0031541
Basal cell hamartoma with follicular differentiation	HP:0031548
Follicular infundibulum tumor	HP:0031548
Lymphocytoma cutis	HP:0031549
Spiegler-Fendt sarcoid	HP:0031549
Skin pseudolymphoma	HP:0031549
Brow ptosis	HP:0031623
Drooping brow	HP:0031623
Digital ulcer	HP:0031917
Rope sign	HP:0031924
Pruritus vulvae	HP:0032004
Maceration of the skin	HP:0032007
Maceration	HP:0032007
Skin maceration	HP:0032007
Eosinophilic dermatitis	HP:0032022
Eosinophilic dermal infiltration	HP:0032022
Anetoderma	HP:0032026
Perioral radial furrowing	HP:0032099
Keratosis pilaris	HP:0032152
Skin sloughing	HP:0032156
Skin detachment	HP:0032156
Detached skin	HP:0032156
Epidermal detachment	HP:0032156
Unusual skin infection	HP:0032162
Molluscum contagiosum	HP:0032163
Flaky paint skin appearance	HP:0032178
Flaky paint dermatosis	HP:0032178
Disseminated molluscum contagiosum	HP:0032185
Disseminated cutaneous warts	HP:0032215
Indurated nodule	HP:0032217
Perifollicular fibroma	HP:0032225
Abnormal sebaceous gland morphology	HP:0032226
Sebaceous hyperplasia	HP:0032227
Trichodiscoma	HP:0032228
Contact dermatitis	HP:0032282
Genital warts	HP:0032301
Frontotemporal hypertrichosis	HP:0032313
Ski-jump toenail	HP:0032344
Upslanting toenail	HP:0032344
Upturned toenail	HP:0032344
Sun allergy	HP:0032379
Polymorphous light eruption	HP:0032379
Hydroa vacciniforme	HP:0032381
Acute vesiculation and crusting and scarring following sun exposure	HP:0032381
Abnormal dermoepidermal hemidesmosome morphology	HP:0032449
Tiger-tail banding	HP:0032461
Monilethrix	HP:0032470
Abnormal terminal:vellus ratio	HP:0032495
Elevated terminal:vellus ratio	HP:0032496
Reduced terminal:vellus ratio	HP:0032497
Deep dermatophytosis	HP:0032515
Invasive dermatophyte infection	HP:0032516
Majocchi's granuloma	HP:0032517
Disseminated dermatophytosis	HP:0032518
Pretibial dimple	HP:0032538
Knuckle pads on dorsal aspect of finger joints	HP:0032541
Knuckle pad	HP:0032541
Circumoral cyanosis	HP:0032556
Lack of skin coloring on chest	HP:0040007
Absent pigmentation of chest	HP:0040007
Hyperparakeratosis	HP:0040009
Onychogryposis of fingernail	HP:0040036
Overgrowth and curving of fingernail	HP:0040036
Onycholysis of fingernails	HP:0040039
Detachment of fingernails	HP:0040039
Onycholysis of fingernail	HP:0040039
Toenail onycholysis	HP:0040040
Onycholysis of toenails	HP:0040040
Detachment of toenails	HP:0040040
Absent eccrine sweat glands	HP:0040042
Aplasia of the eccrine sweat glands	HP:0040042
Underdeveloped major sweat glands	HP:0040043
Hypoplasia of the eccrine sweat glands	HP:0040043
Partial absence of upper eyelashes	HP:0040050
Sparse upper eyelashes	HP:0040050
Hypotrichosis of upper eyelashes	HP:0040050
Abnormality of upper eyelashes	HP:0040051
Abnormality of lower eyelashes	HP:0040052
Ciliary trichomegaly of lower eyelashes	HP:0040053
Increased length of lower eyelashes	HP:0040053
Long lower eyelashes	HP:0040053
Short upper eyelashes	HP:0040054
Decreased length of upper eyelashes	HP:0040054
Decreased length of lower eyelashes	HP:0040055
Short lower eyelashes	HP:0040055
Aplasia of upper eyelashes	HP:0040056
Atrichia of upper eyelashes	HP:0040056
Absent upper eyelashes	HP:0040056
Failure of development of upper eyelashes	HP:0040056
Agenesis of upper eyelashes	HP:0040056
Abnormality of nasal hair	HP:0040057
Abnormality of nose hair	HP:0040057
Basalioma of the outer ear	HP:0040098
Comedogenic acne	HP:0040137
Comedonal acne	HP:0040137
Kinky scalp hair texture	HP:0040149
Afro-textured scalp hair	HP:0040149
Nappy scalp hair texture	HP:0040149
Woolly scalp hair	HP:0040149
Pyoderma fistulans significa	HP:0040154
Smoker's boils	HP:0040154
Verneuil's disease	HP:0040154
Acne inversa	HP:0040154
Hidradenitis suppurativa	HP:0040154
Orthokeratosis	HP:0040162
Facial wart	HP:0040167
Facial verruca	HP:0040167
Facial papilloma	HP:0040167
Loose anagen hair	HP:0040169
Abnormality of hair growth	HP:0040170
Hyperkeratosis pilaris	HP:0040180
Maculopapular exanthema	HP:0040186
flaking skin	HP:0040189
Desquamation	HP:0040189
peeling skin	HP:0040189
Scaling skin	HP:0040189
scaly skin	HP:0040189
White scaly skin	HP:0040190
White scaling skin	HP:0040190
Abnormality of the skin of the palm	HP:0040211
Hand dimple	HP:0040251
Hand dimples	HP:0040251
Abnormal location of the eyebrow	HP:0040296
Abnormally placed eyebrows	HP:0040296
Abnormal location of eyebrows	HP:0040296
Erythema of eyelid	HP:0040323
Eyelid erythema	HP:0040323
Erythema of the eyelids	HP:0040323
Heliotrope erythema	HP:0040324
Heliotrope rash	HP:0040324
Bull's eye rash	HP:0040325
Partial double eyebrow	HP:0045018
Partial duplication of eyebrows	HP:0045018
Tiger tail banding	HP:0045055
Hyperkeratotic papule	HP:0045059
Thin eyebrow	HP:0045074
Thin eyebrows	HP:0045074
Sparse eyebrow	HP:0045075
Hypotrichosis of eyebrow	HP:0045075
Sparse eyebrows	HP:0045075
Abnormality of the scalp hair	HP:0100037
Slow-growing scalp hair	HP:0100038
Abnormality of the pubic hair	HP:0100133
Abnormality of the axillary hair	HP:0100134
Lip pit	HP:0100267
Upper lip pit	HP:0100268
Paramedian lip pit	HP:0100269
Paramedian labial pits	HP:0100269
Skin pits	HP:0100276
Skin pit	HP:0100276
Pits around the ear	HP:0100277
Periauricular fistulas	HP:0100277
Periauricular earpits	HP:0100277
Periauricular pits	HP:0100277
Periauricular skin pits	HP:0100277
Periauricular sinus	HP:0100277
Progressive systemic scleroderma	HP:0100324
Pseudoscleroderma	HP:0100324
Scleroderma	HP:0100324
Mucosal telangiectasiae	HP:0100579
Teleangiectasia of the skin	HP:0100585
Telangiectasia of the skin	HP:0100585
Abnormality of nail color	HP:0100643
Abnormality of nail colour	HP:0100643
Nail dyschromia	HP:0100643
Melanonychia	HP:0100644
Angioedema	HP:0100665
Angioneurotic oedema	HP:0100665
Angiooedema	HP:0100665
Quincke edema	HP:0100665
Wrinkled skin	HP:0100678
Premature skin wrinkling	HP:0100678
Tight skin	HP:0100679
Lack of skin elasticity	HP:0100679
Subcutaneous neurofibromas	HP:0100698
Lichenification	HP:0100725
Kaposi's sarcoma	HP:0100726
Nikolsky's sign	HP:0100792
Acantholysis	HP:0100792
Toenail dysplasia	HP:0100797
Abnormal toenail development	HP:0100797
Dysplastic toenails	HP:0100797
Dysplastic fingernails	HP:0100798
Fingernail dysplasia	HP:0100798
Abnormal fingernail development	HP:0100798
Abnormality of the periungual region	HP:0100803
Koenen tumor	HP:0100804
Koenen's tumor	HP:0100804
Ungual fibroma	HP:0100804
Periungual fibroma	HP:0100804
Parungual fibromas	HP:0100804
Congenital dermal melanocytosis	HP:0100814
Blue nevus	HP:0100814
Mongolian spot	HP:0100814
Increased pigmentation on the lips	HP:0100816
Hyperpigmentation of lip vermillion	HP:0100816
Lip hyperpigmentation	HP:0100816
Darkening of skin of the lips	HP:0100816
Neoplasm of the nail	HP:0100826
Nail tumor	HP:0100826
Atrophodermia vermiculata	HP:0100837
Vermiculata atrophoderma	HP:0100837
Recurrent cutaneous abscess formation	HP:0100838
Absence of eyebrow	HP:0100840
Aplasia/Hypoplasia of the eyebrow	HP:0100840
Sparse to absent eyebrows	HP:0100840
Sparse or absent eyebrows	HP:0100840
Lack of eyebrow	HP:0100840
Agenesis of eyebrow	HP:0100840
Hypotrophic eyebrow	HP:0100840
Sparse/absent eyebrows	HP:0100840
Missing eyebrow	HP:0100840
Palmoplantar pustulosis	HP:0100847
Pustulosis palmaris et plantaris	HP:0100847
Palmoplantar pustules	HP:0100847
Pustulosis of palms and soles	HP:0100847
Palmar telangiectasia	HP:0100869
Teleangiectases of palms	HP:0100869
Telangiectases of palms and soles	HP:0100869
Plantar teleangiectasia	HP:0100870
Teleangiectases of soles	HP:0100870
Telangiectases of soles	HP:0100870
Plantar telangiectasia	HP:0100870
Abnormality of the plantar skin of foot	HP:0100872
Minor feet anomalies	HP:0100872
Increased follicular density	HP:0100874
Thick hair	HP:0100874
Increased hair density	HP:0100874
Vein of servelle	HP:0100885
Lateral venous anomaly	HP:0100885
Lateral marginal vein of Servelle	HP:0100885
Interdigital loops	HP:0100888
Connective tissue nevi	HP:0100898
Symmetric great toe depigmentation	HP:0200015
Acral keratosis	HP:0200016
Acrokeratosis	HP:0200016
Choroid plexus papilloma	HP:0200022
Graves dermopathy	HP:0200028
Pretibial myxedema	HP:0200028
Vasculitis in the skin	HP:0200029
Cutaneous vasculitis	HP:0200029
Punctate vasculitis skin lesions	HP:0200030
Skin papules	HP:0200034
Papule	HP:0200034
Papules	HP:0200034
Skin plaque	HP:0200035
Growth of abnormal tissue on or under the skin	HP:0200036
Skin nodule	HP:0200036
Skin vesicle	HP:0200037
Blister	HP:0200037
Pimple	HP:0200039
Pustule	HP:0200039
Pustula	HP:0200039
Skin pustules	HP:0200039
Skin pustule	HP:0200039
Pustules	HP:0200039
Epidermoid cysts	HP:0200040
Skin cyst	HP:0200040
Epidermal cyst	HP:0200040
Epidermoid cyst	HP:0200040
Sebaceous cyst	HP:0200040
Epidermal inclusion cyst	HP:0200040
Keratin cyst	HP:0200040
Infundibular cyst	HP:0200040
Skin erosion	HP:0200041
Open skin sore	HP:0200042
Skin ulcer	HP:0200042
Warts	HP:0200043
Verrucae	HP:0200043
Porokeratosis	HP:0200044
Cyanotic episode	HP:0200048
Oral blistering	HP:0200097
Oral mucosal blisters	HP:0200097
Blebs of oral mucosa	HP:0200097
Blisters of mouth	HP:0200097
Oral mucosa blisters	HP:0200097
Bullae of oral mucosa	HP:0200097
Absent skin pigmentation	HP:0200098
Lack of skin coloration	HP:0200098
Partial to total absence of eyelashes	HP:0200102
Sparse to absent eyelashes	HP:0200102
Sparse or absent eyelashes	HP:0200102
Absent fifth fingernail	HP:0200104
Absent nail of fifth finger	HP:0200104
Absent fifth toenail	HP:0200105
Missing fifth toenail	HP:0200105
Cutaneous mastocytosis	HP:0200151
Chronic spontaneous urticaria	HP:0410133
CSU	HP:0410133
Chronic idiopathic urticaria	HP:0410133
CIU	HP:0410133
Physical urticaria	HP:0410134
Cold urticaria	HP:0410135
Aquagenic urticaria	HP:0410136
Solar urticaria	HP:0410137
Vibratory urticaria	HP:0410138
Absent sebaceous glands	HP:0410400
Absence of sebaceous glands	HP:0410400
Ectopic cilia of eyelid	HP:0430006
Atrichia	HP:0500262
Proximal scleroderma	HP:0550003
Flat wart	HP:0550004
Verruca plana	HP:0550004
Abnormality of platysma	HP:3000013
Abnormality of the platysma muscle	HP:3000013
Corneal astigmatism	None
Photoreceptor layer loss on macular OCT	None
Blue sclera	None
Blue outer white part of eyeball	None
Blue sclerae	None
Bluish sclerae	None
Whites of eyes are a bluish-gray color	None
Congenital night blindness	None
Night blindness, congenital stationary	None
Night blindness, congenital stationary, complete	None
Night blindness, stationary	None
Night blindness, congenital	None
Congenital stationary night blindness	None
Static congenital hemeralopia	None
Night blindness since birth	None
Iris hypopigmentation	None
Reduced iris pigmentation	None
Light eye color	None
Best corrected visual acuity 0.7 LogMAR	None
Best corrected visual acuity 1.1 LogMAR	None
Poor visual behavior for age	None
Poor visual behaviour for age	None
Abnormal visual behaviour for age	None
Abnormal visual behavior for age	None
Lateral rectus muscle underaction	None
Impaired ocular abduction	None
Optic nerve tram-track sign	None
Moderate constriction of peripheral visual field	None
Moderate peripheral visual field loss	None
Difficulty adjusting from light to dark	None
Visual gaze preference	None
Aniridia	None
Absent iris	None
Heterotropia	None
Corneolenticular adhesion	None
Anterior chamber flare grade 3+	None
Retinal capillary hemangioma	None
Retinal hemangioblastoma	None
Abnormal pupillary function	None
Corneal clouding	None
Corneal opacity	None
Corneal opacities	None
Scarring or clouding of the cornea of the eye	None
Reduction of corneal clarity	None
Incomplete congenital stationary night blindness	None
Corneal endothelial guttata	None
Corneal guttata	None
Rod-cone dystrophy	None
Retinitis pigmentosa	None
Rod cone dystrophy	None
Foveal degeneration	None
Dilated choroidal vessels	None
Dilatation of large choroidal vessels	None
Mild reduction in visual acuity	None
Mildly reduced visual acuity	None
Mild vision loss	None
Mild visual loss	None
Horizontal incomitant strabismus	None
Abnormal superior rectus muscle physiology	None
Irregular central macular autofluorescence	None
Pinhole visual acuity 0.8 LogMAR	None
Peripheral retinal detachment	None
Intraretinal hemorrhage	None
Pinhole visual acuity 0.1 LogMAR	None
Abnormal choroid morphology	None
Choroid disease	None
Abnormality of the choroid	None
Latent myopia	None
Superior oblique muscle underaction	None
Under-depression in adduction	None
Paravenous chorioretinal atrophy	None
Corneal inflammation	None
Keratitis	None
Abnormality of pattern onset/offset VEP	None
Abnormality of pattern onset/offset visual evoked potentials	None
Abnormal dark-adapted bright flash electroretinogram	None
Reticular retinal dystrophy	None
Retinal arterial macroaneurysms	None
Temporal optic disc pallor	None
Ultra-low vision with retained light perception	None
Mild hypermetropia	None
Mild hyperopia	None
Dendritic corneal epithelial ulcer	None
Herpetiform corneal ulcers	None
Herpetiform corneal ulceration	None
Increased corneal thickness	None
Alternating esotropia	None
Alternating cross eyes	None
Progressive drooping of upper eyelid	None
Progressive ptosis	None
Absent retina	None
Aplasia of the retina	None
Anterior chamber inflammatory cells	None
Slowly progressive visual loss	None
Progressive visual loss	None
Vision loss, progressive	None
Progressive vision loss	None
Decreased visual acuity, progressive	None
Progressive loss of vision	None
Loss of visual acuity	None
Progressive visual acuity loss	None
Visual loss, progressive	None
Progressive visual impairment	None
Sunken eye	None
Sunken eyes	None
Enophthalmos	None
Deeply set eye	None
Ocular depression	None
Deep-set eyes	None
Deep set eye	None
Anterior chamber flare	None
Optically empty vitreous	None
Myopic astigmatism	None
Perifoveal ring of hyperautofluorescence surrounded by normal autofluorescence	None
Patchy atrophy of the retinal pigment epithelium	None
Unaided visual acuity 1.3 LogMAR	None
Abnormal morphology of the posterior segment of the globe	None
Abnormality of the posterior segment of the eye	None
Abnormality of the posterior segment of the globe	None
Abnormal posterior eye segment morphology	None
Abnormality of the posterior segment of the eyeball	None
Ectropion uveae	None
Uveal ectropion	None
Defective or absent horizontal voluntary eye movements	None
Ocular motor apraxia	None
Oculomotor apraxia	None
Lens subluxation	None
Partially dislocated lens	None
Retrobulbar optic neuritis	None
Retrobulbar neuritis	None
Long-sightedness	None
Hyperopia	None
Farsightedness	None
Hypermetropia	None
Lens agenesis	None
Congenital aphakia	None
Hypoplasia of the fovea	None
Dull foveal reflex	None
Foveal hypoplasia	None
Basic (constant) exotropia	None
Basic constant exotropia	None
Dilated pupil	None
Mydriasis	None
Iridocorneal synechia	None
Anterior synechiae of the anterior chamber	None
Cornea-iris adhesion	None
Anterior synechiae	None
Macular schisis	None
Low intraocular pressure	None
Ocular hypotony	None
Thinning of Descemet membrane	None
Excyclophoria	None
non-detectable photopic ERG	None
Undetectable light-adapted electroretinogram	None
Absent photopic (cone) responses on ERG	None
Rieger anomaly	None
Increased OCT-measured macular thickness	None
Anterior chamber cells grade 1+	None
Anterior staphyloma	None
Restrictive partial external ophthalmoplegia	None
Unaided visual acuity 2.0 LogMAR	None
Constricted visual field	None
Constriction of peripheral visual field	None
Limited peripheral vision	None
Concentric narrowing of visual field	None
Visual field constriction	None
Constricted visual fields	None
Progressive night blindness	None
Retinopathy of prematurity stage 5b	None
ROP stage 5b	None
Wasting of the outer part of the retina	None
Peripheral retinal atrophy	None
Coronary cataract	None
Seborrhoeic blepharitis	None
Underdeveloped iris dilator muscle	None
Hypoplasia of the pupil dilator muscle	None
Hypoplasia of the iris dilator muscle	None
Underdeveloped pupil dilator muscle	None
Abnormal Humphrey SITA 30-2 perimetry test	None
Impaired horizontal smooth pursuit	None
Impaired horizontal visual pursuit	None
Abnormal horizontal ocular pursuit	None
Sutural cataract	None
Subacute deterioration of visual acuity	None
Slow decrease in sharpness of vision	None
Slow decrease in visual acuity	None
Decreased visual acuity, slowly progressive	None
Drusen	None
Abnormal light-adapted flicker electroretinogram	None
Abnormal light-adapted flicker ERG	None
Abnormal light-adapted 30Hz flicker electroretinogram	None
Abnormal light-adapted 30Hz flicker ERG	None
Concomitant strabismus	None
Comitant strabismus	None
Blue-yellow dyschromatopsia	None
Blue/yellow color vision defect	None
Dyschromatopsia, blue-yellow	None
Tritanomaly	None
Blue yellow color blindness	None
Peripheral fixation	None
Multiple pupils	None
Polycoria	None
Ciliary zonule abnormality	None
Zonule of zinn abnormality	None
Abnormality of zinn's membrane	None
Abnormal suspensory ligament of lens morphology	None
Abnormality of the suspensory ligament of lens	None
Abnormal dark-adapted electroretinogram	None
Abnormal timing of pattern electroretinogram	None
Altitudinal visual field defect	None
Oblique astigmatism	None
Deep episcleral hyperemia	None
Deep episcleral hyperaemia	None
Iris nevus	None
Eye freckle	None
Multifocal sub-RPE deposits	None
Occult macular dystrophy	None
Abnormal rectus muscle physiology	None
Detached retina	None
Retinal detachment	None
Decreased corneal diameter	None
Cornea of eye less than 10mm in diameter	None
Microcornea	None
Chorioretinal degeneration	None
Coloboma of the macula	None
Macular coloboma	None
Vitreous inflammatory cells	None
True distance exotropia	None
Excyclotropia	None
Severely impaired vision	None
Severe visual impairment	None
Severe reduction in visual acuity	None
Marked vision impairment	None
Severely reduced visual acuity	None
Severe visual loss	None
Severe vision loss	None
Unaided visual acuity 3.0 LogMAR	None
Retinal pigment epithelial loss on macular OCT	None
Asteroid hyalosis	None
Abnormal Amsler grid test	None
Tapetal-like fundal reflex	None
Hypometric upward saccades	None
Decreased depth of eye sockets	None
Decreased depth of orbits	None
Shallow eye sockets	None
Shallow orbits	None
Small shallow orbits	None
Inferior oblique muscle weakness	None
Inferior oblique palsy	None
Nystagmus	None
Involuntary, rapid, rhythmic eye movements	None
Superior rectus muscle weakness	None
Serous retinal detachment	None
Exudative retinal detachment	None
Abnormal P50/N95 ratio of pattern electroretinogram	None
Retinal pigment epithelial atrophy	None
Basic constant esotropia	None
Basic (constant) esotropia	None
Abnormal anterior segment morphology	None
Abnormality of the anterior segment of the globe	None
Abnormal anterior eye segment morphology	None
Abnormality of the anterior segment of the eyeball	None
Abnormality of the anterior segment of the eye	None
Abolished electroretinogram	None
Undetectable ERG	None
Extinction of electroretinogram	None
Undetectable electroretinogram	None
Extinguished electroretinogram	None
No light-evoked response on electroretinogram	None
Absent electroretinogram	None
Blind spot located at fixation point	None
Central blind spot	None
Central scotomata	None
Central scotoma	None
Congenital miosis	None
Retinopathy of prematurity prethreshold	None
ROP prethreshold	None
Duane anomaly	None
Globe retraction and deviation on adduction	None
Limited eye movement from Duane anomaly	None
Limited eye motility from Duane anomaly	None
Pigmentation of the outer white part of the eyeball	None
Pigmentation of the sclera	None
Constricted pupils	None
Pupillary constriction	None
Miosis	None
Mittendorf dot	None
Glial remnants posterior to lens	None
Abnormal morphology of the choroidal vasculature	None
ROP pre-plus	None
Retinopathy of prematurity pre-plus	None
Abnormal timing of light-adapted single flash electroretinogram	None
Epiphora	None
Tearing	None
Increased lacrimation	None
Watery eyes	None
Increased tears	None
Abnormal saccadic eye movements	None
Abnormality of saccadic eye movements	None
Impaired saccades	None
Very severe constriction of peripheral visual field	None
Very severe peripheral visual field loss	None
Global paralysis of gaze	None
Total ophthalmoplegia	None
Complete ophthalmoplegia	None
Total internal and external ophthalmoplegia	None
Large central visual field defect	None
Large central loss of field of vision	None
Convergence excess esotropia	None
Arc-shaped blind spot	None
Arcuate scotoma	None
Divergent strabismus	None
Exodeviation	None
Hyphema	None
Abnormal posterior segment imaging	None
Posterior capsular cataract	None
Pigmentary retinal deposits	None
Pigmentary retinopathy	None
Retinal pigmentary degeneration	None
Retinal pigment clumping	None
Abnormal Vistech contrast sensitivity test	None
Macular drusen	None
Lipid accumulation in macula	None
Abnormal vitreous humor morphology	None
Cortical cataract	None
Posterior retinal neovascularization	None
Neovascularization of peripheral and posterior retina	None
Posterior retinal neovascularisation	None
Medial rectus muscle overaction	None
Visual acuity light perception without projection	None
Benign eye tumor	None
Epibulbar dermoids	None
Epibulbar dermoid	None
Limbal dermoid	None
Marcus Gunn jaw-winking syndrome	None
Pterygoid-levator synkinesis	None
Marcus Gunn jaw winking synkinesis	None
Trigemino-oculomotor synkinesis	None
Lentiglobus	None
Bulging of eye lens	None
Dark choroid	None
Abnormality of fundus pigmentation	None
Abnormal timing of light-adapted flicker electroretinogram	None
Punctate corneal dystrophy	None
Deep anterior chamber	None
Prominent corneal nerve fibers	None
Visible corneal nerve fibers	None
Epiretinal membranes	None
Premacular fibrosis	None
Epiretinal membrane	None
Macular pucker	None
Ectopic macula	None
Ectopic fovea	None
Anterior uveitis	None
Abnormally prominent line of Schwalbe	None
Prominent Schwalbe lines	None
Congenital retinal non-attachment	None
Retinal nonattachment	None
Abnormal visual field test	None
Abnormality of the iris	None
Abnormality iris morphology	None
Retinal neoplasm	None
Vertical gaze palsy	None
Vertical supranuclear gaze palsy	None
Corneal annulus	None
Corneal arcus	None
Gerontoxon	None
Arcus senilis	None
Arcus juvenilis	None
Anterior embryotoxon	None
Arcus lipoidis	None
Double depressor palsy	None
Retinoblastoma	None
Retina tumor	None
Chronic irritative conjunctivitis	None
Saccular conjunctival dilatations	None
Saccular conjunctival aneurysms	None
Adult-onset night blindness	None
Dysmetric horizontal saccades	None
Abnormal paracentral response of multifocal electroretinogram	None
Supernormal dark-adapted bright flash electroretinogram b-wave	None
Pseudoexfoliation	None
Nonprogressive restrictive external ophthalmoplegia	None
Fasciculiform cataract	None
Aculeiform cataract	None
Needle-shaped cataract	None
Frosted cataract	None
Sub-ILM hemorrhage	None
Sub-inner limiting membrane hemorrhage	None
Sub-inner limiting membrane haemorrhage	None
Sub-ILM haemorrhage	None
Convergent strabismus	None
Esodeviation	None
Mildly reduced contrast sensitivity	None
Mild reduction in contrast sensitivity	None
Corneal erosion	None
Damage to outer layer of the cornea of the eye	None
Vitelliform macular lesions	None
Vitelliform-like macular lesions	None
Vitelliform macular dystrophy	None
Abnormal pattern electroretinogram	None
Pinhole visual acuity 1.1 LogMAR	None
Abnormal timing of pattern reversal visual evoked potentials	None
Intestinal lymphedema	None
Abnormality of the pylorus	None
Intestinal pseudo-obstruction	None
Intestinal pseudoobstruction	None
Gastric diverticulum	None
Stomach diverticulum	None
Absent abdominal musculature	None
Aplasia of the abdominal wall musculature	None
Neonatal intestinal obstruction	None
Posteriorly placed anus	None
Small intestinal polyp	None
Hypoganglionosis	None
Hepatic granulomatosis	None
Absent/underdeveloped abdominal wall muscles	None
Aplasia/Hypoplasia of the abdominal wall musculature	None
Absent/small abdominal wall muscles	None
Colon diverticula	None
Colonic diverticula	None
Colonic diverticulosis	None
Supernumerary spleens	None
Extra spleen	None
Malrotation of small bowel	None
Malrotation of the small intestine	None
Mixed cirrhosis	None
Pelvic mass	None
Narrowing of anal opening	None
Anal stenosis	None
Increased incidence of hepatocellular carcinoma	None
Increased hepatocellular carcinoma risk	None
Hepatocellular carcinoma	None
Fecal urgency	None
Bowel urgency	None
Gastric hypertrophy	None
Increased stomach size	None
Fatal liver failure in infancy	None
Birth defect in which part of esophagus did not develop	None
Esophageal atresia	None
Pancreatic dysplasia	None
Hemobilia	None
Haemobilia	None
Stomach inflammation	None
Gastritis	None
Liver abscess	None
Hepatic abscess	None
Pancreatic fibrosis	None
Rectal arteriovenous malformation	None
Pancreatic squamous cell carcinoma	None
Squamous cell carcinoma of the pancreas	None
Thoracoabdominal wall defect	None
Thoracoabdominal schisis	None
Asplenia	None
Absent spleen	None
Periportal emperipolesis	None
Colonic stenosis	None
Narrowing of the colon	None
Stenosis of the colon	None
Intrahepatic bile duct cysts	None
Malformation of the hepatic ductal plate	None
Juvenile GI polyposis	None
Juvenile gastrointestinal polyposis	None
Liver cell adenoma	None
Hepatic adenoma	None
Hepatocellular adenoma	None
Chronic colitis	None
Pancreatitis, acute	None
Acute pancreatitis	None
