Abnormality of body height	HP:0000002
Lingual twitching	HP:0001308
Lingual fibrillations	HP:0001308
Twitching of the tongue	HP:0001308
Lack of coordination of movement	HP:0001310
Abnormal finger-nose-finger test	HP:0001310
Abnormal finger chase test	HP:0001310
Dysmetria	HP:0001310
Neurophysiologic abnormality	HP:0001311
Abnormal nervous system electrophysiology	HP:0001311
Neurophysiologic abnormalities	HP:0001311
Giant somatosensory evoked potentials	HP:0001312
Giant SEPS	HP:0001312
Impaired tendon reflexes	HP:0001315
Diminished or absent tendon reflexes	HP:0001315
Decreased to absent deep tendon reflexes	HP:0001315
Decreased/absent deep tendon reflexes	HP:0001315
Diminished deep tendon reflexes	HP:0001315
Decreased deep tendon reflexes	HP:0001315
Hypoactive to absent deep tendon reflexes	HP:0001315
Reduced/absent deep tendon reflexes	HP:0001315
Diminished or absent deep tendon reflexes	HP:0001315
Decreased tendon reflexes	HP:0001315
Depressed tendon reflexes	HP:0001315
Absent or decreased deep tendon reflexes	HP:0001315
Weak or absent deep tendon reflexes	HP:0001315
Reduced tendon reflexes	HP:0001315
Cerebellar anomaly	HP:0001317
Abnormality of the cerebellum	HP:0001317
Abnormal cerebellum morphology	HP:0001317
Cerebellar abnormalities	HP:0001317
Cerebellar signs	HP:0001317
Cerebellar abnormality	HP:0001317
Hypotonia, in neonatal onset	HP:0001319
Congenital hypotonia	HP:0001319
Low muscle tone, in neonatal onset	HP:0001319
Neonatal hypotonia	HP:0001319
Hypotonia, neonatal	HP:0001319
Cerebellar vermis hypoplasia	HP:0001320
Hypoplasia of the cerebellar vermis	HP:0001320
Hypoplastic cerebellar vermis	HP:0001320
Cerebellar vermal hypoplasia	HP:0001320
Underdeveloped cerebellum	HP:0001321
Cerebellar hypoplasia	HP:0001321
Hypoplastic cerebellum	HP:0001321
Small cerebellum	HP:0001321
Hypoplasia of cerebellum	HP:0001321
Congenital cerebellar hypoplasia	HP:0001321
Muscular weakness	HP:0001324
Muscle weakness	HP:0001324
Hypoglycemic coma	HP:0001325
Loss of consciousness due to hypoglycemia	HP:0001325
Coma caused by low blood sugar	HP:0001325
Coma, hypoglycemic	HP:0001325
Hypoglycaemic coma	HP:0001325
EEG with irregular generalized spike and wave complexes	HP:0001326
Photomyoclonic seizures	HP:0001327
Specific learning disability	HP:0001328
Absence of the septum pellucidum	HP:0001331
Missing septum pellucidum	HP:0001331
Absence of septum pellucidum	HP:0001331
Agenesis of the septum pellucidum	HP:0001331
Absent septum pellucidum	HP:0001331
Dystonic disease	HP:0001332
Dystonic movements	HP:0001332
Dystonia	HP:0001332
Communicating hydrocephalus	HP:0001334
Bimanual synkinesia	HP:0001335
Hand mirror movements	HP:0001335
Mirror movements	HP:0001335
Mirror hand movements	HP:0001335
Myoclonus	HP:0001336
Myoclonic jerks	HP:0001336
Involuntary jerking movements	HP:0001336
Jerking	HP:0001336
Tremor	HP:0001337
Tremors	HP:0001337
Partial or complete agenesis of corpus callosum	HP:0001338
Corpus callosum agenesis, partial	HP:0001338
Partial to complete agenesis of corpus callosum	HP:0001338
Partial corpus callosum agenesis	HP:0001338
Partial agenesis of corpus callosum	HP:0001338
Partial agenesis of the corpus callosum	HP:0001338
Partial-total agenesis of corpus callosum	HP:0001338
Partial or complete agenesis of the corpus callosum	HP:0001338
Fewer or absent grooves in brain	HP:0001339
Lissencephaly	HP:0001339
Enhancement of the C-reflex	HP:0001340
Olfactory lobe absence	HP:0001341
Olfactory lobe agenesis	HP:0001341
Hemorrhagic stroke	HP:0001342
Bleeding in brain	HP:0001342
Intracerebral hemorrhage	HP:0001342
Cerebral hemorrhage	HP:0001342
Kernicterus	HP:0001343
No speech or language development	HP:0001344
Nonverbal	HP:0001344
No speech development	HP:0001344
Absent speech development	HP:0001344
Lack of speech	HP:0001344
Absent speech	HP:0001344
Lack of language development	HP:0001344
Psychotic mentation	HP:0001345
Hyperreflexia	HP:0001347
Increased reflexes	HP:0001347
Increased deep tendon reflexes	HP:0001347
Brisk reflexes	HP:0001348
Facial paresis, bilateral	HP:0001349
Bilateral facial weakness	HP:0001349
Facial diplegia	HP:0001349
Slurred speech	HP:0001350
Jerk-locked premyoclonus spikes	HP:0001351
Megalencephaly	HP:0001355
Enlarged brain	HP:0001355
Macrencephaly	HP:0001355
Positional plagiocephaly	HP:0001357
Rhomboid shaped skull	HP:0001357
Asymmetry of the posterior head	HP:0001357
Flattening of cranial vault	HP:0001357
Flat head syndrome	HP:0001357
Rhomboid shaped head	HP:0001357
Asymmetry of the posterior skull	HP:0001357
Asymmetry of the posterior cranium	HP:0001357
Flat head	HP:0001357
Flattening of cranium	HP:0001357
Flattening of head	HP:0001357
Flattening of skull	HP:0001357
Rhomboid shaped cranium	HP:0001357
Plagiocephaly	HP:0001357
Deformational plagiocephaly	HP:0001357
Single brain ventricle	HP:0001360
Holoprosencephaly	HP:0001360
Nystagmus-induced head nodding	HP:0001361
Calvarial skull defect	HP:0001362
Cranial defect	HP:0001362
Skull defect	HP:0001362
Calvarial defect	HP:0001362
Craniosyostosis	HP:0001363
Premature closure of cranial sutures	HP:0001363
Premature suture closure	HP:0001363
Deformity of the skull	HP:0001363
Craniostenosis	HP:0001363
Premature fontanel closure	HP:0001363
Early fusion of cranial sutures	HP:0001363
Craniosynostosis	HP:0001363
Cranial suture synostosis	HP:0001363
Abnormal shape of joints	HP:0001367
Anomaly of the joints	HP:0001367
Joint disease	HP:0001367
Abnormal joint morphology	HP:0001367
Abnormality of the joints	HP:0001367
Joint inflammation	HP:0001369
Arthritis	HP:0001369
Rheumatoid arthritis	HP:0001370
RA	HP:0001370
Contracture	HP:0001371
Flexion contractures of joints	HP:0001371
Flexion contractures	HP:0001371
Contractures	HP:0001371
Joint contracture	HP:0001371
Flexion contracture	HP:0001371
Joint contractures	HP:0001371
Flexed joint that cannot be straightened	HP:0001371
Recurrent joint dislocations	HP:0001373
Joint dislocations	HP:0001373
Joint dislocation	HP:0001373
Congenital hip dislocation	HP:0001374
Congenital hip anomaly	HP:0001374
Congenital dislocation of the hip	HP:0001374
Congenital dislocation of the hips	HP:0001374
Congenital hip dislocations	HP:0001374
Dislocated hip since birth	HP:0001374
Decreased mobility of joints	HP:0001376
Decreased joint mobility	HP:0001376
Limitation of joint mobility	HP:0001376
Limited joint motion	HP:0001376
Limited joint mobility	HP:0001376
Limited elbow extension	HP:0001377
Decreased elbow extension	HP:0001377
Limited extension at elbows	HP:0001377
Limited forearm extension	HP:0001377
Elbow limited extension	HP:0001377
Limitation of elbow extension	HP:0001377
Restricted elbow extension	HP:0001377
Extensible joints	HP:0001382
Double-Jointed	HP:0001382
Joint hyperextensibility	HP:0001382
Hyperextensible joints	HP:0001382
Joint hypermobility	HP:0001382
Flexible joints	HP:0001382
Increased mobility of joints	HP:0001382
Abnormality of the hip joints	HP:0001384
Abnormality of the hip joint	HP:0001384
Hip dysplasia	HP:0001385
Congenital hip dysplasia	HP:0001385
Abnormal formation of the hip	HP:0001385
Joint swelling	HP:0001386
Stiff joint	HP:0001387
Joint stiffness	HP:0001387
Stiff joints	HP:0001387
Joint laxity	HP:0001388
Joint ligamentous laxity	HP:0001388
Loosejointedness	HP:0001388
Loose-jointedness	HP:0001388
Ligamentous laxity	HP:0001388
Hyperlaxity	HP:0001388
Lax joints	HP:0001388
Joint instability	HP:0001388
Abnormality of the liver	HP:0001392
Liver disease	HP:0001392
Abnormal liver	HP:0001392
Liver abnormality	HP:0001392
Cirrhosis	HP:0001394
Liver cirrhosis	HP:0001394
Scar tissue replaces healthy tissue in the liver	HP:0001394
Hepatic cirrhosis	HP:0001394
Hepatic fibrosis	HP:0001395
Slowed or blocked flow of bile from liver	HP:0001396
Cholestasis	HP:0001396
Fatty infiltration of liver	HP:0001397
Steatosis	HP:0001397
Fatty liver	HP:0001397
Liver steatosis	HP:0001397
Hepatic steatosis	HP:0001397
Liver failure	HP:0001399
Hepatic failure	HP:0001399
Intrahepatic biliary dysgenesis	HP:0001401
Hepatocellular carcinoma	HP:0001402
Increased incidence of hepatocellular carcinoma	HP:0001402
Increased hepatocellular carcinoma risk	HP:0001402
Macrovesicular hepatic steatosis	HP:0001403
Macrovesicular steatosis	HP:0001403
Death of liver cells	HP:0001404
Hepatocellular necrosis	HP:0001404
Hepatocellular loss	HP:0001404
Periportal fibrosis	HP:0001405
Intrahepatic cholestasis	HP:0001406
Impaired release of bile from liver	HP:0001406
Hepatic cysts	HP:0001407
Liver cysts	HP:0001407
Bile duct proliferation	HP:0001408
Proliferation of bile canaliculi	HP:0001408
Portal hypertension	HP:0001409
Liver dysfunction, mild	HP:0001410
Decreased liver function	HP:0001410
Liver dysfunction	HP:0001410
Enteroviral hepatitis	HP:0001412
Micronodular cirrhosis	HP:0001413
Microvesicular steatosis	HP:0001414
Microvesicular hepatic steatosis	HP:0001414
Abnormality of the musculature of the hand	HP:0001421
Abnormal hand muscles	HP:0001421
Abnormality of calf musculature	HP:0001430
Abnormality of the calf musculature	HP:0001430
Abnormal calf muscles	HP:0001430
Hepatosplenomegaly	HP:0001433
Enlarged liver and spleen	HP:0001433
Abnormality of the shoulder girdle musculature	HP:0001435
Abnormality of shoulder musculature	HP:0001435
Abnormal foot muscles	HP:0001436
Abnormality of the foot musculature	HP:0001436
Abnormality of the musculature of the lower limbs	HP:0001437
Abnormality of the abdomen	HP:0001438
Abnormality of abdomen morphology	HP:0001438
Abdomen abnormality	HP:0001438
Synostosis involving metatarsal bones	HP:0001440
Fusion of metatarsals	HP:0001440
Metatarsal synostosis	HP:0001440
Fusion of the long bones of the feet	HP:0001440
Abnormality of the musculature of the thigh	HP:0001441
Abnormal thigh muscles	HP:0001441
Abnormality of glutes	HP:0001443
Abnormality of the gluteal musculature	HP:0001443
Abnormality of the hip-girdle musculature	HP:0001445
Abnormal upper limb muscles	HP:0001446
Abnormality of the musculature of the upper limbs	HP:0001446
Duplication of long bones of foot	HP:0001449
Duplication of metatarsal bones	HP:0001449
Abnormality of the upper arm	HP:0001454
Abnormality of the musculature of the upper arm	HP:0001457
Webbed 1st-3rd toes	HP:0001459
1-3 toe syndactyly	HP:0001459
Absent/underdeveloped skeletal muscles	HP:0001460
Aplasia/Hypoplasia involving the skeletal musculature	HP:0001460
Absent/small skeletal muscles	HP:0001460
Absent/small shoulder muscles	HP:0001464
Absent/underdeveloped shoulder muscles	HP:0001464
Aplasia/Hypoplasia involving the shoulder musculature	HP:0001464
Amyotrophy involving the shoulder musculature	HP:0001465
Wasting of shoulder muscles	HP:0001465
Shoulder muscle degeneration	HP:0001465
Aplasia/Hypoplasia involving the musculature of the upper limbs	HP:0001467
Absent/small upper limb muscles	HP:0001467
Absent/underdeveloped upper limb muscles	HP:0001467
Absent/small upper arm muscles	HP:0001468
Absent/underdeveloped upper arm muscles	HP:0001468
Aplasia/Hypoplasia involving the musculature of the upper arm	HP:0001468
Abnormal morphology of the pelvis musculature	HP:0001469
Abnormality of the musculature of the pelvis	HP:0001469
Absent/small pelvis muscles	HP:0001471
Absent/underdeveloped pelvis muscles	HP:0001471
Aplasia/Hypoplasia of the musculature of the pelvis	HP:0001471
Osteolysis involving metatarsal bones	HP:0001473
Metatarsal osteolysis	HP:0001473
Sclerotic scapulae	HP:0001474
Delayed closure of the soft spot on the skull	HP:0001476
Later than typical closing of soft spot of skull	HP:0001476
Delayed closure of the anterior fontanelle	HP:0001476
Persistent anterior fontanelle	HP:0001476
Late closure of the bregma sutures	HP:0001476
Delayed closure anterior fontanel	HP:0001476
Delayed closure of anterior fontanelle	HP:0001476
Delayed closure of the bregma sutures	HP:0001476
Late closure of soft spot on the skull	HP:0001476
Late closure of large anterior fontanel	HP:0001476
Late closure of anterior fontanelle	HP:0001476
Compensatory chin elevation	HP:0001477
Compensatory head tilt/chin elevation	HP:0001477
Freckling	HP:0001480
Multiple, subcutaneous nodules	HP:0001482
Subcutaneous nodule	HP:0001482
Nodule below the skin	HP:0001482
Growth of abnormal tissue under the skin	HP:0001482
Firm lump under the skin	HP:0001482
Subcutaneous nodules	HP:0001482
Eye poking	HP:0001483
Drooping of both upper eyelids	HP:0001488
Bilateral ptosis	HP:0001488
Posterior vitreous detachment	HP:0001489
Vitreous detachment	HP:0001489
Congenital fibrosis of the extraocular muscles	HP:0001491
Congenital ophthalmoplegia	HP:0001491
Congenital fibrosis of extraocular muscles	HP:0001491
CFEOM	HP:0001491
Axenfeld anomaly	HP:0001492
Falciform retinal fold	HP:0001493
Congenital retinal fold	HP:0001493
Carpal osteolysis	HP:0001495
Carpal bone osteolysis	HP:0001495
Small wrist bones	HP:0001498
Hypoplastic carpal bones	HP:0001498
Carpal bone hypoplasia	HP:0001498
Small carpals	HP:0001498
Hypoplasia of carpal bones	HP:0001498
Small carpal bones	HP:0001498
Wide fingers	HP:0001500
Broad fingers	HP:0001500
Broad finger	HP:0001500
6 long bones of hand	HP:0001501
6 metacarpals	HP:0001501
Metacarpals osteolysis	HP:0001504
Metacarpal osteolysis	HP:0001504
Growth abnormality	HP:0001507
Abnormal growth	HP:0001507
Growth issue	HP:0001507
Faltering weight	HP:0001508
Failure to thrive	HP:0001508
Undergrowth	HP:0001508
Poor weight gain	HP:0001508
Weight faltering	HP:0001508
Postnatal failure to thrive	HP:0001508
Very poor growth	HP:0001510
Growth deficiency	HP:0001510
Delayed growth	HP:0001510
Growth retardation	HP:0001510
Poor growth	HP:0001510
Retarded growth	HP:0001510
Growth delay	HP:0001510
Growth failure	HP:0001510
Intrauterine retardation	HP:0001511
Prenatal growth failure	HP:0001511
Prenatal-onset growth retardation	HP:0001511
Prenatal growth deficiency	HP:0001511
Small for gestational age infant	HP:0001511
Intrauterine growth retardation, IUGR	HP:0001511
Prenatal growth retardation	HP:0001511
Intrauterine growth failure	HP:0001511
IUGR	HP:0001511
Intrauterine growth restriction	HP:0001511
In utero growth retardation	HP:0001511
Prenatal onset growth retardation	HP:0001511
Intrauterine growth retardation	HP:0001511
Having too much body fat	HP:0001513
Obesity	HP:0001513
Low birth weight	HP:0001518
Birth weight less than 10th percentile	HP:0001518
Small for gestational age	HP:0001518
Dolichostenomelia	HP:0001519
Disproportionate tall stature	HP:0001519
Marfanoid body habitus	HP:0001519
Reduced upper-lower segment ratio	HP:0001519
Marfanoid habitus	HP:0001519
Macrosomia, neonatal	HP:0001520
Macrosomia	HP:0001520
Birthweight > 90th percentile	HP:0001520
Birth weight > 90th percentile	HP:0001520
Fetal macrosomia	HP:0001520
Large for gestational age	HP:0001520
Marked failure to thrive	HP:0001525
Severe postnatal failure to thrive	HP:0001525
Severe weight faltering	HP:0001525
Severe failure to thrive	HP:0001525
Severe faltering weight	HP:0001525
Hemihypertrophy	HP:0001528
Asymmetric limb hypertrophy	HP:0001528
Asymmetric overgrowth	HP:0001528
Postnatal onset of mild growth retardation	HP:0001530
Mild growth deficiency	HP:0001530
Mild postnatal growth retardation	HP:0001530
Weight faltering in infancy	HP:0001531
Failure to thrive in first year of life	HP:0001531
Faltering weight in infancy	HP:0001531
Failure to thrive in infancy	HP:0001531
Thin build	HP:0001533
Thin body habitus	HP:0001533
Asthenic habitus	HP:0001533
Slender build	HP:0001533
Umbilical hernias	HP:0001537
Umbilical hernia	HP:0001537
Abdominal protuberance	HP:0001538
Extended belly	HP:0001538
Belly sticks out	HP:0001538
Protuberant abdomen	HP:0001538
Omphalocele	HP:0001539
Omphalocoele	HP:0001539
Diastasis recti	HP:0001540
Gap between large left and right abdominal muscles	HP:0001540
Ascites	HP:0001541
Accumulation of fluid in the abdomen	HP:0001541
Gastroschisis	HP:0001543
Prominent belly button	HP:0001544
Prominent umbilicus	HP:0001544
Prominent navel	HP:0001544
Anteriorly displaced anus	HP:0001545
Anus anteposition	HP:0001545
Anteriorly placed anus	HP:0001545
Abnormality of the rib cage	HP:0001547
General overgrowth	HP:0001548
Generalized overgrowth	HP:0001548
Fetal overgrowth	HP:0001548
Overgrowth	HP:0001548
Abnormal ileum morphology	HP:0001549
Abnormality of the ileum	HP:0001549
Abnormal umbilicus	HP:0001551
Abnormal umbilicus morphology	HP:0001551
Abnormal navel	HP:0001551
Abnormal belly button	HP:0001551
Barrel chest	HP:0001552
Barrel-shaped chest	HP:0001552
Asymmetry of the thorax	HP:0001555
Asymmetric chest	HP:0001555
Abnormal intrauterine movements	HP:0001557
Prenatal movement abnormality	HP:0001557
Reduced fetal movements	HP:0001558
Decreased movement in utero	HP:0001558
Decreased fetal movements	HP:0001558
Decreased fetal movement	HP:0001558
Fetal hypokinesia	HP:0001558
Decreased fetal activity	HP:0001558
Reduced fetal movement	HP:0001558
Less than 10 fetal movements in 12 hours	HP:0001558
Abnormality of the amniotic fluid	HP:0001560
Abnormal amniotic fluid	HP:0001560
Polyhydramnios	HP:0001561
High levels of amniotic fluid	HP:0001561
Hydramnios	HP:0001561
Low levels of amniotic fluid	HP:0001562
Oligohydramnios	HP:0001562
Maternal oligohydramnios	HP:0001562
Fetal polyuria	HP:0001563
Diastema between upper front teeth	HP:0001566
Diastema between maxillary central incisors	HP:0001566
Separated superior central incisors	HP:0001566
Diastasis of the central incisors	HP:0001566
Diastema between upper incisors	HP:0001566
Gap between upper front teeth	HP:0001566
Central incisor gap	HP:0001566
Widely-spaced maxillary central incisors	HP:0001566
Widely spaced upper incisors	HP:0001566
Wide upper central incisors	HP:0001566
Wide gap between upper central incisors	HP:0001566
Multiple buried teeth	HP:0001571
Multiple impacted teeth	HP:0001571
Multiple retained teeth	HP:0001571
Impacted teeth	HP:0001571
Hyperplasia of tooth	HP:0001572
Increased width of tooth	HP:0001572
Increased size of tooth	HP:0001572
Large teeth	HP:0001572
Hypertrophy of tooth	HP:0001572
Large tooth	HP:0001572
Tooth mass excess	HP:0001572
Macrodontia	HP:0001572
Abnormality of the integument	HP:0001574
Mood changes	HP:0001575
Mood alterations	HP:0001575
Moody	HP:0001575
Primary hypercortisolism	HP:0001579
ACTH-independent hypercortisolemia	HP:0001579
Pigmented micronodular adrenocortical disease	HP:0001580
Recurrent skin infections	HP:0001581
Skin infections, recurrent	HP:0001581
Skin infections	HP:0001581
Cutaneous infections	HP:0001581
Redundant skin folds	HP:0001582
Loose redundant skin	HP:0001582
Sagging, redundant skin	HP:0001582
Redundant skin	HP:0001582
Rotary nystagmus	HP:0001583
Rotatory Nystagmus	HP:0001583
Vesicovaginal fistula	HP:0001586
Bell-shaped thorax	HP:0001591
Bell-shaped chest	HP:0001591
Constricted, bell-shaped thorax	HP:0001591
Narrow, bell-shaped thorax	HP:0001591
Absence of a tooth	HP:0001592
Failure of development of a tooth	HP:0001592
Selective tooth agenesis	HP:0001592
Missing a tooth	HP:0001592
Agenesis of a tooth	HP:0001592
Decreased width of upper lateral incisor	HP:0001593
Hypotrophic upper lateral incisor	HP:0001593
Small upper lateral incisor	HP:0001593
Decreased size of maxillary lateral incisor	HP:0001593
Hypotrophic maxillary lateral incisor	HP:0001593
Small maxillary lateral incisor	HP:0001593
Maxillary lateral incisor microdontia	HP:0001593
Decreased size of upper lateral incisor	HP:0001593
Abnormality of the hair shaft	HP:0001595
Abnormality of the hair	HP:0001595
Hair abnormality	HP:0001595
Abnormal hair morphology	HP:0001595
Alopecia	HP:0001596
Hair loss	HP:0001596
Abnormality of the nail	HP:0001597
Nail disease	HP:0001597
Spoon-shaped nails	HP:0001598
Concave nail	HP:0001598
Koilonychia	HP:0001598
Laryngeal abnormalities	HP:0001600
Abnormality of the larynx	HP:0001600
Laryngeal anomalies	HP:0001600
Softening of voice box tissue	HP:0001601
Laryngomalacia	HP:0001601
Laryngeal stenosis	HP:0001602
Weakness of the vocal cords	HP:0001604
Hoarse voice due to vocal cord paresis	HP:0001604
Vocal cord paresis in severe cases	HP:0001604
Vocal cord paresis	HP:0001604
Inability to move vocal cords	HP:0001605
Vocal cord paralysis	HP:0001605
Laryngeal paralysis	HP:0001605
Subglottic stenosis	HP:0001607
Voice abnormality	HP:0001608
Abnormality of the voice	HP:0001608
Hoarse voice	HP:0001609
Hoarseness	HP:0001609
Husky voice	HP:0001609
Hypernasal voice	HP:0001611
Hypernasal speech	HP:0001611
Nasal voice	HP:0001611
Nasal speech	HP:0001611
Weak cry	HP:0001612
Hoarse cry	HP:0001615
Dysphonia	HP:0001618
Inability to produce voice sounds	HP:0001618
High-pitched voice	HP:0001620
High pitched voice	HP:0001620
Soft voice	HP:0001621
Weak voice	HP:0001621
Hypophonia	HP:0001621
Shortened gestation time	HP:0001622
Premature birth	HP:0001622
Premature delivery of affected infants	HP:0001622
Premature delivery	HP:0001622
Preterm delivery	HP:0001622
Feet or buttocks of fetus positioned near opening of uterus	HP:0001623
Breech presentation at birth	HP:0001623
Breech presentation	HP:0001623
Cardiovascular disease	HP:0001626
Cardiovascular abnormality	HP:0001626
Cardiac anomaly	HP:0001626
Abnormality of the cardiovascular system	HP:0001626
Cardiac abnormality	HP:0001627
Abnormal heart morphology	HP:0001627
Congenital heart defects	HP:0001627
Abnormally shaped heart	HP:0001627
Abnormality of the heart	HP:0001627
Congenital heart defect	HP:0001627
Cardiac anomalies	HP:0001627
Abnormality of cardiac morphology	HP:0001627
Hole in heart wall separating two lower heart chambers	HP:0001629
Ventricular septal defects	HP:0001629
Ventricular septal defect	HP:0001629
Ventriculoseptal defect	HP:0001629
Defect in the atrial septum	HP:0001631
ASD	HP:0001631
Atria septal defect	HP:0001631
An opening in the wall separating the top two chambers of the heart	HP:0001631
Atrial septal defect	HP:0001631
Hole in heart wall separating two upper heart chambers	HP:0001631
Atrial septum defect	HP:0001631
Abnormality of the mitral valve	HP:0001633
Abnormal mitral valve morphology	HP:0001633
Mitral valve prolapse	HP:0001634
Heart failure	HP:0001635
Cardiac insufficiency	HP:0001635
Cardiac failures	HP:0001635
Cardiac failure	HP:0001635
Congestive heart failure	HP:0001635
Chronic heart failure	HP:0001635
CHF	HP:0001635
Tetralogy of Fallot	HP:0001636
Tetrology of fallot	HP:0001636
Abnormal myocardium morphology	HP:0001637
Abnormality of the myocardium	HP:0001637
Disease of the heart muscle	HP:0001638
Cardiomyopathy	HP:0001638
Enlarged and thickened heart muscle	HP:0001639
Cardiomyopathy, hypertrophic	HP:0001639
Hypertrophic cardiomyopathy	HP:0001639
Increased heart size	HP:0001640
Enlarged heart	HP:0001640
Cardiomegaly	HP:0001640
Abnormality of the pulmonary valve	HP:0001641
Anomaly of the pulmonary valve	HP:0001641
Abnormal pulmonary valve morphology	HP:0001641
Pulmonic valve stenosis	HP:0001642
Pulmonary valve stenosis	HP:0001642
Pulmonary stenosis	HP:0001642
Narrowing of pulmonic valve	HP:0001642
Pulmonic stenosis	HP:0001642
Persistent ductus arteriosus	HP:0001643
Persistent arterial duct	HP:0001643
Patent ductus arteriosus	HP:0001643
Ductus arteriosus	HP:0001643
Congestive cardiomyopathy	HP:0001644
Dilated cardiomyopathy	HP:0001644
Cardiomyopathy, dilated	HP:0001644
Stretched and thinned heart muscle	HP:0001644
Premature sudden cardiac death	HP:0001645
Sudden cardiac death	HP:0001645
Abnormal aortic valve morphology	HP:0001646
Abnormality of the aortic valve	HP:0001646
Aortic valve has two leaflets rather than three	HP:0001647
Bicuspid aortic valve	HP:0001647
Cor pulmonale	HP:0001648
Racing heart	HP:0001649
Elevated heart rate	HP:0001649
Heart racing	HP:0001649
Tachycardia	HP:0001649
Fast heart rate	HP:0001649
Rapid heart beat	HP:0001649
Increased heart rate	HP:0001649
Narrowing of aortic valve	HP:0001650
Aortic stenosis	HP:0001650
Valvular aortic stenosis	HP:0001650
Aortic valve stenosis	HP:0001650
Dextrocardia	HP:0001651
Heart tip and four chambers point towards right side of body	HP:0001651
Thoracic situs inversus	HP:0001651
Mitral valve insufficiency	HP:0001653
Mitral incompetence	HP:0001653
Mitral valve regurgitation	HP:0001653
Mitral regurgitation, mild	HP:0001653
Mitral regurgitation	HP:0001653
Mitral insufficiency	HP:0001653
Abnormal heart valve morphology	HP:0001654
Abnormality of the heart valves	HP:0001654
Valvular heart disease	HP:0001654
Valvular abnormality	HP:0001654
Patent foramen ovale	HP:0001655
Long QT syndrome	HP:0001657
Prolong qt interval on ekg	HP:0001657
Long Q-T syndrome	HP:0001657
Prolonged QT interval	HP:0001657
Myocardial infarction	HP:0001658
MI	HP:0001658
Heart attack	HP:0001658
Aortic valve regurgitation	HP:0001659
Aortic regurgitation	HP:0001659
Aortic insufficiency	HP:0001659
Common arterial trunk	HP:0001660
Persistant truncus arteriosus	HP:0001660
Truncus arteriosus	HP:0001660
Brachycardia	HP:0001662
Bradycardia	HP:0001662
Slow heartbeats	HP:0001662
Ventricular fibrillation	HP:0001663
Torsade de pointes	HP:0001664
Torsades de pointes	HP:0001664
Right ventricular hypertrophy	HP:0001667
Heart right ventricle hypertrophy	HP:0001667
Transposition of great vessels	HP:0001669
Transposition of the great arteries	HP:0001669
Asymmetric septal hypertrophy	HP:0001670
Abnormal cardiac septum morphology	HP:0001671
Abnormality of the cardiac septa	HP:0001671
Septal defects	HP:0001671
Heart septal defect	HP:0001671
Complete atrioventricular septal defect	HP:0001674
Common atrioventricular canal	HP:0001674
Complete common AV canal	HP:0001674
Complete atrioventricular canal defect	HP:0001674
Atrioventricular canal	HP:0001674
Coronary disease	HP:0001677
Coronary atherosclerosis	HP:0001677
Plaque build-up in arteries supplying blood to heart	HP:0001677
Coronary artery atherosclerosis	HP:0001677
Atrioventricular block	HP:0001678
Atrioventricular nodal disease	HP:0001678
Interruption of electrical communication between upper and lower chambers of heart	HP:0001678
Abnormal aorta morphology	HP:0001679
Abnormality of the aorta	HP:0001679
Abnormal aortic morphology	HP:0001679
Coarctation of the aorta	HP:0001680
Coarctation of aorta	HP:0001680
Narrowing of aorta	HP:0001680
Narrowing of the aorta	HP:0001680
Aortic coarctation	HP:0001680
Angina pectoris	HP:0001681
Subaortic stenosis	HP:0001682
Subvalvular aortic stenosis	HP:0001682
Narrowing of blood vessel below aortic heart valve	HP:0001682
Ectopia cordis	HP:0001683
Ostium secundum atrial septal defect	HP:0001684
Secundum atrial septal defect	HP:0001684
Atrial septal defect, ostium secundum type	HP:0001684
Patent ostium secundum	HP:0001684
Myocardial fibrosis	HP:0001685
Loss of voice	HP:0001686
Aphonia	HP:0001686
Sinus bradycardia	HP:0001688
Muscular subvalvular aortic stenosis	HP:0001691
Muscular subaortic stenosis	HP:0001691
Atrial arrhythmia	HP:0001692
Primary atrial arrhythmia	HP:0001692
Cardiac shunt	HP:0001693
Right-to-left shunt	HP:0001694
Heart stops beating	HP:0001695
Cardiac arrest	HP:0001695
situs oppositus	HP:0001696
All organs on wrong side of body	HP:0001696
Situs inversus totalis	HP:0001696
Situs inversus	HP:0001696
situs transversus	HP:0001696
Abnormal pericardium morphology	HP:0001697
Abnormality of the pericardium	HP:0001697
Pericardial effusions	HP:0001698
Pericardial effusion	HP:0001698
Fluid around heart	HP:0001698
Myocardial necrosis	HP:0001700
Swelling or irritation of membrane around heart	HP:0001701
Pericarditis	HP:0001701
Abnormal tricuspid valve morphology	HP:0001702
Abnormality of the tricuspid valve	HP:0001702
Tricuspid valve prolapse	HP:0001704
Right ventricular outlet obstruction	HP:0001705
Right ventricular outlet tract obstruction	HP:0001705
Endocardial fibroelastosis	HP:0001706
Abnormal right ventricle morphology	HP:0001707
Right ventricular abnormality	HP:0001707
Abnormality of the right ventricle	HP:0001707
Right ventricular impairment	HP:0001708
Right ventricular failure	HP:0001708
Right-sided heart failure	HP:0001708
Impaired right ventricular function	HP:0001708
Third-degree heart block	HP:0001709
Complete heart block	HP:0001709
Third degree atrioventricular block	HP:0001709
Conotruncal heart defects	HP:0001710
Conotruncal defect	HP:0001710
Abnormal heart left ventricle morphology	HP:0001711
Left ventricular abnormality	HP:0001711
Abnormal left ventricle morphology	HP:0001711
Abnormality of the left ventricle	HP:0001711
