Abnormality of body height	HP:0000002
Enlarged end part of the index finger	None
Sclerosis of the phalanges of the 5th toe	None
Sclerosis of 5th toe phalanx	None
Increased bone density in pinky toe bone	None
Increased bone density in little toe bone	None
Increased bone density in pinkie toe bone	None
Wide outermost end of long bone	None
Distal widening of metacarpals	None
Contracture of the interphalangeal joint of the hallux	None
Abnormalities of the diaphyses of the hand	None
Abnormalities of shaft of long bone of the hand	None
Limb weakness	None
Limb muscle weakness	None
Uneven increase in bone density in thumb bone	None
Patchy sclerosis of thumb phalanx	None
Patchy sclerosis of the phalanges of the thumb	None
Hand clenching	None
Clenched hands	None
Abnormality of the styloid process of ulna	None
Absent/small long bone in upper arm	None
Absent/underdeveloped long bone in upper arm	None
Aplasia/hypoplasia of the humerus	None
Curved distal phalanx of the 3rd toe	None
Curved outermost bone of the 3rd toe	None
Areflexia of upper limbs	None
Index finger dermatoglyphic radial loop	None
Fused bones of 4th toe	None
Symphalangism affecting the phalanges of the 4th toe	None
Fragmentation of the end part of the toe bones	None
Fragmentation of the epiphyses of the toes	None
Stippled calcification of the elbow	None
Interphalangeal joint flexion contractures	None
Interphalangeal joint contracture of finger	None
Cubitus valgus	None
Outward turned elbows	None
Distal/middle symphalangism of 3rd finger	None
Symphalangism of the distal and middle phalanges of the 3rd finger	None
Fused outermost and middle bones of middle finger	None
Abnormality of the distal femoral epiphysis	None
Abnormality of the end part of the outermost thighbone	None
Abnormal shape of of forearm bone	None
Abnormal forearm bone morphology	None
Triangular shaped proximal phalanx of the 2nd toe	None
Triangular shaped innermost 2nd toe bone	None
Symmetric syndactyly, toes 4 and 5	None
Syndactyly of toes 4 and 5	None
Webbed 4th-5th toes	None
4-5 toe syndactyly	None
Increased bone density in shaft of long bone in upper arm	None
Sclerosis of humeral diaphysis	None
Congenital bilateral hip dislocation	None
Bracket shaped end part of the innermost bone of the 2nd toe	None
Bracket epiphysis of the proximal phalanx of the 2nd toe	None
Coalescence of tarsal bones	None
Irregular end part of middle hand bones	None
Irregular epiphyses of the middle phalanges of the hand	None
Sclerosis of the middle phalanx of the 4th finger	None
Increased bone density in the middle bone of the ring finger	None
Complete cutaneous syndactyly of second and third toes	None
Toe syndactyly, 2-3	None
Cutaneous syndactyly of second and third toes	None
2-3 toes syndactyly	None
Cutaneous 2,3 toe syndactyly	None
Syndactyly of second and third toes	None
2-3 toe soft tissue syndactyly	None
Webbed 2nd and 3rd toes	None
2-3 toe syndactyly	None
2-3 syndactyly of feet	None
partial or complete syndactyly 2nd-3rd toes	None
Abnormality of the skin of the palm	None
Small feet	None
Short foot	None
Short feet	None
Hypoplastic feet	None
Absent epiphysis of the middle phalanx of the 5th finger	None
Absent end part of the middle bone of the pinkie finger	None
Absent end part of the middle bone of the pinky finger	None
Absent end part of the middle bone of the little finger	None
Cone-shaped end part of middle finger bone	None
Cone-shaped epiphyses of the 3rd finger	None
Ground glass opacity of humeral diaphysis	None
Partial duplication of the distal phalanx of the 2nd toe	None
Partial duplication of the outermost bone of the 2nd toe	None
Internal notch of the femoral head	None
Bracket shaped end part of innermost long bone of index finger	None
Bracket epiphyses of proximal index finger phalanx	None
Bracket epiphysis of the proximal phalanx of the 2nd finger	None
Small end part of the middle bone of the 3rd toe	None
Small epiphysis of the middle phalanx of the 3rd toe	None
Ivory epiphysis of the middle phalanx of the 5th toe	None
Increased bone density of end part of the middle bone of the pinky toe	None
Increased bone density of end part of the middle bone of the pinkie toe	None
Increased bone density of end part of the middle bone of the little toe	None
Absent/underdeveloped pinky finger	None
Absent/underdeveloped pinkie finger	None
Absent/small pinky finger	None
Aplasia/Hypoplasia of the 5th finger	None
Absent/small pinkie finger	None
Absent/small little finger	None
Absent/underdeveloped little finger	None
Valgus foot deformity	None
Pes valgus	None
Abnormality of the innermost end part of calf bone	None
Abnormality of the proximal fibular epiphysis	None
Upper limb brachymesomelia	None
Mesomelic arm shortening	None
Mesomelia of the upper limbs	None
Partial/complete duplication of the distal phalanx of the 2nd finger	None
Duplication of the distal phalanx of the 2nd finger	None
Partial/complete duplication of the outermost bone of the index finger	None
Long palm	None
Fragmentation of the epiphysis of the proximal phalanx of the thumb	None
Fragmentation of end part of thumb innermost long bone	None
Osteolysis of talus	None
Osteolysis of tali	None
Increased bone density in the innermost bone of the thumb	None
Sclerosis of the proximal phalanx of the thumb	None
Excess nuchal skin	None
Thickened skin folds of neck	None
Thickened skin over the neck	None
Increased nuchal fold thickness	None
Thickened nuchal skin fold	None
Thickened nuchal skin	None
Abnormalities of placenta or umbilical cord	None
Only one artery in umbilical cord instead of two	None
2 vessel cord	None
Single umbilical artery	None
Two vessel umbilical cord	None
Two vessel cord	None
2 vessel umbilical cord	None
Short umbilical cord	None
Abnormality of prenatal development or birth	None
Prenatal movement abnormality	None
Abnormal intrauterine movements	None
Reduced fetal movements	None
Decreased fetal movements	None
Decreased fetal movement	None
Fetal hypokinesia	None
Less than 10 fetal movements in 12 hours	None
Reduced fetal movement	None
Decreased fetal activity	None
Decreased movement in utero	None
Abnormality of the amniotic fluid	None
Abnormal amniotic fluid	None
High levels of amniotic fluid	None
Hydramnios	None
Polyhydramnios	None
Maternal oligohydramnios	None
Low levels of amniotic fluid	None
Oligohydramnios	None
Fetal polyuria	None
Shortened gestation time	None
Premature birth	None
Premature delivery of affected infants	None
Premature delivery	None
Preterm delivery	None
Breech presentation at birth	None
Feet or buttocks of fetus positioned near opening of uterus	None
Breech presentation	None
Abnormal delivery	None
Delivery complication	None
Premature rupture of membranes	None
Hydrops fetalis	None
Non-immune fetal hydrops	None
Hydrops fetalis, non-immune	None
Hydrops fetalis, nonimmune	None
Nonimmune hydrops fetalis	None
Nonimmune hydrops	None
Fetal ascites	None
Early severe fetal akinesia sequence	None
Fetal akinesia	None
Fetal akinesia sequence	None
Prenatal maternal abnormality	None
Maternal health problem	None
Severe hydrops	None
Severe hydrops fetalis	None
Premature birth following premature rupture of fetal membranes	None
Premature delivery because of cervical insufficiency or membrane fragility	None
Miscarriage	None
Spontaneous abortion	None
Small placenta	None
Placental enlargement	None
Large placenta	None
Maternal hypertension	None
Maternal virilization in pregnancy	None
Low maternal serum estriol	None
Amniotic bands	None
Pseudoainhum	None
Amniotic constriction band	None
Amniotic constriction ring	None
gestational diabetes	None
Maternal diabetes	None
maternal hyperglycemia	None
Amniotic constriction rings of arms	None
Amniotic constriction rings of digits	None
Digital constriction ring	None
Amniotic constriction rings of legs	None
Fetal hyperkinesia	None
Increased fetal movement	None
Low maternal serum alpha-fetoprotein	None
Frank breech presentation	None
Complete breech presentation	None
Incomplete breech presentation	None
Fetal cystic hygroma	None
Increased nuchal translucency	None
Abnormality of the umbilical cord	None
Umbilical cord issue	None
Echogenic intracardiac focus	None
Echogenic fetal bowel	None
Echogenic bowel	None
Mild fetal hydronephrosis	None
Fetal pyelectasis	None
Fetal renal pelvic dilatation	None
Abnormality of umbilical vein blood flow	None
Mild fetal ventriculomegaly	None
Absence of stomach bubble on fetal sonography	None
Bilateral fetal pyelectasis	None
Bilateral fetal pyelectasia	None
Abnormal umbilical cord blood vessels	None
Abnormality of placental membranes	None
Caesarian section	None
Forceps delivery	None
Vacuum extraction	None
Vacuum-assisted vaginal delivery	None
Ventouse delivery	None
Shoulder dystocia	None
Hydropic placenta	None
Hydrops of the placenta	None
Calcified placenta	None
Placental thromboembolism	None
Placental infarction	None
Long umbilical cord	None
Abnormal insertion of umbilical cord	None
Vasa previa	None
Abruptio placentae	None
Placental abruption	None
Fetal ultrasound soft marker	None
Fetal choroid plexus cysts	None
Enlarged fetal cisterna magna	None
Short fetal thigh bone length	None
Short fetal femur length	None
Short fetal humerus length	None
Short fetal long bone in upper arm length	None
Underdeveloped fetal nose bone	None
Hypoplasia of fetal nasal bone	None
Fetal pinkie finger curvature	None
Fetal little finger curvature	None
Fetal pinky finger curvature	None
Fetal fifth finger clinodactyly	None
High maternal serum alpha-fetoprotein	None
High maternal serum chorionic gonadotropin	None
High maternal serum hCG	None
Low maternal serum hCG	None
Low maternal serum chorionic gonadotropin	None
Low maternal serum PAPP-A	None
Abnormal maternal serum screening	None
Maternal autoimmune disease	None
Maternal teratogenic exposure	None
Hyperemesis gravidarum	None
Meconium-stained amniotic fluid	None
Meconium staining of amniotic fluid	None
Meconium stained amniotic fluid	None
Nuchal cord	None
Maternal anticardiolipin antibody positive	None
Cephalohaematoma	None
Cephalohematoma	None
Skewed maternal X inactivation	None
Abnormal placental size	None
Fetal distress	None
Maternal fever in pregnancy	None
Maternal fever during pregnancy	None
Maternal fever during labor	None
Intrapartum fever	None
Maternal first trimester fever	None
Primary Caesarian section	None
Secondary Caesarian section	None
Vaginal birth after Caesarian	None
Delivery by Odon device	None
Induced vaginal delivery	None
Therapeutic abortion	None
Umbilical cord cyst	None
Umbilical cord knot	None
Umbilical vein varix	None
Umbilical cord hematoma	None
Umbilical cord haematoma	None
Marginal umbilical cord insertion	None
Marginal cord insertion	None
Velamentous cord insertion	None
Furcate cord insertion	None
Breus' mole	None
Subchorionic thrombohematoma	None
Subchorionic septal cyst	None
Single-twin demise	None
Intrauterine fetal demise of one twin after midgestation	None
Amniotic Sheet	None
Amniotic shelf	None
Low APGAR score	None
Low 1-minute APGAR score	None
Low one-minute APGAR score	None
Low five-minute APGAR score	None
Low 5-minute APGAR score	None
5-minute APGAR score of 0	None
5-minute APGAR score of 1	None
5-minute APGAR score of 2	None
5-minute APGAR score of 3	None
5-minute APGAR score of 4	None
5-minute APGAR score of 5	None
5-minute APGAR score of 6	None
1-minute APGAR score of 0	None
1-minute APGAR score of 1	None
1-minute APGAR score of 2	None
1-minute APGAR score of 3	None
1-minute APGAR score of 4	None
1-minute APGAR score of 5	None
1-minute APGAR score of 6	None
Twin to twin transfusion syndrome	None
Twin-to-twin transfusion	None
Postterm pregnancy	None
Female fetal virilization	None
Pregnancy exposure	None
Exposure during pregnancy	None
Ectopic pregnancy	None
Placental mesenchymal dysplasia	None
Hydatidiform mole	None
Lemon sign	None
Delayed umbilical cord separation	None
Neonatal omphalitis	None
Omphalitis	None
Preimplantation lethality	None
Preimplantation embryonic lethality	None
Four-vessel umbilical cord	None
Increased placental thickness	None
Placental thickness increased	None
Maternal thrombophilia	None
Eclampsia	None
Preeclampsia	None
Pre-eclampsia	None
Toxemia of pregnancy	None
Hypertensive disorder of pregnancy	None
High blood phenylalanine level in mother	None
Maternal hyperphenylalaninemia	None
Maternal seizures	None
Placental issue	None
Abnormality of the placenta	None
Choriocarcinoma	None
Chorangioma	None
Placental hamartoma	None
Spontaneous abortion, recurrent	None
Recurrent spontaneous abortion	None
Abnormal cord blood measurement	None
Abnormal blood gas level in cord blood	None
Hyperoxemia in cord blood	None
High cord blood oxygen level	None
Low cord blood oxygen level	None
Hypoxemia in cord blood	None
Hypercapnia in cord blood	None
High cord blood carbon dioxide level	None
Hypocapnia in cord blood	None
Low cord blood carbon dioxide level	None
Abnormal CO2 level in cord blood	None
Abnormal umbilical cord blood levels of carbon dioxide	None
Abnormal carbon dioxide level in cord blood	None
Abnormal oxygen level in cord blood	None
Abnormal O2 level in cord blood	None
Abnormal oxygen amount in umbilical cord blood	None
Abnormal cord blood oxygen levels	None
Multiple episodes of otitis media	None
Otitis media, recurrent	None
Recurrent middle ear infection	None
Recurrent episodes of otitis media	None
Susceptibility to otitis media	None
Frequent otitis media	None
Recurrent otitis media	None
Abnormal incisura morphology	None
Acoustic Neuroma	None
Vestibular Schwannoma	None
Vestibular neurilemmoma	None
Vestibular Schwann cell tumor	None
Vestibular neurinoma	None
Vestibular neurolemmoma	None
Prominent ear helix	None
Large helix	None
Abnormality of auricular lobule	None
Abnormality of ear lobe	None
Abnormal lobe of ear	None
Abnormality of lobulus auriculae	None
Abnormal earlobe	None
Abnormality of earlobe	None
Mild neurosensory hearing loss	None
Mild neurosensory hearing impairment	None
Impacted cerumen	None
Hypoplasia of the vestibule of the inner ear	None
Hypoplastic antihelix	None
Hypoplasia of the antihelix	None
Swimmer's ear	None
Otitis externa	None
Mid-frequency hearing loss	None
Otosclerosis	None
Abnormal cerumen pigmentation	None
Abnormal cerumen color	None
Abnormal cerumen colour	None
Large fleshy ears	None
Otitis media	None
Middle ear infection	None
Cleft earlobe	None
Abnormal auditory reflex	None
Abnormal middle-ear-muscles (MEM) reflex	None
Abnormality of stapedial reflex	None
Abnormality of the acoustic reflex	None
Congenital conductive hearing loss	None
Congenital conductive hearing impairment	None
Congenital conductive deafness	None
Hypoplastic pinna	None
Bilateral microtia	None
Microtia	None
Underdeveloped ears	None
Hypoplastic ears	None
Hypoplasia of the external ear	None
Small ears	None
Small pinnae	None
Adherent earlobe	None
Attached earlobe	None
Abnormality of the incus	None
Absent internal auditory canal	None
Recurrent infections of the middle ear	None
Auricular pit	None
Hearing loss, conductive	None
Conductive hearing impairment	None
Conductive deafness	None
Conductive hearing loss	None
Conduction deafness	None
Chondritis of pinna	None
Inflammation of cartilage of pinna	None
Hearing abnormality	None
Abnormal hearing	None
Poor speech discrimination	None
Abnormal speech discrimination	None
Absent ear lobes	None
Absent earlobe	None
Lobeless ears	None
Earlobe, absent	None
Middle ear malformation	None
Morphological abnormality of the middle ear	None
Postlingual sensorineural hearing impairment	None
Hypotrophic inferior crus of antihelix	None
Hypoplastic inferior crus of antihelix	None
Underdeveloped inferior crus of antihelix	None
Antihelix, inferior crus, underdeveloped	None
Low-grade adenocarcinoma of endolymphatic sac origin	None
Endolymphatic sac tumor	None
Aggressive papillary middle ear tumor	None
Heffner tumor	None
Asymmetry of the size of ears	None
Hypoplasia of the crus of the ear	None
Underdeveloped crus of the ear	None
Underdeveloped crus of the helix	None
Extra concha fold	None
Concha, Extra Fold	None
Abnormality of superior crus of antihelix	None
Abnormality of posterior crus of antihelix	None
Abnormality of cartilage of external ear	None
Serpiginous crus of helix	None
Helix, crus, serpiginous	None
Tinnitus	None
Ringing in the ears	None
Ringing in ears	None
Mild conductive hearing impairment	None
Conductive hearing loss, mild	None
Vestibular hypofunction	None
Hearing loss, congenital sensorineural	None
Congenital perceptive deafness	None
Congenital sensorineural hearing impairment	None
Congenital sensorineural hearing loss	None
Congenital neurosensory deafness	None
Congenital sensorineural deafness	None
Bilateral congenital sensorineural deafness	None
Spock ear	None
Third crus	None
Vulcan ear	None
Additional crus	None
Stahl ear	None
Anteverted ears	None
Protruding ear	None
Prominent ear	None
Protruding ears	None
Prominent ears	None
Abnormality of the cochlear nerve	None
External ear malformations	None
Abnormal pinnae	None
Malformed pinnae	None
Ear anomalies	None
Abnormality of the outer ear	None
Abnormality of the auricle	None
Outer ear abnormality	None
Abnormality of the external ear	None
Sensorineural hearing loss	None
Hearing loss, sensorineural	None
Sensorineural hearing impairment	None
Sensorineural deafness	None
Abnormal vestibulo-ocular reflex	None
Abnormal vestibuloocular reflex	None
Diagonal earlobe crease	None
Microtia, second degree	None
Mini ear	None
Shell ear	None
Cockleshell ear	None
Severe cupped ear, type III	None
Ear, grade II dysplasia	None
Constricted helix type IV	None
Snail ear	None
Microtia, first degree	None
First-degree microtia	None
Chronic middle ear infection	None
Chronic ear infection	None
Otitis media, chronic	None
Chronic infections of the middle ear	None
Chronic otitis media	None
Absent auditory canals	None
Atretic auditory canals	None
External acoustic meatus atresia	None
External auditory meatus atresia	None
Atresia of the external auditory canals	None
External auditory canal atresia	None
Atretic external auditory canal	None
Absent external auditory canals	None
Atretic external auditory canals	None
External auditory meatal atresia	None
Auditory canal atresia	None
Atretic auditory canal	None
Atresia of the external auditory canal	None
Absent ear canal	None
Cerumen abnormality	None
Aplasia of the vestibule	None
Absent vestibule	None
Abnormality of the Eustachian tube	None
Morphological abnormality of the semicircular canal	None
Narrow internal auditory canal	None
Underdeveloped helices	None
Hypoplastic helices	None
Glue ear	None
Large ears	None
Large pinnae	None
Macrotia	None
Horizontal crus of helix	None
Horizontal orientation of the ear crus	None
Horizontal orientation of the crus of helix	None
Helix, crus, horizontal	None
Progressive hearing impairment	None
Progressive hearing loss	None
Aminoglycoside-induced hearing loss	None
External auditory canal stenosis	None
Narrow ear canal	None
Narrow auditory canals	None
Stenosis of the external auditory canal	None
Narrowing of passageway from outer ear to middle ear	None
Narrow external auditory meatus	None
Narrow external auditory canals	None
Stenotic external auditory canal	None
Aplasia of the eighth cranial nerve	None
Aplasia of cranial nerve VIII	None
Absent the eighth cranial nerve	None
Absent cranial nerve viii	None
Aplasia of the vestibular nerve.	None
Absent vestribular nerve	None
Mild hearing impairment	None
Pulsatile tinnitus	None
Paroxysmal vertigo	None
Enlarged antitragus	None
Hyperplastic antitragus	None
Prominent antitragus	None
Hypertrophic antitragus	None
Bilateral external ear deformity	None
Congenital stapes ankylosis	None
Tympanosclerosis	None
Tympanic calcification	None
Pointed ear	None
Pointed helix	None
Elfin ear	None
Spock's ear	None
Absent/small inner ear	None
Aplasia/Hypoplasia of the inner ear	None
Absent/underdeveloped inner ear	None
Tragus, duplicated	None
Duplicated tragus	None
Accesory tragus	None
Additional crus of antihelix	None
Low-frequency sensorineural hearing impairment	None
Low-frequency sensorineural hearing loss	None
Thin ear helix	None
Abnormality of the tragus	None
Cystic lesions of the pinnae	None
Absent/underdeveloped external ear	None
Absent/small external ear	None
Aplasia/Hypoplasia of the external ear	None
Neoplasm of the inner ear	None
Inner ear tumor	None
Uneven ears	None
Asymmetry of the position of the ears	None
Morphological abnormality of the posterior semicircular canal	None
Dilated vestibule of the inner ear	None
Open tuba eustachii	None
Patent tuba eustachii	None
Lowset ears	None
Low-set ears	None
Low set ears	None
Melotia	None
Abnormal vestibular saccule morphology	None
Hyperplastic antihelix stem	None
Hypertrophic antihelix stem	None
Prominent stem of antihelix	None
Aplasia/Hypoplasia of the cochlea	None
Absent/underdeveloped cochlea	None
Absent/small cochlea	None
Calcification of the auricular cartilage	None
Petrified ear	None
Ear cartilage calcification	None
Ossification of pinnae	None
Cartilaginous ossification of pinnae	None
Presbycusis	None
Old-aged sensorineural hearing impairment	None
Bifid tragus	None
Notched tragus	None
Tragus, bifid	None
Question mark ear	None
Constricted ear	None
Cosman ear	None
Question mark ears	None
Profound sensorineural hearing impairment	None
Abnormality of the reflex of the tensor tympani muscle	None
Functional abnormality of the middle ear	None
Abnormal inner ear epithelium morphology	None
Morphological abnormality of the anterior semicircular canal	None
Cutaneous stenosis of the external auditory canal	None
Unilateral deafness	None
Deafness, unilateral	None
Deafness in one ear	None
Neoplasm of the ear	None
Ear tumor	None
Morphological abnormality of the nerves of the inner ear	None
Progressive conductive hearing impairment	None
Progressive conductive deafness	None
Functional abnormality of the inner ear	None
Auditory canal abnormality	None
Abnormality of the auditory canal	None
Impaired visually enhanced vestibulo-ocular reflex	None
Visually enhanced vestibulo-ocular reflex impairment	None
VVOR impairment	None
Helix, crus, tragal bridge	None
Tragal bridge of crus of helix	None
Type I cryptotia	None
Type 1 cryptotia	None
Lop ear	None
Prominent superior crus of antihelix	None
Hyperplastic superior crus of antihelix	None
Hypertrophic superior crus of antihelix	None
Middle ear abnormality	None
Middle ear abnormalities	None
Abnormality of the middle ear	None
Abnormal doll's eye reflex	None
Forward facing earlobe	None
Lobe, forward facing	None
Cochlear malformation	None
Buried ear	None
Cryptotia	None
Hidden ear	None
Underdeveloped tragus	None
Hypoplastic tragus	None
Small tragus	None
Hypotrophic tragus	None
Morphological abnormality of the vestibule of the inner ear	None
Vestibular abnormality	None
External ear position defect	None
Abnormal location of ears	None
Abnormality of the internal auditory canal	None
Abnormality of the internal acoustic meatus	None
Hypoplastic superior crus of antihelix	None
Underdeveloped superior crus of antihelix	None
Hypotrophic superior crus of antihelix	None
Basalioma of the outer ear	None
Absence of the reflex of the tensor tympani muscle	None
Aplasia/Hypoplasia of the ear	None
Absent/small ear	None
Absent/underdeveloped ear	None
Cleft at the superior portion of the ear	None
Cleft at the superior portion of the pinna	None
Absent tragus	None
Synotia	None
Aplasia/Hypoplasia of the middle ear	None
Absent/small middle ear	None
Hypoplastic/aplastic middle ear structures	None
Absent/underdeveloped middle ear	None
Middle ear hypoplasia/aplasia	None
Absent vestibular function	None
Cupped ears	None
Capuchin ears	None
Cup-shaped ears	None
Simple, cup-shaped ears	None
Cupped ear	None
Vestibular saccular degeneration	None
Absent crus of helix	None
Helix, crus, absent	None
Enlarged cochlear aqueduct	None
Dilated cochlear aqueduct	None
Darwin notch of helix	None
Helix, Darwin notch	None
Posteriorly rotated ears	None
Posteriorly rotated auricles	None
Posteriorly angulated ears	None
Posteriorly-rotated ears	None
Posteriorly rotated	None
Posteriorly-angulated ears	None
Ears rotated toward back of head	None
Ear, posterior angulation, increased	None
Impairment of the the acoustic reflex	None
Childhood onset sensorineural hearing impairment	None
Bilateral acoustic neuromas	None
Bilateral vestibular Schwannoma	None
Absent inner ear	None
Aplasia of the labyrinth	None
Labyrinthine aplasia	None
Michel deformity	None
Aplasia of the inner ear	None
Malformed ossicles	None
Ossicular malformation	None
Abnormality of the middle ear ossicles	None
Enlarged vestibular aqueduct	None
Widened vestibular aqueduct	None
Dilated vestibular aqueduct	None
Asymmetry of the ears	None
Asymmetric ears	None
Antihelix, stem, serpiginous	None
Serpiginous stem of antihelix	None
Fleshy upturned lobules	None
Lobe, uplifted	None
Uplifted earlobe	None
Upturned earlobe	None
Upturned earlobes	None
Uplifted earlobes	None
Type II cryptotia	None
Type 2 cryptotia	None
Long ears	None
Long ear	None
Thick helix	None
Thickened helices	None
Antihelix, inferior crus, broad	None
Broad inferior crus of antihelix	None
Prelingual sensorineural hearing impairment	None
Deafness, sensorineural, prelingual	None
Prelingual sensorineural deafness	None
Stapedial abnormalities	None
Abnormality of the stapes	None
Large earlobe	None
prominent ear lobules	None
Fleshy earlobes	None
Prominent ear lobes	None
Fleshy earlobe	None
Mondini malformation	None
Incomplete partition of the cochlea type II	None
Profound hearing impairment	None
Ear hair	None
Long hairs growing from helix of pinna	None
Long hairs growing from helix of ear	None
Pain in the ear	None
Ear pain	None
Otalgia	None
Osseous atresia of the external auditory canal	None
Transient hearing impairment	None
Severe sensorineural deafness	None
Severe sensorineural hearing loss	None
Severe sensorineural hearing impairment	None
Abnormality of the helix	None
Helix abnormal	None
Abnormal helices	None
Neoplasm of the outer ear	None
Outer ear tumor	None
Bifid antitragus	None
Double antitragus	None
Abnormal number of tubercles	None
Bilateral sensorineural hearing impairment	None
Bilateral sensorineural hearing loss	None
Bilateral nerve deafness	None
Bilateral sensorineural deafness	None
Hearing loss, sensorineural, bilateral	None
Conchal shelf	None
Antihelical shelf	None
Absent stapes head	None
Osseous stenosis of the external auditory canal	None
Absent malleus	None
Abnormal shape/structure of ear	None
Microtia, third degree	None
Third-degree microtia	None
Moderate sensorineural hearing impairment	None
Moderate neural deafness	None
Hypoplasia of cranial nerve VIII	None
Hypoplasia of the eighth cranial nerve	None
Thin vestibular nerve	None
Hypoplasia of the vestibular nerve	None
Small earlobe	None
Hypoplastic lobules	None
Hypoplastic earlobes	None
Small earlobes	None
Abnormal middle ear reflexes	None
Expanded terminal portion of crus of helix	None
Helix, crus, expanded terminal portion	None
Overfolded helices	None
Overfolded ears	None
Overfolded helix	None
Over-folded helices	None
Posterior wedging	None
Congenital earlobe sinuses	None
Morphological abnormality of the utricle	None
Hypertrophic auricular cartilage	None
Vestibular dysfunction	None
Interictal vestibular dysfunction	None
Impaired vestibular function	None
Vestibular function defect	None
External ear malformation	None
Obstruction of Eustachian tube	None
Blocked Eustachian tube	None
Absent eustachian tube	None
Aplasia of the Eustachian tube	None
Acute otitis media	None
Acute middle ear infection	None
Everted antitragus	None
Absent stapes	None
Cutaneous atresia of the external auditory canal	None
Absence of acoustic middle ear muscle reflexes	None
Absent middle ear reflexes	None
Absence of acoustic reflex	None
Late sensorineural hearing loss	None
Sensorineural deafness, late-onset	None
Adult onset sensorineural hearing impairment	None
Linear earlobe crease	None
Morphological abnormality of the saccule	None
Abnormality of the tympanic membrane	None
Abnormality of the eardrum	None
Thickened ears	None
Indented helix	None
Crimped helix	None
Helix, crimped	None
Ear, posterior helical groove	None
Ear, posterior helical notch	None
Indentation in back of outer ear	None
Posterior helix pit	None
Pits in posterior aspect of ear helices	None
Helix, posterior pit	None
Abnormality of the antihelix	None
Abnormal antehelix	None
Abnormal anthelix	None
Abnormal antihelix	None
Auricular tag	None
Abnormality of the oval window	None
Abnormality of the vestibular window	None
Severe conductive hearing impairment	None
Conductive hearing loss, severe	None
Persistent asymmetrical tonic neck reflex	None
Tonic neck reflex asymmetrical and persistent	None
Persistent fencer's reflex	None
Total hyposmia	None
Inability to walk	None
Non-ambulatory	None
Neurodevelopmental delay	None
Extra-axial cerebrospinal fluid accumulation	None
Extra-axial CSF accumulation	None
Fasciculation	None
Muscle twitch	None
Muscle fasciculation	None
Fasciculations	None
Photoparoxysmal response on EEG	None
EEG with photoparoxysmal response	None
Palmomental reflex	None
Deep cerebral white matter hypodensities	None
Deep white matter hypodensities	None
Obstructive sleep apnea	None
Obstructive sleep apnoea	None
Hemiclonic seizures	None
Unilateral clonic seizures	None
Alobar holoprosencephaly	None
Episodic peripheral neuropathy	None
Head-banging	None
Cerebellar gliosis	None
Myelopathy	None
Movement disorder	None
Unusual movement	None
Abnormality of movement	None
Loud snoring	None
Heavy snoring	None
Have loud snoring	None
Snores loudly	None
Has loud snoring	None
Reading disability	None
Dyslexia	None
Easy fatigability	None
Tired easily	None
Photodysphoria	None
Photophobia	None
Extreme sensitivity of the eyes to light	None
Light hypersensitivity	None
Acute episodes of neuropathic symptoms	None
Peripheral dysmyelination	None
Emotional blunting	None
Subcortical dementia	None
Abnormal shape of upper motor neuron	None
Abnormal upper motor neuron morphology	None
Chin spasms	None
Chin myoclonus	None
Geniospasm	None
Spinal hemangioblastoma	None
Brain edema	None
Swelling of brain	None
Cerebral edema	None
Brain oedema	None
Brain swelling	None
Choreiform movements	None
Chorea	None
Choreic movements	None
Choreatic disease	None
Stereotypic behavior	None
Sterotyped behavior	None
Stereotyped behavior	None
Stereotypy	None
Repetitive or self-injurious behavior	None
Stereotyped, repetitive behaviour	None
Stereotyped behaviors	None
Stereotypical motor behaviors	None
Repetitive movements	None
Stereotypic behaviors	None
Abnormality of glossopharyngeal nerve	None
Abnormal glossopharyngeal nerve morphology	None
Abnormal motor evoked potentials in the upper limb	None
Abnormal upper-limb motor evoked potentials	None
Retinal striation	None
Hypermyelinated retinal nerve fibers	None
Pseudobulbar palsy	None
Pseudobulbar syndrome	None
Pseudobulbar paralysis	None
Punding	None
Striatal T2 hyperintensity	None
Spina bifida occulta at L5	None
Absence of pain sensation	None
Pain insensitivity	None
Noncommunicating hydrocephalus	None
Hallucinatory auras	None
Cerebral atrophy, diffuse	None
Diffuse cerebral atrophy	None
Hyporeflexia/areflexia in lower limbs	None
Hyporeflexia, lower limbs	None
Hyporeflexia of lower limbs	None
Hyporeflexia of the lower limbs	None
Hyporeflexia in lower limbs	None
EEG with 4-5/second background activity	None
Enlarged hippocampus	None
Cerebellar glioma	None
Recurrent subcortical infarcts	None
Diffuse cerebral calcification	None
Abnormal shape of motor neuron	None
Abnormal motor neuron morphology	None
EEG with frontal sharp waves	None
Fluid-filled sac located in membrane surrounding brain or spinal cord	None
Arachnoid cyst	None
Arachnoid cysts	None
Focal EEG Abnormality	None
EEG with focal epileptiform discharges	None
Abnormal hypothalamus physiology	None
EEG with photoparoxysmal response grade I	None
Convulsive encephalopathy	None
Epileptic encephalopathy	None
Olfactory auras	None
Abnormal brain choline level by magnetic resonance spectroscopy	None
Abnormal brain choline level by MRS	None
Focal cortical dysplasia type IIIa	None
Increased CSF lactic acid	None
Increased cerebrospinal fluid lactate	None
Hyperlactatorachia	None
Increased CSF lactate	None
Fatiguable weakness of proximal limb muscles	None
Impaired use of nonverbal behaviors	None
Impaired use of nonverbal behaviours	None
Bulimia	None
