Pneumomediastinum	HP:0025421
Aplasia of the pectoralis major muscle	None
Absent pectoralis major muscle	None
Abnormality of styloglossus muscle	None
Abnormal muscle fiber delta sarcoglycan	None
Type 1 fibers relatively smaller than type 2 fibers	None
EMG: myotonic discharges	None
Nonprogressive muscular atrophy	None
Progressive spastic paraplegia	None
Abnormality of geniohyoid muscle	None
Congenital muscular dystrophy	None
Muscular dystrophy, congenital	None
Axial muscle stiffness	None
Late-onset proximal muscle weakness	None
Intrinsic hand muscle atrophy	None
Abnormality of depressor labii inferioris	None
Abnormality of depressor labii inferioris muscle	None
Gastroparesis	None
Delayed gastric emptying	None
Abnormal muscle fiber laminin beta 1	None
Muscle fiber inclusion bodies	None
Abnormality of jaw muscles	None
Amyotrophy of distal limb muscles	None
Distal muscle atrophy, upper and lower limbs	None
Distal limb muscle atrophy	None
Distal muscle atrophy	None
Distal amyotrophy, especially of the hands and feet	None
Distal muscle wasting	None
Distal amyotrophy	None
Distal muscular atrophy	None
Muscle atrophy, distal	None
Distal muscle degeneration	None
Anesthetic-induced rhabdomylosis	None
Triangular tongue	None
Triangle shaped tongue	None
Fatigable weakness of respiratory muscles	None
Joint contractures of the 3rd toe	None
Flexion contracture of 3rd toe	None
Weakness of muscles of respiration	None
Abnormality of the foot musculature	None
Abnormal foot muscles	None
Abnormal muscle fiber emerin	None
Abnormality of the hemidiaphragms	None
Absent triceps	None
Triceps aplasia	None
Abnormal muscle fiber beta sarcoglycan	None
Underdeveloped calf muscles	None
Hypoplastic calf muscles	None
Calf muscle hypoplasia	None
Abnormality of skeletal muscle fiber size	None
Camptodactyly of the ring finger	None
Camptodactyly of the 4th finger	None
Contracture of the proximal interphalangeal joint of the 4th finger	None
4th finger camptodactyly	None
Bulbar palsy	None
Bulbar muscle weakness	None
Bulbar weakness	None
Bulbar palsies	None
Progressive distal muscular atrophy	None
Myotonia of the lower limb	None
Type 2 muscle fiber predominance	None
Type II muscle fiber predominance	None
Rimmed vacuoles	None
'rimmed' vacuoles on biopsy	None
'rimmed vacuoles' on biopsy	None
EMG abnormality	None
EMG abnormalities	None
Electromyogram abnormal	None
Abnormal EMG	None
Abnormal electromyography finding	None
Internally nucleated skeletal muscle fibers	None
Muscular hypotonia	None
Low or weak muscle tone	None
Muscle hypotonia	None
Camptodactyly of 2nd-5th fingers	None
Lower limb amyotrophy	None
Abdominal muscular hypoplasia	None
Hypoplasia of the abdominal wall musculature	None
Cold-induced muscle cramps	None
Distal upper limb muscle weakness	None
Contracture of the distal interphalangeal joint of the second toe	None
Contracture of the distal interphalangeal joint of the 2nd toe	None
Fatigable weakness of swallowing muscles	None
Spinal muscular atrophy	None
Spinal muscle degeneration	None
Spinal muscle wasting	None
Central core regions in muscle fibers	None
Myotonia of the jaw	None
Scapuloperoneal weakness	None
Neurogenic scapuloperoneal syndrome	None
Intramuscular hematoma	None
Intramuscular hematomas	None
IM hematoma	None
Intramuscular hemorrhage	None
Intramuscular haematoma	None
Abnormality of medial pterygoid muscle	None
Abnormality of zygomaticus major muscle	None
Abnormal muscle tone	None
Muscle fiber hyaline bodies	None
Muscle weakness, shoulder-girdle	None
Shoulder weakness	None
Shoulder girdle weakness	None
Weak shoulder muscles	None
Shoulder girdle muscle weakness	None
Rhabdomyosarcoma	None
Rhabdomyolysis	None
Breakdown of skeletal muscle	None
Neck flexion weakness	None
Neck flexor weakness	None
Neck flexor muscle weakness	None
Fibularis muscle weakness	None
Peroneal muscle weakness	None
Abnormality of the musculature of the thorax	None
Segmental spinal muscular atrophy	None
Neck hypertonia	None
Reduced muscle fiber lamin A/C	None
Limb-girdle myopathy	None
Wasting of limb-girdle muscle	None
Limb-girdle muscle atrophy	None
Muscle fiber intranuclear inclusion bodies	None
Marked muscular hypertrophy	None
Type 2 muscle fiber atrophy	None
Type 2 fiber atrophy	None
Abnormal muscle fiber merosin expression	None
Lax abdominal musculature	None
Abdominal wall muscle weakness	None
Reduced muscle fiber emerin	None
Abnormal muscle morphology	None
Abnormality of muscle morphology	None
Abnormal skeletal muscle morphology	None
Abnormally shaped muscle	None
Issue with muscle structure	None
Increased muscle lipid droplets	None
Increased intramyocellular lipid droplets	None
Abnormality of glutes	None
Abnormality of the gluteal musculature	None
Muscle flaccidity	None
Asymmetrical buttock crease	None
Asymmetrical gluteal crease	None
Asymmetrical horizontal gluteal crease	None
Asymmetrical gluteal sulcus	None
Axial muscle weakness	None
Beevor's sign	None
Transient swelling of muscle induced by percussion	None
Percussion myotonia	None
5th finger camptodactyly	None
Contracture of the proximal interphalangeal joint of the 5th finger	None
Generalized muscle hypertrophy	None
Generalized increase in muscle cell size	None
Muscle stiffness with exercise	None
Exercise-induced muscle stiffness	None
Muscle stiffness, exercise-induced	None
Contracture of the distal interphalangeal joint of the 4th finger	None
Necklace skeletal muscle fibers	None
Abnormal muscle fiber dysferlin	None
Interphalangeal joint flexion contractures	None
Interphalangeal joint contracture of finger	None
Episodic flaccid weakness	None
Flexion contracture of digit	None
Amyotrophy of the thigh musculature	None
Proximal lower limb amyotrophy	None
Thigh muscle atrophy	None
Proximal lower limb muscle atrophy	None
Wasting of thigh muscle	None
Amyotrophy involving the thigh	None
Muscular dystrophy	None
Muscle biopsy shows dystrophic changes	None
Weak frontalis muscle	None
Frontalis muscle weakness	None
Weakness of forehead muscle	None
Contracture of the metatarsophalangeal joint of the 3rd toe	None
Aplasia of the left hemidiaphragm	None
Amyotrophy of the musculature of the pelvis	None
Mitochondrial myopathy	None
Abnormal muscle fiber myotilin	None
Shoulder muscle aplasia	None
Absent shoulder muscle	None
Rectus superior atrophy	None
Superior rectus atrophy	None
Abnormality of uvular muscle	None
Abnormality of musculus uvulae	None
Absent muscle fiber delta sarcoglycan	None
Permanent flexion of the finger or toe	None
Camptodactyly	None
Distal upper limb muscle hypertrophy	None
Decreased muscle glycogen content	None
Dupuytren contracture	None
Jaw hyporeflexia	None
Mandibular hyporeflexia	None
Hypoplasia of latissimus dorsi muscle	None
Aplasia/Hypoplasia of the musculature of the thigh	None
Absent/underdeveloped thigh muscles	None
Absent/small thigh muscles	None
Myasthenic weakness	None
Generalized muscle weakness due to defect at the neuromuscular junction	None
Myasthenia	None
Fatigable weakness	None
Proximal muscle weakness due to defect at the neuromuscular junction	None
Fatigable weakness of limb muscles	None
Hip-girdle muscle weakness	None
Pelvic girdle muscle weakness	None
Pelvic girdle weakness	None
Hip girdle weakness	None
Hip girdle muscle weakness	None
Abnormal muscle fiber alpha sarcoglycan	None
Muscle cramps	None
Muscle spasm	None
Depletion of mitochondrial DNA in muscle tissue	None
Depletion of mitochondrial dna in skeletal muscle tissue	None
Cardiac rhabdomyoma	None
Muscle hypoplasia	None
Hypoplasia of the musculature	None
Poorly developed skeletal musculature	None
Underdeveloped muscle	None
Bilateral camptodactyly	None
Thenar muscle weakness	None
Deposits immunoreactive to beta-amyloid protein	None
Quadriceps aplasia	None
Absent quads	None
Camptodactyly of 2nd finger	None
Contracture of the proximal interphalangeal joint of the 2nd finger	None
Camptodactyly of index finger	None
Camptodactyly of second finger	None
Abnormal limb muscles	None
Abnormality of the musculature of the limbs	None
Muscle issues in the arms and/or legs	None
Progressive spasticity	None
Spasticity, progressive	None
Clasp-knife sign	None
Accumulation of muscle fiber valosin-containing protein	None
Underdeveloped triceps	None
Triceps hypoplasia	None
Small triceps	None
Muscle issues in the shoulder	None
Abnormality of the shoulder musculature	None
Abnormal morphology of the shoulder musculature	None
Abnormality of lateral pterygoid muscle	None
Type 1 and type 2 muscle fiber minicore regions	None
Reduced maximal inspiratory pressure	None
Congenital finger contractures	None
Congenital finger flexion contractures	None
Partial abdominal muscle agenesis	None
Hyperplasia of facial muscles	None
Large facial muscles	None
Facial muscle hypertrophy	None
Increased size of facial muscles	None
Abnormality of the calf musculature	None
Abnormality of calf musculature	None
Abnormal calf muscles	None
Joint contractures of the 2nd finger	None
Flexion contracture of the 2nd finger	None
Contracture of the outermost hinge joint of the 3rd finger	None
Contracture of the distal interphalangeal joint of the 3rd finger	None
Tibialis atrophy	None
Tibialis muscle degeneration	None
Abnormality of lingual muscle	None
Abnormality of the tongue muscle	None
Intermittent painful muscle spasms	None
Muscle hyperirritability	None
Muscle fiber tubular inclusions	None
Muscle fiber tubular aggregates	None
Abnormality of muscle of nose	None
Abnormality of nasal musculature	None
Abnormality of musculature of the nose	None
EMG: slow motor conduction	None
Leg muscle stiffness	None
Contractures of the joints of the upper limbs	None
Retrocollis	None
Hypoglycosylation of alpha-dystroglycan	None
Abnormality of the hypothenar eminence	None
Upper limb spasticity	None
Uncontrollable movement in upper arms	None
Abnormality of the abdominal musculature	None
Abnormal morphology of the abdominal musculature	None
Increased IM fat	None
Increased intramuscular fat	None
Spastic paraparesis	None
Issue with muscle function	None
Abnormality of muscle physiology	None
Abnormal muscle physiology	None
Fatigable weakness of skeletal muscles	None
Reduced muscle fiber alpha dystroglycan	None
Increased endomysial connective tissue	None
Contracture of the metacarpophalangeal joint of the 4th finger	None
Muscle fiber actin filament accumulation	None
Accumulation in muscle cells of filaments composed of actin.	None
Tumors of striated muscle	None
Neoplasm of striated muscle	None
Rhabdomyolysis with exercise	None
Exercise-induced rhabdomyolysis	None
Abnormal muscle glycogen content	None
Fatigable weakness of distal limb muscles	None
Hypotonia	None
Hypotonia, generalized	None
Low muscle tone	None
Generalized muscular hypotonia	None
Generalized hypotonia	None
Decreased muscle tone	None
Shoulder girdle atrophy	None
Shoulder-girdle muscle atrophy	None
Shoulder girdle muscle wasting	None
Shoulder girdle muscle atrophy	None
Abnormality of the back musculature	None
Muscle issues in the back	None
Absent/small skeletal muscles	None
Absent/underdeveloped skeletal muscles	None
Aplasia/Hypoplasia involving the skeletal musculature	None
Weakness of long finger extensor muscles	None
Infantile muscular hypotonia	None
Hypotonia early	None
Infantile hypotonia	None
Decreased muscle tone in infant	None
Hypotonia in infancy	None
Hypotonia, early	None
Muscle fiber hypertrophy	None
Muscle fibre hypertrophy	None
Pectoralis minor aplasia	None
Absence of pectoralis minor muscle	None
Cervical dystonia	None
Loxia	None
Wry neck	None
Torticollis	None
Spasmodic torticollis	None
Absent biceps	None
Biceps aplasia	None
EMG: myokymic discharges	None
Congenital hypotonia	None
Low muscle tone, in neonatal onset	None
Hypotonia, in neonatal onset	None
Hypotonia, neonatal	None
Neonatal hypotonia	None
Contracture of the distal interphalangeal joint of the 3rd toe	None
Hamstring contractures	None
Facial midline hemangioma	None
Lymphocytoma cutis	None
Spiegler-Fendt sarcoid	None
Skin pseudolymphoma	None
Vulvar melanoma	None
Pineocytoma	None
Renal transitional cell carcinoma	None
renal TCC	None
Renal urothelial carcinoma	None
Transitional renal cell carcinoma	None
Acute myelomonocytic leukemia	None
Uterine cancer	None
Uterine neoplasm	None
Uterine tumor	None
Uterine neoplasia	None
Skin adnexal neoplasm	None
Skin appendage neoplasm	None
Skin adnexal tumor	None
Diffuse leiomyomatosis	None
Cylindroma	None
Multiple lineage myelodysplasia	None
Neoplasm of the pituitary gland	None
Uterine fibroid	None
Uterine leiomyoma	None
Benign uterine leiomyomas	None
Frontal cutaneous lipoma	None
Neoplasm of the GU tract	None
Neoplasm of the genitourinary tract	None
Genitourinary tract tumors	None
Genitourinary tract neoplasm	None
Genitourinary tract neoplasia	None
Kaposi's sarcoma	None
Small intestinal polyposis	None
Prolactinoma	None
Oropharyngeal squamous cell carcinoma	None
Colorectal polyps	None
Colorectal polyposis	None
Face tumor	None
Facial neoplasm	None
Angiofibromas	None
Epignathus	None
Papillary renal cell carcinoma type 1	None
Choroid plexus carcinoma	None
Parotid oncocytoma	None
Salivary gland oncocytoma	None
Renal neoplasia	None
Renal neoplasm	None
Kidney cancer	None
Renal tumors	None
Neoplasia of the kidneys	None
Rib exostoses	None
Neoplasm of the tongue	None
Exostoses of the radius	None
Neurocytoma	None
Neurofibromata	None
multiple neurofibromas	None
Neurofibromatosis	None
Neurofibromas	None
Pulmonary paraglioma	None
Neoplasm of the larynx	None
Zollinger-Ellison syndrome	None
Clinically silent pituitary adenoma	None
Non-functional pituitary adenoma	None
Silent pituitary adenoma	None
Pituitary null cell adenoma	None
Hormonally silent pituitary adenoma	None
Ampulla of Vater carcinoma	None
Bartholin gland carcinoma	None
Exostoses of the radial metaphysis	None
Retinal racemose hemangioma	None
Retinal racemose haemangioma	None
Pineal parenchymal cell neoplasm	None
Giant cell tumor of bone	None
Midline facial capillary hemangioma	None
Neoplasm of the adrenal gland	None
Adrenal neoplasia	None
GI carcinoma	None
Gastrointestinal carcinoma	None
Fatty tumors on the eyelids.	None
Lipomas of eyelids	None
Paraspinal hemangioma	None
Squamous cell cancer	None
Squamous cell carcinoma	None
Anaplastic large-cell lymphoma	None
Rosette-forming glioneuronal tumour	None
Rosette-forming glioneuronal tumor of the fourth ventricle	None
Rosette-forming glioneuronal tumor	None
Rosette-forming glioneuronal neoplasm	None
Lung tumor	None
Neoplasm of the lung	None
Lung cancer	None
Malignant GU tract tumor	None
Malignant genitourinary tract tumor	None
Neoplasia of the middle ear	None
Middle ear tumor	None
Neoplasm of the middle ear	None
Sacral lipoma	None
Malignant neoplasm of the CNS	None
Malignant neoplasm of the central nervous system	None
Malignant GI tract tumors	None
Malignant gastrointestinal tract tumors	None
T cell chronic lymphocytic lymphoma/leukemia	None
Iris hamartomas	None
Lisch nodules	None
Tumor of mouth	None
Lesion of mouth	None
Neoplasm of the oral cavity	None
Tumor of oral cavity	None
Neoplasm of the mouth	None
Lesion of oral cavity	None
Angiolymphoid hyperplasia with eosinophilia	None
Epithelioid hemangioma	None
Cancer of connective tissue	None
Malignant connective tissue tumor	None
Sarcoma	None
Cerebellar glioma	None
Neoplasm of the ear	None
Ear tumor	None
Juvenile myelomonocytic leukemia	None
Thyroid microfollicular adenoma	None
Ganglioneuroma	None
Painful subcutaneous lipomas	None
Painful noncancerous fat tissue tumor under the skin	None
Primary central nervous system lymphoma	None
Primary CNS lymphoma	None
Gastric leiomyosarcoma	None
Disseminated cutaneous warts	None
Renal sarcoma	None
Trichodiscoma	None
Embryonal renal neoplasm	None
Retropharyngeal hemangioma	None
Neuroblastic tumor	None
Osteogenic sarcoma	None
Bone cell cancer	None
Osteosarcoma	None
Germ cell neoplasia	None
Cavernous hemangioma	None
Cavernous haemangioma	None
Cavernous angioma	None
Collection of dilated blood vessels that forms mass	None
Neoplasm of the endocrine system	None
Endocrine neoplasia	None
Numerous moles	None
Numerous nevi	None
Multiple pigmented nevi	None
Midfrontal capillary hemangioma	None
Tumor of the lip	None
Lip tumor	None
Neoplasm of the lip	None
Neoplasia of the lip	None
Neurinoma	None
Schwann cell tumor	None
Neurilemmoma	None
Schwannoma	None
Schwann cell tumour	None
Schwannomas	None
Neurolemmoma	None
Low-grade adenocarcinoma of endolymphatic sac origin	None
Endolymphatic sac tumor	None
Aggressive papillary middle ear tumor	None
Heffner tumor	None
T-cell lymphoma/leukemia	None
Fibroma	None
Acute promyelocytic leukemia	None
Ovarian sex cord-stromal tumor	None
Gastrointestinal tract tumor	None
Neoplasm of the gastrointestinal tract	None
Gastrointestinal tract neoplasia	None
GI tract tumor	None
Neoplasm of the GI tract	None
Gastrointestinal tract neoplasm	None
Lipoma of corpus callosum	None
Spinal meningioma	None
Facial capillary hemangioma	None
Papillary renal cell carcinoma type 2	None
Juvenile GI polyposis	None
Juvenile gastrointestinal polyposis	None
Embryonal rhabdomyosarcoma	None
Laryngeal cancer	None
Laryngeal carcinoma	None
Cancer of the larynx	None
Tracheobronchial leiomyomatosis	None
Myofibromatosis	None
Benign genitourinary tract neoplasm	None
Benign GU tract neoplasm	None
Benign genitourinary tract tumor	None
Neoplasm of the gallbladder	None
Neoplasia of the gallbladder	None
Papilloma	None
Thyroid atypical adenoma	None
Cortical tubers	None
Orbital schwannoma	None
Pericardial mesothelioma	None
Cutaneous leiomyomas	None
Cutaneous leiomyomata	None
Cutaneous leiomyoma	None
Cardiac teratoma	None
Neoplasm of the tracheobronchial system	None
Retinal hamartoma	None
Tufted hemangioma	None
Hypertrophic hemangioma	None
Progressive capillary hemangioma	None
Angioblastoma of Nakagawa	None
Angioblastoma	None
Tufted angioma	None
Chronic lymphocytic leukemia	None
Chronic lymphatic leukemia	None
Corticotropin-secreting pituitary adenoma	None
ACTH-producing pituitary adenoma	None
Pituitary corticotropic cell adenoma	None
Lymphangioleiomyomatosis	None
Pulmonary lymphangiomyomatosis	None
Pulmonary myomatosis	None
Neoplasm of the thymus	None
Ovarian papillary adenocarcinoma	None
Keratoacanthoma	None
Mucinous neoplasm of the ovary	None
Ovarian mucinous tumor	None
Papillary carcinoma of thyroid	None
Thyroid papillary carcinoma	None
Papillary thyroid carcinoma	None
Sebaceous adenoma	None
Adenoma sebaceum	None
Sebaceous adenomas	None
Facial angiofibromas	None
Ossifying fibroma	None
Enchondroma	None
Atypical neurofibromatosis	None
Serrated polyposis	None
Serrated intestinal polyps	None
Trichoepithelioma	None
Hemangioma of the liver	None
Liver hemangioma	None
Hepatic hemangioma	None
Adrenocortical carcinoma	None
Adrenal carcinoma	None
Adrenal gland carinoma	None
Genital warts	None
Cerebral hamartomata	None
Cerebral hamartoma	None
Myxoid subcutaneous tumors	None
Solar keratosis	None
Actinic keratosis	None
Vulvar neoplasm	None
Tumor of the vulva	None
Neoplasm of the vulva	None
Odontogenic keratocysts of the jaw	None
Keratocystic odontogenic tumor	None
Keratocysts of the jaw	None
Adrenocortical adenomas	None
Adrenocortical adenoma	None
Noncancerous tumor in pituitary gland	None
Pituitary adenoma	None
Liver cell adenoma	None
Hepatic adenoma	None
Hepatocellular adenoma	None
Subcutaneous neurofibromas	None
Salivary gland neoplasia	None
Salivary gland neoplasm	None
Cancer of salivary gland	None
Tumor of salivary gland	None
Parathyroid carcinoma	None
Parathyroid Cancer	None
Multiple intestinal neurofibromatosis	None
Intestinal carcinoid	None
Acanthoma	None
Macroprolactinoma	None
Pancreatic islet cell adenoma	None
Testicular mesothelioma	None
Cerebral germinoma	None
Adenocarcinoma of the intestines	None
Brain tumor	None
Brain tumour	None
Brain neoplasm	None
Neoplasm	None
Oncological abnormality	None
Cancer	None
Tumor	None
Neoplasia	None
Tumour	None
Abnormal tissue mass	None
Oncology	None
Retinal neoplasm	None
Paraspinal neurofibromas	None
AML-M5	None
Acute monocytic leukemia	None
AMoL	None
Acute monoblastic leukemia	None
Osteoma	None
Pituitary growth hormone cell adenoma	None
Pituitary somatotropinoma	None
Non-secretory adrenal adenoma	None
Non-secretory adrenocortical adenoma	None
Testicular teratoma	None
Neoplasm of the penis	None
Neoplasia of the penis	None
Penis tumor	None
Large cell lung carcinoma	None
Polyp of the ureter	None
Ureter polyp	None
Ureteral polyp	None
Lentigo maligna melanoma	None
Neoplasia of the eye	None
Neoplasm of the eye	None
Eye tumor	None
Iris melanoma	None
Soft tissue sarcomas	None
Soft tissue sarcoma	None
IM Myxoma	None
Intramuscular Myxoma	None
Malignant ovarian granulosa cell tumor	None
Neuroendocrine neoplasm	None
Neuroendocrine neoplasia	None
Retroperitoneal chemodectomas	None
Osteochondromas	None
Osteocartilaginous exostoses	None
Osteochondroma	None
Lipoma of the tongue	None
Tongue lipoma	None
Pheochromocytoma, extraadrenal	None
Extraadrenal pheochromocytoma	None
Primary gastric lymphoma	None
Gastric lymphoma	None
Pineoblastoma	None
Pinealoblastoma	None
Vaginal clear cell adenocarcinoma	None
Clear cell adenocarcinoma of the vagina	None
Leiomyosarcoma	None
Strawberry mark	None
Hemangiomata	None
Hemangioma	None
Cardiac myxoma	None
B Acute Lymphoblastic Leukemia	None
Pre-B-cell acute lymphoblastic leukemia	None
Neoplasia of the breast	None
Tumours of the breast	None
Breast tumor	None
Neoplasm of the breast	None
Renal cortical adenoma	None
Kidney cortical adenoma	None
Lipomas	None
Lipomatosis	None
Multiple lipomas	None
Multiple fatty lumps	None
Thyroid macrofollicular adenoma	None
Sarcomatoid carcinoma of the tongue	None
Spindle cell carcinoma of the tongue	None
Thyroid follicular adenoma	None
Peripheral primitive neuroectodermal neoplasm	None
Cutaneous leiomyosarcoma	None
Laryngeal hemangioma	None
Throat hemangioma	None
Tumor of fatty tissue	None
Neoplasm of fatty tissue	None
Pancreatic endocrine tumor	None
Ossifying fibroma of the jaw	None
Squamous cell lung carcinoma	None
Tympanic nerve tumor	None
Glomus tympanicum paraganglioma	None
Tympanic nerve tumors	None
Cancer of lymphatic system	None
Lymphoma	None
Glabellar capillary hemangioma	None
Glabellar hemangioma	None
Neuroplasm of the autonomic nervous system	None
Altman type II sacrococcygeal teratoma	None
Soft tissue neoplasm	None
Medulloepithelioma	None
Testicular neoplasia	None
Testicular tumor	None
Testicular cancer	None
Testicular neoplasm	None
Trophoblastic tumor	None
Jejunal adenocarcinoma	None
Dysgerminoma	None
Severe platyspondyly	None
platyspondyly, extreme	None
Fused innermost bones of third toe with 3rd long bone of foot	None
Symphalangism of the proximal phalanx of the 3rd toe with the 3rd metatarsal	None
Corner fragments of ulnar metaphysis	None
Short pinky finger	None
Hypoplastic phalanges of the little finger	None
Short little finger	None
Fifth finger brachydactyly	None
Short 5th finger	None
Short phalanges of the little finger	None
Short pinkie finger	None
Short fifth finger	None
Hypoplastic/small 5th finger	None
Short fifth fingers	None
Hypoplastic/small little finger	None
Cervical instability	None
Wide/broad proximal index finger phalanx	None
Broad proximal phalanx of the 2nd finger	None
Wide innermost bone of index finger	None
Dysplasia of the femoral head	None
Dysplastic femoral head	None
Abnormality of femoral head development	None
More than five fingers or toes on hands or feet	None
Polydactyly	None
Synostosis involving metacarpal bones	None
Synostosis involving the metacarpal bones	None
Fused long bones of hand	None
Metacarpal synostosis	None
Tibial deviation of the 3rd toe	None
Pointed proximal metacarpals	None
Pointed innermost long bone of hand	None
Proximal tapering of metacarpals	None
Pseudoarthrosis of clavicle	None
Bipartite clavicle	None
Clavicle pseudoarthrosis	None
Congenital pseudoarthrosis of the clavicle	None
Abnormality of middle 2nd finger phalanx	None
Abnormality of the middle phalanx of the 2nd finger	None
Abnormal middle index finger bone	None
Contracture of the interphalangeal joint of the hallux	None
Dorsal rib defect	None
Posterior rib gap	None
Absent/small lower limb bones	None
Absent/underdeveloped lower limb bones	None
Aplasia/hypoplasia involving bones of the lower limbs	None
Irregular epiphysis of the proximal phalanx of the 2nd finger	None
Irregular end part of innermost long bone of index finger	None
Proportionate shortening of all digits	None
Irregular ossification at anterior rib ends	None
Bracket shaped end part of the outermost bone of the index finger	None
Bracket epiphysis of the distal phalanx of the 2nd finger	None
Looser zones	None
Pseudo-fractures	None
Contracture of the metatarsophalangeal joint of the 2nd toe	None
Soft tissue swelling of interphalangeal joints	None
Soft tissue swelling of hinge joints	None
Dislocated elbows on both sides	None
Bilateral elbow dislocations	None
Thin metatarsal cortices	None
Abnormality of the proximal phalanx of the thumb	None
Abnormality of proximal thumb phalanx	None
Abnormal innermost thumb bone	None
Cervical C5/C6 vertebrae fusion	None
Wide innermost bone of 4th toe	None
Broad proximal phalanx of the 4th toe	None
Short arms	None
Upper limb undergrowth	None
Shortening of the arms	None
Hypoplasia involving bones of the upper limbs	None
Sclerosis of the distal phalanges of the hand	None
Increased bone density in outermost finger bone	None
Sclerosis of distal finger phalanx	None
Small end part of the outermost bone of the little toe	None
Small epiphysis of the distal phalanx of the 5th toe	None
Small end part of the outermost bone of the pinky toe	None
Small end part of the outermost bone of the pinkie toe	None
Wide end part of upper limb bones	None
Wide epiphyses of the upper limbs	None
Broad epiphyses of the upper limbs	None
Abnormality of limb bone	None
Irregular femoral epiphysis	None
Irregular thighbone end part	None
Bullet-shaped pinkie finger bones	None
Bullet-shaped pinky finger bones	None
Bullet-shaped little finger bones	None
Bullet-shaped phalanges of the 5th finger	None
Complete duplication of the proximal phalanx of the 3rd finger	None
Complete duplication of the innermost bone of the 3rd finger	None
Stiff ankle	None
Ankle stiffness	None
Curved middle phalanges of the hand	None
Curved middle finger bonds of the hand	None
Absent mastoids	None
Failure of development of mastoid	None
Absent mastoid	None
Mastoid agenesis	None
Pseudoepiphyses of the 4th finger	None
Y-shaped central long bones of hand	None
Central Y-shaped metacarpal	None
Sacral meningocele	None
Abnormality of the epiphysis of the middle phalanx of the 4th toe	None
Abnormality of the end part of the middle bone of the 4th toe	None
Aplasia/Hypoplasia of the 4th finger	None
Absent/small ring finger bone	None
Absent/underdeveloped ring finger bone	None
Herniated disk	None
Herniation of intervertebral nuclei	None
Herniated intervertebral nuclei	None
Wide long bone of foot	None
Widened metatarsal shaft	None
Broad metatarsal	None
Broad metatarsals	None
Bracket epiphysis of the middle phalanx of the 3rd toe	None
Bracket shaped end part of the middle bone of 3rd toe	None
Osteoarthritis of the distal interphalangeal joint	None
Abnormality of the end part of the innermost hand bones	None
Abnormality of the epiphyses of the proximal phalanges of the hand	None
Sacroiliac joint synovitis	None
Postnatal macrocephaly	None
Macrocephaly, postnatal	None
Metopic suture patent to nasal root	None
Increased bone density in the outermost bone of the big toe	None
Sclerosis of the distal phalanx of the hallux	None
Depression of frontal cranial suture	None
Metopic depression	None
Frontal suture depression	None
Depression of metopic cranial suture	None
Cone-shaped epiphysis of the 1st metacarpal	None
Cone-shaped end part of the 1st long bone of hand	None
Dislocated leg joints	None
Lower extremity joint dislocation	None
Bracket epiphysis of the distal phalanx of the 4th finger	None
Bracket shaped end part of the outermost bone of the ring finger	None
Bouchard's node	None
Shortening of all proximal phalanges of the fingers	None
Shortening of all innermost bones of the fingers	None
Absent in utero ossification of vertebral bodies	None
Enlarged end part of the pinkie finger bones	None
Enlarged end part of the little finger bones	None
Enlarged epiphyses of the 5th finger	None
Enlarged end part of the pinky finger bones	None
Lunate-triquetral fusion	None
Lunotriquetral synostosis	None
Anterior clefting of vertebral bodies	None
Irregular epiphyses of the 3rd toe	None
Irregular end part of the 3rd toe bone	None
Osteomyelitis	None
Bone infection	None
Bullet-shaped middle bone of the 4th toe	None
Bullet-shaped middle phalanx of the 4th toe	None
Enlarged end part of the outermost bone of the 3rd toe	None
Enlarged epiphysis of the distal phalanx of the 3rd toe	None
Widened outermost bone of limb	None
Widened distal phalanges	None
Prominent elbow	None
Large elbow	None
Fragmentation of the epiphysis of the middle phalanx of the 3rd toe	None
Fragmentation of the end part of the middle bone of the 3rd toe	None
Short middle bone of pinky toe	None
Short middle bone of little toe	None
Hypoplastic/small middle phalanx of the 5th toe	None
Short middle phalanx of the 5th toe	None
Short middle bone of pinkie toe	None
Short middle phalanx of the fifth toe	None
Localized hypoplasia of dental enamel	None
Localized dysplasia of tooth enamel	None
Localized hypoplasia of tooth enamel	None
Abnormality of the end part of the innermost bone of the 2nd toe	None
Abnormality of the epiphysis of the proximal phalanx of the 2nd toe	None
Absent epiphysis of the proximal phalanx of the 5th toe	None
Absent end part of the innermost bone of the pinky toe	None
Absent end part of the innermost bone of the pinkie toe	None
Absent end part of the innermost bone of the little toe	None
Enlarged epiphysis of the distal phalanx of the 5th toe	None
Enlarged end part of the outermost bone of the pinky toe	None
Enlarged end part of the outermost bone of the pinkie toe	None
Enlarged end part of the outermost bone of the little toe	None
Abnormality of the phalanges of the 3rd toe	None
Abnormality of the bones of the 3rd toe	None
Fused 4th-5th long bones of hand	None
Fused fourth and fifth metacarpals	None
Fused 4th-5th metacarpals	None
Sclerotic cranial sutures	None
Abnormality of the outermost bone of the little toe	None
Abnormality of the outermost bone of the pinky toe	None
Abnormality of the outermost bone of the pinkie toe	None
Abnormality of the distal phalanx of the 5th toe	None
Short pointed digital bones	None
Short pointed phalanges	None
Thoracoabdominal wall defect	None
Thoracoabdominal schisis	None
Disc-like vertebral bodies	None
Large end part of bone	None
Large epiphyses	None
Widened, distorted epiphyses	None
Enlarged epiphyses	None
Acro-osteolysis	None
Breakdown of small bones of fingers	None
Osteolytic defects of the phalanges of the hand	None
