Inguinal hernia	HP:0000023
Hammer toe	None
Hammertoes	None
Hammertoe	None
Abnormal proximal phalanx morphology of the hand	None
Abnormality of the proximal phalanges of the hand	None
Abnormality of the innermost finger bones of the hand	None
Pseudoepiphysis of the middle phalanx of the 5th toe	None
Proximal foot symphalangism	None
Triangular shaped middle bones of toes	None
Triangular shaped middle phalanges of the toes	None
Sirenomelia	None
Sympodia	None
Abnormality of the humeroulnar joint	None
Abnormal shape of limb bone	None
Limb abnormality	None
Abnormality of limb bone morphology	None
Arm and/or leg bone differences	None
Absent patellar reflexes	None
Absent knee jerk reflex	None
Hypoplasia/agenesis of distal phalanges of toes	None
Absent/small outermost bones of toe	None
Absent/underdeveloped outermost bones of toe	None
Absent/hypoplastic terminal phalanges of toes	None
Aplasia/Hypoplasia of the distal phalanges of the toes	None
Patchy sclerosis of the proximal phalanges of the hand	None
Patchy sclerosis of proximal phalanx of finger	None
Uneven increase in bone density in innermost finger bone	None
Osteoporotic forearm bones	None
Ivory epiphysis of the distal phalanx of the 5th toe	None
Increased bone density of end part of the outermost bone of the little toe	None
Increased bone density of end part of the outermost bone of the pinky toe	None
Increased bone density of end part of the outermost bone of the pinkie toe	None
Small epiphyses of the 4th toe	None
Small end part of the 4th toe bone	None
Abnormality of the end part of the outermost bone of finger	None
Abnormality of the epiphyses of the distal phalanx of finger	None
Displacement of the 5th toe	None
Displacement of the pinkie toe	None
Displacement of the pinky toe	None
Displacement of the little toe	None
Deviation of the 5th toe	None
Metaphyseal dappling	None
Dappled metaphyseal sclerosis	None
Narrow small joints of the hand	None
Ainhum	None
Dactylolysis spontanea	None
Uneven increase in bone density in the innermost bone of the ring finger	None
Patchy sclerosis of the proximal phalanx of the 4th finger	None
Duplication of the distal phalanx of the third toe	None
Partial/complete duplication of the distal phalanx of the 3rd toe	None
Duplication of the outermost bone of the 3rd toe	None
Duplication of the distal phalanx of the 3rd toe	None
Hypoplastic/small distal phalanx of the 4th finger	None
Short distal phalanx of the 4th finger	None
Short outermost bone of ring finger	None
Short distal phalanx of the fourth finger	None
Synostosis involving the elbow	None
Bone fusion involving the elbow	None
Stippling of the epiphysis of the distal phalanx of the 4th toe	None
Speckled calcifications in the end part of the outermost bone of the 4th toe	None
Abnormality involving the epiphyses of the upper limbs	None
Epihyseal plate abnormality of the upper limbs	None
Abnormality of upper limb epiphysis morphology	None
Abnormal shape of end part of upper limb long bones	None
Flat capital femoral epiphyses	None
Flat femoral capital epiphyses	None
Flat end part of innermost thighbone	None
Flattened proximal femoral epiphyses	None
Flat proximal femoral epiphyses	None
Flat capital femoral epiphysis	None
Pseudoepiphyses of the toes	None
Complex palmar dermatoglyphic pattern	None
Tibialis muscle weakness	None
Small epiphysis of the proximal phalanx of the 5th toe	None
Small end part of the innermost bone of the pinkie toe	None
Small end part of the innermost bone of the little toe	None
Small end part of the innermost bone of the pinky toe	None
Proximal radial head dislocation	None
Muscle weakness, shoulder-girdle	None
Shoulder weakness	None
Shoulder girdle weakness	None
Weak shoulder muscles	None
Shoulder girdle muscle weakness	None
Bullet-shaped innermost bone of pinky toe	None
Bullet-shaped innermost bone of little toe	None
Bullet-shaped innermost bone of pinkie toe	None
Bullet-shaped proximal phalanx of the 5th toe	None
Complete cutaneous syndactyly of second and third toes	None
Toe syndactyly, 2-3	None
Cutaneous syndactyly of second and third toes	None
2-3 toes syndactyly	None
Cutaneous 2,3 toe syndactyly	None
Syndactyly of second and third toes	None
2-3 toe soft tissue syndactyly	None
Webbed 2nd and 3rd toes	None
2-3 toe syndactyly	None
2-3 syndactyly of feet	None
partial or complete syndactyly 2nd-3rd toes	None
Short femurs	None
Hypoplasia of the femora	None
Short thighbone	None
Femoral hypoplasia	None
Short femur	None
Prominent innermost hinge joints	None
Prominent proximal interphalangeal joints	None
Complete duplication of the distal phalanx of the 4th finger	None
Complete duplication of the outermost bone of the ring finger	None
Wide middle phalanx of the 5th finger	None
Broad middle phalanx of the 5th finger	None
Broad middle bone of pinkie finger	None
Broad middle bone of little finger	None
Broad middle bone of pinky finger	None
Abnormality of the epiphyses of the 2nd finger	None
Abnormality of the end part of the index finger bone	None
Abnormality of the hypothenar eminence	None
Hypotrophy of the small hand muscles	None
Degeneration of small hand muscles	None
Osteolytic defects of the phalanges of the 4th toe	None
Aplasia/Hypoplasia of the 3rd finger	None
Absent/small middle finger	None
Absent/underdeveloped middle finger	None
Tapering of outermost end of thighbone	None
Distal tapering femur	None
Speckled calcifications in the end part of the innermost hand bones	None
Stippling of the epiphyses of the proximal phalanges of the hand	None
Pseudoepiphysis of the distal phalanx of the 5th finger	None
Patchy sclerosis of the middle phalanx of the 2nd finger	None
Uneven increase in bone density in the middle bone of the index finger	None
Fused innermost bones of third toe with 3rd long bone of foot	None
Symphalangism of the proximal phalanx of the 3rd toe with the 3rd metatarsal	None
Curved outermost finger bone of the hand	None
Curved distal phalanges of the hand	None
Delayed calcaneal ossification	None
Delayed heel bone maturation	None
Absent/underdeveloped palm crease	None
Absent/small palm crease	None
Aplasia/Hypoplasia of the palmar creases	None
Sclerosis of the distal phalanx of the 2nd finger	None
Increased bone density in the outermost bone of the index finger	None
Radially deviated index finger	None
Radial deviation of the 2nd finger	None
Second finger clinodactyly	None
Medially deviated halluces	None
Hallux varus	None
Progressive bowing of long bones	None
Long second metacarpal	None
Long 2nd long bone of hand	None
Absent of the outermost bone of the middle finger	None
Aplasia of the distal phalanx of the 3rd finger	None
Aplasia of the middle phalanx of the 4th toe	None
Absent middle bone of 4th toe	None
Lower limb asymmetry	None
Leg length discrepancy	None
Left and right leg differ in length or width	None
Spurs of radial diaphysis	None
Fifth metacarpal with ulnar notch	None
Fifth metacarpal notched on ulnar side	None
Irregular epiphyses of the elbow	None
Irregular end part of the elbow bone	None
Upper limb metaphyseal widening	None
Broad wide portion of upper limb bone	None
Wide/broad metaphyses of the upper limbs	None
Fused forearm bones	None
Radioulnar synostosis	None
Absent long bone of hand	None
Absent metacarpal	None
Absent metacarpals	None
Aplasia of metacarpal bones	None
Shallow acetabula	None
Shallow acetabular fossae	None
Shallow acetabular fossa	None
Shallow acetabulum	None
Shallow acetabulae	None
Absent/underdeveloped calf bone	None
Fibular aplasia/hypoplasia	None
Hypoplastic/aplastic fibulae	None
Absent/small calf bone	None
Aplasia/Hypoplasia of the fibula	None
Cortical thickening of humeral diaphysis	None
Enlarged epiphysis of the distal phalanx of the 2nd toe	None
Enlarged end part of the outermost bone of the 2nd toe	None
Long thumb	None
Bilateral single transverse palmar creases	None
Triangular epiphyses of the middle phalanges of the hand	None
Triangular end part of the middle hand bones	None
Asymmetric radial dysplasia	None
Partial duplication of the proximal phalanx of the 2nd finger	None
Partial duplication of the proximal bones of the index finger	None
Hip joint hypermobility	None
Duplication of the proximal phalanx of the 3rd toe	None
Duplication of the proximal phalanx of the third toe	None
Duplication of the innermost 3rd toe bone	None
Partial/complete duplication of the proximal phalanx of the 3rd toe	None
Aplasia of the pectoralis major muscle	None
Absent pectoralis major muscle	None
Flared wide portion of long bone of upper arm	None
Flared humeral metaphysis	None
Wide/broad humeral metaphysis	None
Flared humerus	None
Slender distal phalanx of finger	None
Slender outermost bone of finger	None
Stippling of the epiphysis of the distal phalanx of the 3rd toe	None
Speckled calcifications in the end part of the outermost bone of the 3rd toe	None
Enlarged epiphyses of the 3rd finger	None
Enlarged end part of middle finger bone	None
Aplasia/hypoplasia of the proximal phalanx of the 2nd toe	None
Absent/small innermost 2nd toe bone	None
Absent/underdeveloped innermost 2nd toe bone	None
Small epiphyses of the upper limbs	None
Small end part of upper limb bones	None
Apodia	None
Aplasia of the foot	None
Absent foot	None
Bifid femur	None
Split thighbone	None
Notched thighbone	None
Broad innermost bone of middle finger	None
Broad proximal phalanx of the 3rd finger	None
Hypoplastic femoral head	None
Small femoral heads	None
Small head of thigh bone	None
Hypoplasia of the femoral head	None
Small epiphyses of the distal phalanges of the hand	None
Small end part of the outermost hand bones	None
Small end part of the 1st long bone of hand	None
Small epiphysis of the 1st metacarpal	None
Ivory epiphysis of the distal phalanx of the hallux	None
Increased bone density of end part of the outermost bone of the big toe	None
Absent interphalangeal creases	None
Aplasia of the interphalangeal creases	None
Absent phalangeal crease	None
Femoral bowing present at birth, straightening with time	None
Bowing of thighbone at birth, straightening with time	None
Broad middle phalanx of the 2nd toe	None
Broad middle bone of 2nd toe	None
Curved innermost bone of index finger	None
Curved proximal phalanx of the 2nd finger	None
Large capitate bone	None
Dislocated head of thigh bone	None
Dislocation of the femoral head	None
Dislocated femoral heads	None
Sclerosis of the middle phalanx of the 5th finger	None
Increased bone density in the middle bone of the little finger	None
Increased bone density in the middle bone of the pinkie finger	None
Increased bone density in the middle bone of the pinky finger	None
Small end part of middle finger bone	None
Small epiphyses of the 3rd finger	None
Excess nuchal skin	None
Thickened skin folds of neck	None
Thickened skin over the neck	None
Increased nuchal fold thickness	None
Thickened nuchal skin fold	None
Thickened nuchal skin	None
Abnormalities of placenta or umbilical cord	None
Only one artery in umbilical cord instead of two	None
2 vessel cord	None
Single umbilical artery	None
Two vessel umbilical cord	None
Two vessel cord	None
2 vessel umbilical cord	None
Short umbilical cord	None
Abnormality of prenatal development or birth	None
Prenatal movement abnormality	None
Abnormal intrauterine movements	None
Reduced fetal movements	None
Decreased fetal movements	None
Decreased fetal movement	None
Fetal hypokinesia	None
Less than 10 fetal movements in 12 hours	None
Reduced fetal movement	None
Decreased fetal activity	None
Decreased movement in utero	None
Abnormality of the amniotic fluid	None
Abnormal amniotic fluid	None
High levels of amniotic fluid	None
Hydramnios	None
Polyhydramnios	None
Maternal oligohydramnios	None
Low levels of amniotic fluid	None
Oligohydramnios	None
Fetal polyuria	None
Shortened gestation time	None
Premature birth	None
Premature delivery of affected infants	None
Premature delivery	None
Preterm delivery	None
Breech presentation at birth	None
Feet or buttocks of fetus positioned near opening of uterus	None
Breech presentation	None
Abnormal delivery	None
Delivery complication	None
Premature rupture of membranes	None
Hydrops fetalis	None
Non-immune fetal hydrops	None
Hydrops fetalis, non-immune	None
Hydrops fetalis, nonimmune	None
Nonimmune hydrops fetalis	None
Nonimmune hydrops	None
Fetal ascites	None
Early severe fetal akinesia sequence	None
Fetal akinesia	None
Fetal akinesia sequence	None
Prenatal maternal abnormality	None
Maternal health problem	None
Severe hydrops	None
Severe hydrops fetalis	None
Premature birth following premature rupture of fetal membranes	None
Premature delivery because of cervical insufficiency or membrane fragility	None
Miscarriage	None
Spontaneous abortion	None
Small placenta	None
Placental enlargement	None
Large placenta	None
Maternal hypertension	None
Maternal virilization in pregnancy	None
Low maternal serum estriol	None
Amniotic bands	None
Pseudoainhum	None
Amniotic constriction band	None
Amniotic constriction ring	None
gestational diabetes	None
Maternal diabetes	None
maternal hyperglycemia	None
Amniotic constriction rings of arms	None
Amniotic constriction rings of digits	None
Digital constriction ring	None
Amniotic constriction rings of legs	None
Fetal hyperkinesia	None
Increased fetal movement	None
Low maternal serum alpha-fetoprotein	None
Frank breech presentation	None
Complete breech presentation	None
Incomplete breech presentation	None
Fetal cystic hygroma	None
Increased nuchal translucency	None
Abnormality of the umbilical cord	None
Umbilical cord issue	None
Echogenic intracardiac focus	None
Echogenic fetal bowel	None
Echogenic bowel	None
Mild fetal hydronephrosis	None
Fetal pyelectasis	None
Fetal renal pelvic dilatation	None
Abnormality of umbilical vein blood flow	None
Mild fetal ventriculomegaly	None
Absence of stomach bubble on fetal sonography	None
Bilateral fetal pyelectasis	None
Bilateral fetal pyelectasia	None
Abnormal umbilical cord blood vessels	None
Abnormality of placental membranes	None
Caesarian section	None
Forceps delivery	None
Vacuum extraction	None
Vacuum-assisted vaginal delivery	None
Ventouse delivery	None
Shoulder dystocia	None
Hydropic placenta	None
Hydrops of the placenta	None
Calcified placenta	None
Placental thromboembolism	None
Placental infarction	None
Long umbilical cord	None
Abnormal insertion of umbilical cord	None
Vasa previa	None
Abruptio placentae	None
Placental abruption	None
Fetal ultrasound soft marker	None
Fetal choroid plexus cysts	None
Enlarged fetal cisterna magna	None
Short fetal thigh bone length	None
Short fetal femur length	None
Short fetal humerus length	None
Short fetal long bone in upper arm length	None
Underdeveloped fetal nose bone	None
Hypoplasia of fetal nasal bone	None
Fetal pinkie finger curvature	None
Fetal little finger curvature	None
Fetal pinky finger curvature	None
Fetal fifth finger clinodactyly	None
High maternal serum alpha-fetoprotein	None
High maternal serum chorionic gonadotropin	None
High maternal serum hCG	None
Low maternal serum hCG	None
Low maternal serum chorionic gonadotropin	None
Low maternal serum PAPP-A	None
Abnormal maternal serum screening	None
Maternal autoimmune disease	None
Maternal teratogenic exposure	None
Hyperemesis gravidarum	None
Meconium-stained amniotic fluid	None
Meconium staining of amniotic fluid	None
Meconium stained amniotic fluid	None
Nuchal cord	None
Maternal anticardiolipin antibody positive	None
Cephalohaematoma	None
Cephalohematoma	None
Skewed maternal X inactivation	None
Abnormal placental size	None
Fetal distress	None
Maternal fever in pregnancy	None
Maternal fever during pregnancy	None
Maternal fever during labor	None
Intrapartum fever	None
Maternal first trimester fever	None
Primary Caesarian section	None
Secondary Caesarian section	None
Vaginal birth after Caesarian	None
Delivery by Odon device	None
Induced vaginal delivery	None
Therapeutic abortion	None
Umbilical cord cyst	None
Umbilical cord knot	None
Umbilical vein varix	None
Umbilical cord hematoma	None
Umbilical cord haematoma	None
Marginal umbilical cord insertion	None
Marginal cord insertion	None
Velamentous cord insertion	None
Furcate cord insertion	None
Breus' mole	None
Subchorionic thrombohematoma	None
Subchorionic septal cyst	None
Single-twin demise	None
Intrauterine fetal demise of one twin after midgestation	None
Amniotic Sheet	None
Amniotic shelf	None
Low APGAR score	None
Low 1-minute APGAR score	None
Low one-minute APGAR score	None
Low five-minute APGAR score	None
Low 5-minute APGAR score	None
5-minute APGAR score of 0	None
5-minute APGAR score of 1	None
5-minute APGAR score of 2	None
5-minute APGAR score of 3	None
5-minute APGAR score of 4	None
5-minute APGAR score of 5	None
5-minute APGAR score of 6	None
1-minute APGAR score of 0	None
1-minute APGAR score of 1	None
1-minute APGAR score of 2	None
1-minute APGAR score of 3	None
1-minute APGAR score of 4	None
1-minute APGAR score of 5	None
1-minute APGAR score of 6	None
Twin to twin transfusion syndrome	None
Twin-to-twin transfusion	None
Postterm pregnancy	None
Female fetal virilization	None
Pregnancy exposure	None
Exposure during pregnancy	None
Ectopic pregnancy	None
Placental mesenchymal dysplasia	None
Hydatidiform mole	None
Lemon sign	None
Delayed umbilical cord separation	None
Neonatal omphalitis	None
Omphalitis	None
Preimplantation lethality	None
Preimplantation embryonic lethality	None
Four-vessel umbilical cord	None
Increased placental thickness	None
Placental thickness increased	None
Maternal thrombophilia	None
Eclampsia	None
Preeclampsia	None
Pre-eclampsia	None
Toxemia of pregnancy	None
Hypertensive disorder of pregnancy	None
High blood phenylalanine level in mother	None
Maternal hyperphenylalaninemia	None
Maternal seizures	None
Placental issue	None
Abnormality of the placenta	None
Choriocarcinoma	None
Chorangioma	None
Placental hamartoma	None
Spontaneous abortion, recurrent	None
Recurrent spontaneous abortion	None
Abnormal cord blood measurement	None
Abnormal blood gas level in cord blood	None
Hyperoxemia in cord blood	None
High cord blood oxygen level	None
Low cord blood oxygen level	None
Hypoxemia in cord blood	None
Hypercapnia in cord blood	None
High cord blood carbon dioxide level	None
Hypocapnia in cord blood	None
Low cord blood carbon dioxide level	None
Abnormal CO2 level in cord blood	None
Abnormal umbilical cord blood levels of carbon dioxide	None
Abnormal carbon dioxide level in cord blood	None
Abnormal oxygen level in cord blood	None
Abnormal O2 level in cord blood	None
Abnormal oxygen amount in umbilical cord blood	None
Abnormal cord blood oxygen levels	None
Hyperplastic antihelix stem	None
Hypertrophic antihelix stem	None
Prominent stem of antihelix	None
Pulsatile tinnitus	None
Notched helix	None
Notching of the ear helix	None
Cleft helix	None
Multiple episodes of otitis media	None
Otitis media, recurrent	None
Recurrent middle ear infection	None
Recurrent episodes of otitis media	None
Susceptibility to otitis media	None
Frequent otitis media	None
Recurrent otitis media	None
Spock ear	None
Third crus	None
Vulcan ear	None
Additional crus	None
Stahl ear	None
Chronic middle ear infection	None
Chronic ear infection	None
Otitis media, chronic	None
Chronic infections of the middle ear	None
Chronic otitis media	None
Atresia of the Eustachian tube	None
Narrow incisura width	None
Thick helix	None
Thickened helices	None
Progressive cochlear degeneration	None
Cochlear degeneration	None
Round ear	None
Abnormality of auricular lobule	None
Abnormality of ear lobe	None
Abnormal lobe of ear	None
Abnormality of lobulus auriculae	None
Abnormal earlobe	None
Abnormality of earlobe	None
Impacted cerumen	None
Abnormality of the antihelix	None
Abnormal antehelix	None
Abnormal anthelix	None
Abnormal antihelix	None
Enlarged cochlear aqueduct	None
Dilated cochlear aqueduct	None
Abnormality of the cochlear nerve	None
Underdeveloped superior helices	None
Hypoplastic superior helix	None
Absent vestibular function	None
External ear malformations	None
Abnormal pinnae	None
Malformed pinnae	None
Ear anomalies	None
Abnormality of the outer ear	None
Abnormality of the auricle	None
Outer ear abnormality	None
Abnormality of the external ear	None
Congenital conductive hearing loss	None
Congenital conductive hearing impairment	None
Congenital conductive deafness	None
Abnormality of superior crus of antihelix	None
Abnormality of posterior crus of antihelix	None
Conchal shelf	None
Antihelical shelf	None
Abnormality of inferior crus of antihelix	None
Abnormality of anterior crus of antihelix	None
Otitis media	None
Middle ear infection	None
Hypoplasia of cranial nerve VIII	None
Hypoplasia of the eighth cranial nerve	None
Thin vestibular nerve	None
Hypoplasia of the vestibular nerve	None
Hypoplastic superior crus of antihelix	None
Underdeveloped superior crus of antihelix	None
Hypotrophic superior crus of antihelix	None
Abnormality of the inner ear	None
Inner ear abnormality	None
Aminoglycoside-induced hearing loss	None
Hypoplastic pinna	None
Bilateral microtia	None
Microtia	None
Underdeveloped ears	None
Hypoplastic ears	None
Hypoplasia of the external ear	None
Small ears	None
Small pinnae	None
Otosclerosis	None
Aplasia of the vestibule	None
Absent vestibule	None
Poor speech discrimination	None
Abnormal speech discrimination	None
Abnormality of the vestibular nerve	None
Thin ear helix	None
Absent internal auditory canal	None
Bilateral sensorineural hearing impairment	None
Bilateral sensorineural hearing loss	None
Bilateral nerve deafness	None
Bilateral sensorineural deafness	None
Hearing loss, sensorineural, bilateral	None
Forward facing earlobe	None
Lobe, forward facing	None
Polyotia	None
Enlarged vestibular aqueduct	None
Widened vestibular aqueduct	None
Dilated vestibular aqueduct	None
Absent auditory canals	None
Atretic auditory canals	None
External acoustic meatus atresia	None
External auditory meatus atresia	None
Atresia of the external auditory canals	None
External auditory canal atresia	None
Atretic external auditory canal	None
Absent external auditory canals	None
Atretic external auditory canals	None
External auditory meatal atresia	None
Auditory canal atresia	None
Atretic auditory canal	None
Atresia of the external auditory canal	None
Absent ear canal	None
Low-set, posteriorly rotated ears	None
Low-set posteriorly rotated ears	None
Absent crus of helix	None
Helix, crus, absent	None
Morphological abnormality of the semicircular canal	None
Large ears	None
Large pinnae	None
Macrotia	None
Darwin notch of helix	None
Helix, Darwin notch	None
Horizontal crus of helix	None
Horizontal orientation of the ear crus	None
Horizontal orientation of the crus of helix	None
Helix, crus, horizontal	None
Absent inner ear	None
Aplasia of the labyrinth	None
Labyrinthine aplasia	None
Michel deformity	None
Aplasia of the inner ear	None
Ear, posterior helical groove	None
Ear, posterior helical notch	None
Indentation in back of outer ear	None
Posterior helix pit	None
Pits in posterior aspect of ear helices	None
Helix, posterior pit	None
Absent antihelix	None
Tympanosclerosis	None
Tympanic calcification	None
Postlingual sensorineural hearing impairment	None
Adherent earlobe	None
Attached earlobe	None
Increased incisura length	None
Neoplasm of the outer ear	None
Outer ear tumor	None
Persistent stapedial artery	None
Congenital stapes ankylosis	None
Abnormality of the tragus	None
Incomplete partition of the cochlea	None
External auditory canal stenosis	None
Narrow ear canal	None
Narrow auditory canals	None
Stenosis of the external auditory canal	None
Narrowing of passageway from outer ear to middle ear	None
Narrow external auditory meatus	None
Narrow external auditory canals	None
Stenotic external auditory canal	None
Neoplasm of the ear	None
Ear tumor	None
Cutaneous stenosis of the external auditory canal	None
Asymmetry of the ears	None
Asymmetric ears	None
Antihelix, stem, serpiginous	None
Serpiginous stem of antihelix	None
Impairment of the the acoustic reflex	None
Presbycusis	None
Old-aged sensorineural hearing impairment	None
Aplasia of the semicircular canal	None
Absent semicircular canal	None
Long ears	None
Long ear	None
Moderate conductive hearing impairment	None
Conductive hearing loss, moderate	None
Mondini malformation	None
Incomplete partition of the cochlea type II	None
Enlarged antitragus	None
Hyperplastic antitragus	None
Prominent antitragus	None
Hypertrophic antitragus	None
Minor malformation of the auricles	None
Deformed ears	None
Dysplastic ears	None
Deformed auricles	None
Abnormality of the pinna	None
Malformed ears	None
Abnormally shaped ears	None
Poorly defined conchae	None
Abnormal form of ears	None
Malformed external ears	None
Malformation of auricle	None
Malformed auricles	None
Auricular malformation	None
Low-frequency hearing loss	None
Lowset ears	None
Low-set ears	None
Low set ears	None
Melotia	None
Absent stapes head	None
Underdeveloped tragus	None
Hypoplastic tragus	None
Small tragus	None
Hypotrophic tragus	None
Hearing loss, sensorineural, bilateral, progressive	None
Hearing loss, progressive sensorineural	None
Progressive bilateral sensorineural hearing loss	None
Bilateral progressive sensorineural hearing loss	None
Progressive sensorineural hearing impairment	None
Hearing loss, sensorineural, progressive	None
Sensorineural hearing loss, progressive	None
Cerumen abnormality	None
Unilateral conductive hearing impairment	None
Unilateral external ear deformity	None
Deformed external ear on one side	None
Cochlear aplasia	None
Absent cochlea	None
Prelingual sensorineural hearing impairment	None
Deafness, sensorineural, prelingual	None
Prelingual sensorineural deafness	None
Tinnitus	None
Ringing in the ears	None
Ringing in ears	None
Exostosis of the external auditory canal	None
External auditory canal exostoses	None
Absence of the reflex of the tensor tympani muscle	None
Hypoplasia of the vestibule of the inner ear	None
Aplasia/Hypoplasia of the middle ear	None
Absent/small middle ear	None
Hypoplastic/aplastic middle ear structures	None
Absent/underdeveloped middle ear	None
Middle ear hypoplasia/aplasia	None
Hypoplasia of the crus of the ear	None
Underdeveloped crus of the ear	None
Underdeveloped crus of the helix	None
Stapedial abnormalities	None
Abnormality of the stapes	None
Helix, crus, tragal bridge	None
Tragal bridge of crus of helix	None
Hypotrophic inferior crus of antihelix	None
Hypoplastic inferior crus of antihelix	None
Underdeveloped inferior crus of antihelix	None
Antihelix, inferior crus, underdeveloped	None
Additional crus of antihelix	None
Short ears	None
Short ear	None
Hypotrophic antitragus	None
Hypoplastic antitragus	None
Small antitragus	None
Underdeveloped antitragus	None
Excessive cerumen	None
Profound hearing impairment	None
Abnormal incisura morphology	None
Abnormality of the antitragus	None
Abnormality of the incus	None
Small semicircular canal	None
Hypoplasia of the semicircular canal	None
Hypoplasia of the semicircular canals	None
Progressive conductive hearing impairment	None
Progressive conductive deafness	None
Hypertrophic inferior crus of antihelix	None
Prominent inferior crus of antihelix	None
Hyperplastic inferior crus of antihelix	None
Antihelix, inferior crus, prominent	None
Absent malleus	None
Impairment of the reflex of the tensor tympani muscle	None
Middle ear abnormality	None
Middle ear abnormalities	None
Abnormality of the middle ear	None
Low-grade adenocarcinoma of endolymphatic sac origin	None
Endolymphatic sac tumor	None
Aggressive papillary middle ear tumor	None
Heffner tumor	None
Ear hair	None
Long hairs growing from helix of pinna	None
Long hairs growing from helix of ear	None
Stapes ankylosis	None
Absence of acoustic middle ear muscle reflexes	None
Absent middle ear reflexes	None
Absence of acoustic reflex	None
Abnormal cochlea morphology	None
Abnormality of cochlea	None
Absent/underdeveloped ear lobes	None
Absent/small ear lobes	None
Aplasia/Hypoplasia of the earlobes	None
Expanded terminal portion of crus of helix	None
Helix, crus, expanded terminal portion	None
Hearing loss, congenital sensorineural	None
Congenital perceptive deafness	None
Congenital sensorineural hearing impairment	None
Congenital sensorineural hearing loss	None
Congenital neurosensory deafness	None
Congenital sensorineural deafness	None
Bilateral congenital sensorineural deafness	None
Cystic lesions of the pinnae	None
Auricular tag	None
Superiorly displaced ears	None
High set ears	None
External ear position defect	None
Abnormal location of ears	None
Absent antitragus	None
Bilateral conductive hearing loss	None
Bilateral conductive deafness	None
Bilateral conductive hearing impairment	None
Auditory canal abnormality	None
Abnormality of the auditory canal	None
Posteriorly rotated ears	None
Posteriorly rotated auricles	None
Posteriorly angulated ears	None
Posteriorly-rotated ears	None
Posteriorly rotated	None
Posteriorly-angulated ears	None
Ears rotated toward back of head	None
Ear, posterior angulation, increased	None
Functional abnormality of the inner ear	None
Vestibular dysfunction	None
Interictal vestibular dysfunction	None
Impaired vestibular function	None
Vestibular function defect	None
Severe deafness	None
Severe hearing impairment	None
Severe hearing loss	None
Microtia, second degree	None
Mini ear	None
Shell ear	None
Cockleshell ear	None
Severe cupped ear, type III	None
Ear, grade II dysplasia	None
Constricted helix type IV	None
Snail ear	None
Prominent superior crus of antihelix	None
Hyperplastic superior crus of antihelix	None
Hypertrophic superior crus of antihelix	None
Cleft earlobe	None
Mild neurosensory hearing loss	None
Mild neurosensory hearing impairment	None
Synotia	None
Impaired visually enhanced vestibulo-ocular reflex	None
Visually enhanced vestibulo-ocular reflex impairment	None
VVOR impairment	None
Fleshy upturned lobules	None
Lobe, uplifted	None
Uplifted earlobe	None
Upturned earlobe	None
Upturned earlobes	None
Uplifted earlobes	None
Morphological abnormality of the anterior semicircular canal	None
Neoplasm of the inner ear	None
Inner ear tumor	None
Abnormal inner ear epithelium morphology	None
Hypertrophic auricular cartilage	None
Underdeveloped stem of antihelix	None
Antihelix, stem, underdeveloped	None
Antihelix, inferior crus, broad	None
Broad inferior crus of antihelix	None
High frequency sensorineural hearing impairment	None
High-tone sensorineural deafness	None
High-frequency sensorineural hearing impairment	None
High-tone sensorineural hearing impairment	None
Abnormal middle ear reflexes	None
Crumpled ear	None
Absent/small inner ear	None
Aplasia/Hypoplasia of the inner ear	None
Absent/underdeveloped inner ear	None
Discontinuous ascending root of helix	None
Helix, discontinuous ascending root	None
Dilated vestibule of the inner ear	None
Large fleshy ears	None
Enlarged tragus	None
Large tragus	None
Tragus, prominent	None
Hyperplastic tragus	None
Prominent tragus	None
Hypertrophic tragus	None
Aplasia of the eighth cranial nerve	None
Aplasia of cranial nerve VIII	None
Absent the eighth cranial nerve	None
Absent cranial nerve viii	None
Aplasia of the vestibular nerve.	None
Absent vestribular nerve	None
Absent ear	None
Absent ears	None
Anotia	None
Congenital absence of external ear	None
Type I cryptotia	None
Type 1 cryptotia	None
Basalioma of the outer ear	None
Lop ear	None
Abnormal auditory reflex	None
Abnormal middle-ear-muscles (MEM) reflex	None
Abnormality of stapedial reflex	None
Abnormality of the acoustic reflex	None
Abnormality of cartilage of external ear	None
Sensorineural hearing loss	None
Hearing loss, sensorineural	None
Sensorineural hearing impairment	None
Sensorineural deafness	None
Poorly folded helices	None
Underfolded helix	None
Buried ear	None
Cryptotia	None
Hidden ear	None
Osseous stenosis of the external auditory canal	None
Cleft at the superior portion of the ear	None
Cleft at the superior portion of the pinna	None
Swimmer's ear	None
Otitis externa	None
Hypoplastic antihelix	None
Hypoplasia of the antihelix	None
Underdeveloped helices	None
Hypoplastic helices	None
Narrow internal auditory canal	None
Aplasia/Hypoplasia of the ear	None
Absent/small ear	None
Absent/underdeveloped ear	None
Morphological abnormality of the posterior semicircular canal	None
Decreased incisura length	None
Mozart ear	None
Incomplete partition of the cochlea type I	None
Progressive high-frequency hearing loss	None
Progressive high frequency hearing loss	None
High-frequency deafness	None
High-frequency hearing impairment	None
High frequency hearing loss	None
Hearing loss, high-frequency	None
Cutaneous atresia of the external auditory canal	None
Crus of helix connected to antihelix	None
Helix, crus, connected to antihelix	None
Moderate sensorineural hearing impairment	None
Moderate neural deafness	None
Severe sensorineural deafness	None
Severe sensorineural hearing loss	None
Severe sensorineural hearing impairment	None
Fusion of middle ear ossicles	None
Adenoma of the ceruminous gland	None
