Abnormality of the breast	HP:0000769
Acute otitis media	None
Acute middle ear infection	None
Diagonal earlobe crease	None
Buried ear	None
Cryptotia	None
Hidden ear	None
Helix, crus, tragal bridge	None
Tragal bridge of crus of helix	None
Absent stapes head	None
Cupped ears	None
Capuchin ears	None
Cup-shaped ears	None
Simple, cup-shaped ears	None
Cupped ear	None
Morphological abnormality of the posterior semicircular canal	None
Mild hearing impairment	None
Hypoplastic superior crus of antihelix	None
Underdeveloped superior crus of antihelix	None
Hypotrophic superior crus of antihelix	None
Abnormality of the helix	None
Helix abnormal	None
Abnormal helices	None
Absent ear	None
Absent ears	None
Anotia	None
Congenital absence of external ear	None
Quelprud nodule	None
Increased incisura length	None
Morphological abnormality of the inner ear	None
Mild neurosensory hearing loss	None
Mild neurosensory hearing impairment	None
Type I cryptotia	None
Type 1 cryptotia	None
Pain in the ear	None
Ear pain	None
Otalgia	None
Abnormality of inferior crus of antihelix	None
Abnormality of anterior crus of antihelix	None
Stapedial abnormalities	None
Abnormality of the stapes	None
Childhood onset sensorineural hearing impairment	None
Underdeveloped cochlea	None
Hypoplasia of the cochlea	None
Hypoplastic cochlea	None
Telangiectasia of the ear	None
Unilateral vestibular Schwannoma	None
Unilateral external ear deformity	None
Deformed external ear on one side	None
Open tuba eustachii	None
Patent tuba eustachii	None
Long ears	None
Long ear	None
Enlarged vestibular aqueduct	None
Widened vestibular aqueduct	None
Dilated vestibular aqueduct	None
Minor malformation of the auricles	None
Deformed ears	None
Dysplastic ears	None
Deformed auricles	None
Abnormality of the pinna	None
Malformed ears	None
Abnormally shaped ears	None
Poorly defined conchae	None
Abnormal form of ears	None
Malformed external ears	None
Malformation of auricle	None
Malformed auricles	None
Auricular malformation	None
Abnormality of the inner ear	None
Inner ear abnormality	None
Prominent ear helix	None
Large helix	None
Bifid tragus	None
Notched tragus	None
Tragus, bifid	None
Mondini malformation	None
Incomplete partition of the cochlea type II	None
Cystic lesions of the pinnae	None
Abnormality of stem of antihelix	None
Aminoglycoside-induced hearing loss	None
Hyperplastic antihelix stem	None
Hypertrophic antihelix stem	None
Prominent stem of antihelix	None
Ear hair	None
Long hairs growing from helix of pinna	None
Long hairs growing from helix of ear	None
Ear, posterior helical groove	None
Ear, posterior helical notch	None
Indentation in back of outer ear	None
Posterior helix pit	None
Pits in posterior aspect of ear helices	None
Helix, posterior pit	None
Everted antitragus	None
Aplasia/Hypoplasia of the cochlea	None
Absent/underdeveloped cochlea	None
Absent/small cochlea	None
Progressive high-frequency hearing loss	None
Progressive high frequency hearing loss	None
High-frequency deafness	None
High-frequency hearing impairment	None
High frequency hearing loss	None
Hearing loss, high-frequency	None
Moderate conductive hearing impairment	None
Conductive hearing loss, moderate	None
Middle ear abnormality	None
Middle ear abnormalities	None
Abnormality of the middle ear	None
Pointed ear	None
Pointed helix	None
Elfin ear	None
Spock's ear	None
Horizontal crus of helix	None
Horizontal orientation of the ear crus	None
Horizontal orientation of the crus of helix	None
Helix, crus, horizontal	None
Stapes ankylosis	None
Pulsatile tinnitus	None
Microtia, first degree	None
First-degree microtia	None
Slit-like opening of the exterior auditory meatus	None
Bilateral acoustic neuromas	None
Bilateral vestibular Schwannoma	None
Osseous stenosis of the external auditory canal	None
Absent auditory canals	None
Atretic auditory canals	None
External acoustic meatus atresia	None
External auditory meatus atresia	None
Atresia of the external auditory canals	None
External auditory canal atresia	None
Atretic external auditory canal	None
Absent external auditory canals	None
Atretic external auditory canals	None
External auditory meatal atresia	None
Auditory canal atresia	None
Atretic auditory canal	None
Atresia of the external auditory canal	None
Absent ear canal	None
Expanded terminal portion of crus of helix	None
Helix, crus, expanded terminal portion	None
Fleshy upturned lobules	None
Lobe, uplifted	None
Uplifted earlobe	None
Upturned earlobe	None
Upturned earlobes	None
Uplifted earlobes	None
Hypoplasia of the vestibule of the inner ear	None
Morphological abnormality of the saccule	None
Hearing abnormality	None
Abnormal hearing	None
Absent antihelix	None
Abnormal vestibulo-ocular reflex	None
Abnormal vestibuloocular reflex	None
Asymmetry of the ears	None
Asymmetric ears	None
Presbycusis	None
Old-aged sensorineural hearing impairment	None
Adherent earlobe	None
Attached earlobe	None
Abnormality of the oval window	None
Abnormality of the vestibular window	None
Dizziness	None
Vertigo	None
Dizzy spell	None
Hypoplasia of the crus of the ear	None
Underdeveloped crus of the ear	None
Underdeveloped crus of the helix	None
Abnormal ear physiology	None
Moderate sensorineural hearing impairment	None
Moderate neural deafness	None
Auricular tag	None
Absent internal auditory canal	None
Antihelix, stem, serpiginous	None
Serpiginous stem of antihelix	None
Progressive hearing impairment	None
Progressive hearing loss	None
Superiorly displaced ears	None
High set ears	None
External auditory canal stenosis	None
Narrow ear canal	None
Narrow auditory canals	None
Stenosis of the external auditory canal	None
Narrowing of passageway from outer ear to middle ear	None
Narrow external auditory meatus	None
Narrow external auditory canals	None
Stenotic external auditory canal	None
Hypotrophic inferior crus of antihelix	None
Hypoplastic inferior crus of antihelix	None
Underdeveloped inferior crus of antihelix	None
Antihelix, inferior crus, underdeveloped	None
Otosclerosis	None
Cochlear malformation	None
External ear malformations	None
Abnormal pinnae	None
Malformed pinnae	None
Ear anomalies	None
Abnormality of the outer ear	None
Abnormality of the auricle	None
Outer ear abnormality	None
Abnormality of the external ear	None
Hypoplasia of cranial nerve VIII	None
Hypoplasia of the eighth cranial nerve	None
Thin vestibular nerve	None
Hypoplasia of the vestibular nerve	None
Malformed ossicles	None
Ossicular malformation	None
Abnormality of the middle ear ossicles	None
Small semicircular canal	None
Hypoplasia of the semicircular canal	None
Hypoplasia of the semicircular canals	None
Dilatated internal auditory canal	None
Enlarged internal auditory canal	None
Bulbous internal auditory canal	None
Impaired visually enhanced vestibulo-ocular reflex	None
Visually enhanced vestibulo-ocular reflex impairment	None
VVOR impairment	None
Earlobe crease	None
Anterior creases of earlobe	None
Transverse earlobe creases	None
Exostosis of the external auditory canal	None
External auditory canal exostoses	None
Absent stapes	None
Sensorineural hearing loss	None
Hearing loss, sensorineural	None
Sensorineural hearing impairment	None
Sensorineural deafness	None
Morphological abnormality of the utricle	None
Abnormality of auricular lobule	None
Abnormality of ear lobe	None
Abnormal lobe of ear	None
Abnormality of lobulus auriculae	None
Abnormal earlobe	None
Abnormality of earlobe	None
Crumpled ear	None
Polyotia	None
Middle ear malformation	None
Morphological abnormality of the middle ear	None
Antihelix, inferior crus, broad	None
Broad inferior crus of antihelix	None
Abnormality of the internal auditory canal	None
Abnormality of the internal acoustic meatus	None
Abnormality of the ear	None
Ear anomaly	None
Progressive cochlear degeneration	None
Cochlear degeneration	None
Moderate hearing impairment	None
Abnormality of the tragus	None
Tragus, duplicated	None
Duplicated tragus	None
Accesory tragus	None
Poorly folded helices	None
Underfolded helix	None
Absent inner ear	None
Aplasia of the labyrinth	None
Labyrinthine aplasia	None
Michel deformity	None
Aplasia of the inner ear	None
Thick helix	None
Thickened helices	None
Hypertrophic inferior crus of antihelix	None
Prominent inferior crus of antihelix	None
Hyperplastic inferior crus of antihelix	None
Antihelix, inferior crus, prominent	None
Abnormal cerumen pigmentation	None
Abnormal cerumen color	None
Abnormal cerumen colour	None
Cholesteatoma	None
Additional crus of antihelix	None
Posterior wedging	None
Congenital earlobe sinuses	None
Lowset ears	None
Low-set ears	None
Low set ears	None
Melotia	None
Progressive conductive hearing impairment	None
Progressive conductive deafness	None
Abnormality of the vestibular nerve	None
Cutaneous stenosis of the external auditory canal	None
Lop ear	None
Abnormal shape/structure of ear	None
Microtia, third degree	None
Third-degree microtia	None
Unilateral conductive hearing impairment	None
Large earlobe	None
prominent ear lobules	None
Fleshy earlobes	None
Prominent ear lobes	None
Fleshy earlobe	None
Absent antitragus	None
Late sensorineural hearing loss	None
Sensorineural deafness, late-onset	None
Adult onset sensorineural hearing impairment	None
Darwin notch of helix	None
Helix, Darwin notch	None
Bifid antitragus	None
Double antitragus	None
Paroxysmal vertigo	None
Notched helix	None
Notching of the ear helix	None
Cleft helix	None
Absent ear lobes	None
Absent earlobe	None
Lobeless ears	None
Earlobe, absent	None
Abnormal vestibular saccule morphology	None
Glue ear	None
Profound hearing impairment	None
Calcification of the auricular cartilage	None
Petrified ear	None
Ear cartilage calcification	None
Ossification of pinnae	None
Cartilaginous ossification of pinnae	None
Decreased incisura length	None
Absence of the reflex of the tensor tympani muscle	None
Auditory canal abnormality	None
Abnormality of the auditory canal	None
Conchal shelf	None
Antihelical shelf	None
Darwin tubercle of helix	None
Helix, Darwin tubercle	None
Abnormality of the round window	None
Neoplasia of the middle ear	None
Middle ear tumor	None
Neoplasm of the middle ear	None
Severe conductive hearing impairment	None
Conductive hearing loss, severe	None
Absent vestibular function	None
Impacted cerumen	None
Tinnitus	None
Ringing in the ears	None
Ringing in ears	None
Auricular pit	None
Abnormality of the tympanic membrane	None
Abnormality of the eardrum	None
Postlingual sensorineural hearing impairment	None
Hearing loss, congenital sensorineural	None
Congenital perceptive deafness	None
Congenital sensorineural hearing impairment	None
Congenital sensorineural hearing loss	None
Congenital neurosensory deafness	None
Congenital sensorineural deafness	None
Bilateral congenital sensorineural deafness	None
Congenital stapes ankylosis	None
Underfolded superior helices	None
Low-frequency hearing loss	None
Hyperplastic helix crus	None
Hypertrophic helix crus	None
Prominent crus of helix	None
Helix, crus, prominent	None
Abnormal prominence of the crus of the ear	None
Absent malleus	None
Abnormality of superior crus of antihelix	None
Abnormality of posterior crus of antihelix	None
Vestibular saccular degeneration	None
Unilateral deafness	None
Deafness, unilateral	None
Deafness in one ear	None
Abnormal auditory reflex	None
Abnormal middle-ear-muscles (MEM) reflex	None
Abnormality of stapedial reflex	None
Abnormality of the acoustic reflex	None
Abnormality of the malleus	None
Morphological abnormality of the anterior semicircular canal	None
Hypertrophic auricular cartilage	None
Abnormal middle ear reflexes	None
Focal absence of the external ear	None
Vestibular hypofunction	None
Narrow incisura width	None
Multiple episodes of otitis media	None
Otitis media, recurrent	None
Recurrent middle ear infection	None
Recurrent episodes of otitis media	None
Susceptibility to otitis media	None
Frequent otitis media	None
Recurrent otitis media	None
Adenoma of the ceruminous gland	None
Ceruminous adenoma	None
Neoplasm of the ceruminal gland	None
Ceruminoma	None
Hearing defect	None
Congenital hearing loss	None
Hearing loss	None
Hypoacusis	None
Deafness	None
Congenital deafness	None
Hearing impairment	None
Abnormal inner ear epithelium morphology	None
Severe sensorineural deafness	None
Severe sensorineural hearing loss	None
Severe sensorineural hearing impairment	None
Fusion of middle ear ossicles	None
Incomplete partition of the cochlea	None
Low-set, posteriorly rotated ears	None
Low-set posteriorly rotated ears	None
Underdeveloped ear cartilage	None
Hypoplasia of the ear cartilage	None
Serpiginous crus of helix	None
Helix, crus, serpiginous	None
Low-frequency sensorineural hearing impairment	None
Low-frequency sensorineural hearing loss	None
Prominent antihelix	None
Abnormality of the incus	None
Increased incisura width	None
Enlarged semicircular canal	None
Dilated semicircular canal	None
Uneven ears	None
Asymmetry of the position of the ears	None
Devil ear	None
Satyr ear	None
Aplasia/Hypoplasia of the ear	None
Absent/small ear	None
Absent/underdeveloped ear	None
Cutaneous atresia of the external auditory canal	None
Abnormality of the reflex of the tensor tympani muscle	None
Microtia, second degree	None
Mini ear	None
Shell ear	None
Cockleshell ear	None
Severe cupped ear, type III	None
Ear, grade II dysplasia	None
Constricted helix type IV	None
Snail ear	None
Enlarged tragus	None
Large tragus	None
Tragus, prominent	None
Hyperplastic tragus	None
Prominent tragus	None
Hypertrophic tragus	None
Excessive cerumen	None
Aplasia of the semicircular canal	None
Absent semicircular canal	None
Bilateral external ear deformity	None
Vestibular dysfunction	None
Interictal vestibular dysfunction	None
Impaired vestibular function	None
Vestibular function defect	None
Morphological abnormality of the nerves of the inner ear	None
Discontinuous ascending root of helix	None
Helix, discontinuous ascending root	None
Abnormality of the antihelix	None
Abnormal antehelix	None
Abnormal anthelix	None
Abnormal antihelix	None
Question mark ear	None
Constricted ear	None
Cosman ear	None
Question mark ears	None
Low-grade adenocarcinoma of endolymphatic sac origin	None
Endolymphatic sac tumor	None
Aggressive papillary middle ear tumor	None
Heffner tumor	None
Round ear	None
Cleft earlobe	None
Aplasia of the vestibule	None
Absent vestibule	None
Severe deafness	None
Severe hearing impairment	None
Severe hearing loss	None
Large fleshy ears	None
Chondritis of pinna	None
Inflammation of cartilage of pinna	None
Crus of helix connected to antihelix	None
Helix, crus, connected to antihelix	None
Extrapyramidal muscular rigidity	None
Ganglioneuromatosis	None
Radermecker complexes	None
EEG: periodic complexes	None
EEG with periodic complexes	None
Motor neuron atrophy	None
Motor neuron degeneration	None
Attention deficit disorder	None
Attention deficit-hyperactivity disorder	None
Attention deficit	None
Attention deficit hyperactivity disorder	None
Childhood attention deficit/hyperactivity disorder	None
Attention deficits	None
Atrophy/Degeneration affecting the cerebellum	None
Absent/underdeveloped cerebellum	None
Atrophy/Hypoplasia of the cerebellum	None
Cerebellar hypoplasia/atrophy	None
Aplasia/Hypoplasia of the cerebellum	None
Absent/small cerebellum	None
Bipolar affective disorder	None
Bipolar disorder	None
Diffuse ribbon-like subcortical heterotopia	None
Impaired touch localization	None
Impaired touch localisation	None
Impaired topognosis	None
Decerebrate rigidity	None
Decerebrate posturing	None
Abnormal CSF urate concentration	None
Plexiform neurofibroma	None
Paired helical filaments	None
Neurofibrillary tangles composed of disordered microtubules in neurons	None
Neurofibrillary tangles	None
EEG with generalized epileptiform discharges	None
Oppenheim reflex	None
Oppenheim sign	None
Communicating hydrocephalus	None
Cranial nerve motor loss	None
Hypothalamic gonadotropin-releasing hormone deficiency	None
Hypothalamic GNRH deficiency	None
Hydrophobia	None
Corpus callosum agenesis	None
Callosal agenesis	None
Agenesis of the corpus callosum	None
Absence of corpus callosum	None
Dysplastic or absent corpus callosum	None
Agenesis of corpus callosum	None
Absent corpus callosum	None
Cerebellar medulloblastoma	None
Central sleep apnoea	None
Central sleep apnea	None
Thalamic hypometabolism in FDG PET	None
Abnormal cranial nerve morphology	None
Abnormality of cranial nerve	None
Abnormality of the cranial nerves	None
Cranial nerve involvement	None
Cranial nerve disease	None
Cranial nerve abnormality	None
Dysgyria with normal cortical thickness	None
Increased CSF/serum albumin ratio	None
Autism	None
Pituitary gonadotropin deficiency	None
Gonadotropin deficiency	None
Subependymal nodules	None
Hemiclonic seizures	None
Unilateral clonic seizures	None
Microcephaly, progressive	None
Progressively abnormally small skull	None
Microcephaly, postnatal, progressive	None
Progressive microcephaly	None
Progressively abnormally small cranium	None
Abnormality of SSEPs	None
Abnormality of somatosensory evoked potentials	None
Neoplasm of the nervous system	None
Tumor of the nervous system	None
Nervous system cancer	None
Neoplasia of the nervous system	None
Decreased vibration sense in feet	None
Decreased vibration sense at ankles	None
Impaired vibration sensation at ankles	None
Dysmorphic inferior cerebellar vermis	None
Oculomotor neuropathy	None
Oculomotor nerve palsy	None
Spina bifida occulta at L5	None
Decreased sensory nerve conduction velocities	None
Decreased sensory NCV	None
Decreased sensory nerve conduction velocity	None
Neurinoma	None
Schwann cell tumor	None
Neurilemmoma	None
Schwannoma	None
Schwann cell tumour	None
Schwannomas	None
Neurolemmoma	None
Unfavorable response of muscle weakness to acetylcholine esterase inhibitors	None
Diminished movement	None
Inappropriate behavior	None
Abnormality of the brachial nerve plexus	None
Brain iron deposition	None
Iron accumulation in brain	None
Decreased number of peripheral myelinated nerve fibers	None
Loss of myelinated fibers	None
Decreased number of large and small myelinated fibers	None
Bradyphrenia	None
Slowness of thought	None
Deficit in nonword repetition	None
CSF pleocytosis	None
Increased leukocyte count in CSF	None
Cerebrospinal fluid pleocytosis	None
Simple partial occipital seizures	None
Abnormality of cerebral artery	None
Abnormality of the cerebral arteries	None
Abnormal cerebral artery morphology	None
Pinealoma	None
Perseverative behavior	None
Perseverative behaviour	None
Perseveration	None
Toe-walking	None
Toe walking	None
Neuroendocrine neoplasm	None
Neuroendocrine neoplasia	None
Myelopathy	None
Cranial nerve paresis	None
Cranial nerve palsy	None
Cranial nerve palsies	None
Cranial nerve paralysis	None
Brain tumor	None
Brain tumour	None
Brain neoplasm	None
Cerebellar cortex degeneration	None
Cerebellar cortical atrophy	None
Excessive, persistent worry and fear	None
Anxiety	None
Anxiety disease	None
Anxiousness	None
Occasional neurofibromas	None
Persistent  nutritive  suckle  swallow	None
Suck reflex	None
Multiple mononeuropathy	None
Mononeuritis multiplex	None
Tremor of limbs	None
Limb tremor	None
Involuntary shaking of limb	None
Hypoglycemic coma	None
Coma caused by low blood sugar	None
Loss of consciousness due to hypoglycemia	None
Coma, hypoglycemic	None
Hypoglycaemic coma	None
Spinocerebellar tract disease in lower limbs	None
Midline CNS lipomas	None
Midline central nervous system lipomas	None
Neural tube defect	None
Abnormality of neural tube closure	None
T2 hypointense brainstem	None
EEG with central sharp waves	None
Corticospinal signs	None
Abnormal pyramidal sign	None
Pyramidal signs	None
Pyramidal tract signs	None
Fungal meningitis	None
Hippocampal dysgenesis	None
Dysgenesis of the hippocampus	None
Atypical pulmonary carcinoid tumor	None
Short stepped shuffling walk	None
Short stepped shuffling gait	None
EEG: spike and multispike waves, 3-4 hz	None
EEG with polyspike wave complexes	None
Pseudobulbar palsy	None
Pseudobulbar syndrome	None
Pseudobulbar paralysis	None
Increased cerebral lipofuscin	None
Ganglioneuroblastoma	None
Hypoplasia of the frontal lobes	None
Hypoplastic frontal lobes	None
Frontal lobe hypoplasia	None
Underdeveloped frontal lobe	None
Loss of smell	None
Decreased smell sensation	None
Hyposmia	None
Sense of smell impaired	None
Abnormality of hippocampus morphology	None
Abnormal morphology of the hippocampus	None
EEG with occipital sharp slow waves	None
Progressive language deterioration	None
EEG with hyperventilation-induced generalized epileptiform discharges	None
Subcortical heterotopia	None
Generalized tonic-clonic seizures without focal onset	None
Primarily generalised tonic-clonic seizures	None
Primarily generalized tonic-clonic seizures	None
Primary generalised tonic-clonic seizures	None
Generalised tonic-clonic seizures without focal onset	None
Primary generalized tonic-clonic seizures	None
Claustrophobia	None
Inability to coordinate movements when walking	None
Gait ataxia	None
Ataxia of gait	None
Ataxic gait	None
Conspicious happy aspect	None
Happy aspect	None
Conspicuously happy disposition	None
Small pituitary gland	None
Falls	None
Abnormality of the lumbosacral nerve plexus	None
Agenesis of cerebellar vermis	None
Cerebellar vermis aplasia	None
Vermian agenesis	None
Atrophy/Degeneration affecting the cerebrum	None
Negative affectivity	None
Versive seizures	None
Steppage gait	None
'steppage' gait	None
High stepping	None
Paragangliomas	None
Paraganglioma	None
Carotid body tumors	None
Abnormal brain choline level by magnetic resonance spectroscopy	None
Abnormal brain choline level by MRS	None
Jerky movements of the tongue	None
Tongue tremor	None
Delayed walking	None
Delayed ability to walk	None
EEG with photoparoxysmal response grade I	None
Oral aversion	None
Absent/small optic tract	None
Absent/underdeveloped optic tract	None
Aplasia/Hypoplasia of the optic tract	None
Dysfunction of lateral corticospinal tracts	None
Dyskinesis	None
Dyskinesia	None
Disorder of involuntary muscle movements	None
Dyskinesias	None
Decrease in blood pressure upon standing up	None
Postural hypotension	None
Orthostatic hypotension	None
Limited gross motor development	None
Delayed motor skills	None
Developmental delay, gross motor	None
Delayed gross motor development	None
Delayed gross motor skills	None
Gross motor delay	None
Tremor by anatomical site	None
Tremor of a body part	None
Absence seizure	None
Absence seizures	None
Petit mal seizures	None
Brief seizures with staring spells	None
Petit mal seizure	None
Cavitation of the basal ganglia	None
Agraphesthesia	None
Abnormality of pineal morphology	None
Abnormal meningeal morphology	None
Abnormality of the meninges	None
Alarm clock headache	None
Hypnic headache	None
Loss of ability to walk	None
Germinal matrix hemorrhage	None
Grade I preterm intraventricular hemorrhage	None
Severe receptive language delay	None
Subependymal cysts	None
Abnormal morphology of the limbic system	None
Limbic malformation	None
Delayed ability to stand	None
Widened cerebral subarachnoid space	None
Bulbar palsy	None
Bulbar muscle weakness	None
Bulbar weakness	None
Bulbar palsies	None
Neoplasm of the adenohypophysis	None
Neoplasm of the anterior pituitary	None
Neoplasm of the pars anterior	None
Interhemispheric cyst	None
Teeth grinding	None
Bruxism	None
Profound static encephalopathy	None
Cerebellar hemangioblastoma	None
Hemangioblastoma, sporadic cerebellar	None
Persistent repetition of actions	None
Ectopic anterior pituitary gland	None
Abnormal rapid eye movement sleep	None
Abnormal REM sleep	None
DWMH	None
Deep white matter hyperintensities	None
Deep cerebral white matter hyperdensities	None
Difficulty walking backward	None
Scanning speech	None
Explosive speech	None
Skin-picking	None
Dermatillomania	None
Compulsive skin picking	None
Abnormal PNS synaptic transmission	None
Abnormal peripheral nervous system synaptic transmission	None
Abnormal auditory evoked potentials	None
Abnormal brainstem auditory-evoked potentials	None
Brain abscess	None
Frequent temper tantrums	None
Abnormal brainstem MRI signal intensity	None
Myelin outfoldings	None
Irregular myelin foldings	None
Excessive focal folding of myelin sheaths	None
Decreased vigilance	None
Persistent repetition of words	None
Abnormal corpus callosum	None
Abnormality of the corpus callosum	None
Corpus callosum abnormality	None
Abnormal corpus callosum morphology	None
Abnormality of hypothalamus morphology	None
Abnormal hypothalamus morphology	None
Abnormality of the hypothalamus	None
Abnormal shape of hypothalamus	None
Cerebral paralysis	None
CP	None
Cerebral palsy	None
Personality changes	None
Personality change	None
Enlarged brainstem	None
Impaired use of nonverbal behaviors	None
Impaired use of nonverbal behaviours	None
Triplomyelia	None
Triplication of spinal cord	None
Transmantle columnar heterotopia	None
No social interaction	None
Abnormality of the cerebral vasculature	None
Abnormality of the cerebral blood vessels	None
Congenital cerebellar hypoplasia	None
Hypoplastic cerebellum	None
Small cerebellum	None
Underdeveloped cerebellum	None
Cerebellar hypoplasia	None
Hypoplasia of cerebellum	None
Focal EEG discharges with secondary generalization	None
Spasticity of facial muscles	None
Spasticity of the facial muscles	None
Increased stiffness of facial muscles	None
Increased tone of facial muscles	None
Decreased spontaneous movements	None
Hypokinesia	None
Decreased spontaneous movement	None
Decreased muscle movement	None
Anterior encephalocele	None
Spinal myoclonus	None
Psychotic episodes	None
Myasthenic weakness	None
Generalized muscle weakness due to defect at the neuromuscular junction	None
Myasthenia	None
Fatigable weakness	None
Proximal muscle weakness due to defect at the neuromuscular junction	None
Fatigable weakness of limb muscles	None
Peripheral hypermyelination	None
Increased peripheral myelination	None
Response to drugs acting on neuromuscular transmission	None
Spinal cord compression	None
Pressure on spinal cord	None
Distal peripheral sensory neuropathy	None
Peripheral sensory neuropathy, distal	None
Meningioma	None
Noncancerous growth of membranes covering brain	None
Presacral ganglioneuroma	None
Partial tonic seizures	None
Local tonic seizures	None
Focal tonic seizures	None
Self mutilation	None
Deliberate self-harm	None
Self-mutilation	None
Imbalanced walk	None
Abnormality of balance	None
Gait imbalance	None
Abnormality of equilibrium	None
Fluctuations in consciousness	None
Pulmonary paraglioma	None
Writer's cramp	None
Absence of septum pellucidum	None
Absence of the septum pellucidum	None
Agenesis of the septum pellucidum	None
Missing septum pellucidum	None
Absent septum pellucidum	None
Dyssynergia	None
Bilateral basal ganglia lesions	None
Aplasia of the falx cerebri	None
Absent cerebral falx	None
Abnormal thalamic size	None
Slowed slurred speech	None
Hostility	None
Hyperoralia	None
Hyperorality	None
Sleep apnea	None
Sleep apnoea	None
Pauses in breathing while sleeping	None
CNS demyelination	None
Demyelination in central white matter	None
Addictive behavior	None
Focal T2 hypointense thalamic lesion	None
Macrogyria	None
Hypodipsia	None
Neuronal loss	None
Neuronal loss in central nervous system	None
Loss of brain cells	None
Neuronal loss in CNS	None
Underdeveloped cerebrum	None
Small cerebrum	None
Cerebral hypoplasia	None
Upper limb spasticity	None
Uncontrollable movement in upper arms	None
Flat line EEG	None
EEG with generalized slow activity grade 4	None
Reduced brain choline level by magnetic resonance spectroscopy	None
Reduced brain choline level by MRS	None
Diffuse peripheral demyelination	None
tremors in hands	None
Hand tremor	None
Tremor of hands	None
Tremor of hand	None
Corticotropin deficiency	None
ACTH deficiency	None
Adrenocorticotropic hormone deficiency	None
EEG with 4-5/second background activity	None
Vestibular nystagmus	None
EEG with irregular generalized spike and wave complexes	None
Mental retardation	None
Intellectual disability	None
Mental deficiency	None
Mental retardation, nonspecific	None
Mental-retardation	None
Nonprogressive mental retardation	None
Dull intelligence	None
Poor school performance	None
Low intelligence	None
Nonprogressive intellectual disability	None
Hypocalcemic seizures	None
Low calcium seizures	None
Seizures due to hypocalcemia	None
Triangular tongue	None
Triangle shaped tongue	None
Absent muscle fiber emerin	None
Muscle mounding	None
Multiple mtDNA deletions	None
Multiple mitochondrial DNA deletions	None
Paraspinal muscle hypertrophy	None
Flexion contracture of the 2nd toe	None
Joint contractures of the 2nd toe	None
Respiratory muscle weakness	None
Decreased respiratory function due to muscle weakness	None
Respiratory insufficiency due to muscle weakness	None
Decreased lung function due to weak breathing muscles	None
Respiratory failure due to muscle weakness	None
Respiratory distress due to muscle weakness	None
Fatiguable weakness of proximal limb muscles	None
Pectoral muscle hypoplasia/aplasia	None
Small/absent pec muscle	None
Underdeveloped/absent pec muscle	None
Reduced muscle fiber lamin A/C	None
Lethal infantile mitochondrial myopathy	None
Nonprogressive muscular atrophy	None
Underdevelopment of facial muscles	None
Hypotrophic facial musculature	None
Small facial muscles	None
Hypoplasia of facial musculature	None
Deficiency of facial musculature	None
Decreased size of facial muscles	None
Atrophy of facial musculature	None
Reduced muscle fiber beta sarcoglycan	None
Inability to exercise	None
Poor exercise tolerance	None
Decreased ability to exercise	None
Exercise intolerance	None
Abnormality of occipitofrontalis muscle	None
Oral motor hypotonia	None
Tetany	None
Intermittent involuntary muscle spasm	None
Episodic flaccid weakness	None
Severe muscular hypotonia	None
Severely decreased muscle tone	None
Hypotonia, severe	None
Accumulation of muscle fiber valosin-containing protein	None
Weakness of the intrinsic hand muscles	None
Intrinsic hand muscles weakness	None
Thenar muscle atrophy	None
Shoulder muscle degeneration	None
Wasting of shoulder muscles	None
Amyotrophy involving the shoulder musculature	None
EMG: myopathic abnormalities	None
EMG: myopathy	None
Myopathic electromyogram	None
EMG: myopathic changes	None
Abnormality of extrinsic muscle of tongue	None
Abnormality of extrinsic lingual muscle	None
Quadriceps weakness	None
Quadriceps muscle weakness	None
Spinal muscular atrophy	None
Spinal muscle degeneration	None
Spinal muscle wasting	None
Reduced muscle fiber calpain-3	None
Foot drop	None
Foot dorsiflexor weakness	None
Foot extensor weakness	None
Footdrop	None
Perifascicular muscle fiber atrophy	None
Wernicke-Mann gait	None
Spastic hemiparetic gait	None
Triceps weakness	None
Abnormal muscle fiber beta sarcoglycan	None
Asymmetrical buttock crease	None
Asymmetrical gluteal crease	None
Asymmetrical horizontal gluteal crease	None
Asymmetrical gluteal sulcus	None
Camptodactyly of finger	None
Permanent flexion of the finger	None
Camptodactyly of hands	None
Proximal interphalangeal finger joint contractures	None
Contractures of the proximal interphalangeal joints of the fingers	None
Camptodactyly of proximal interphalangeal joint	None
Flexion contractures of proximal interphalangeal joints	None
Upper limb muscle hypoplasia	None
Underdevelopment of upper limb muscles	None
Muscle haemorrhage	None
Bilateral camptodactyly	None
Facial muscle weakness of muscles innervated by CN VII	None
Facial palsy, unilateral or bilateral	None
Facial nerve palsy	None
Facial palsy	None
Cranial nerve VII palsy	None
Seventh cranial nerve palsy	None
VII th cranial nerve palsy	None
Bell's palsy	None
Facial nerve paralysis	None
Thenar muscle weakness	None
Late-onset muscular dystrophy	None
Abnormal muscle fiber dystrophin expression	None
Muscular edema	None
Muscle issues in the shoulder	None
Abnormality of the shoulder musculature	None
Abnormal morphology of the shoulder musculature	None
Myasthenic weakness	None
Generalized muscle weakness due to defect at the neuromuscular junction	None
Myasthenia	None
Fatigable weakness	None
Proximal muscle weakness due to defect at the neuromuscular junction	None
Fatigable weakness of limb muscles	None
Acute infantile spinal muscular atrophy	None
Leg muscle stiffness	None
Flexion contracture of toe	None
Toe contractures	None
Contractures involving the toes	None
Contractures of the toes	None
Spastic paraparetic gait	None
