Abnormality of taste sensation	HP:0000223
Abnormal brain choline level by MRS	HP:0025047
Reduced brain choline level by magnetic resonance spectroscopy	HP:0025048
Reduced brain choline level by MRS	HP:0025048
Abnormal brain creatine level by MRS	HP:0025049
Abnormal brain creatine level by magnetic resonance spectroscopy	HP:0025049
Elevated brain creatine level by magnetic resonance spectroscopy	HP:0025050
Elevated brain creatine level by MRS	HP:0025050
Reduced brain creatine level by MRS	HP:0025051
Reduced brain creatine level by magnetic resonance spectroscopy	HP:0025051
Abnormal brain N-acetyl aspartate level by magnetic resonance spectroscopy	HP:0025052
Abnormal brain N-acetyl aspartate level by MRS	HP:0025052
Elevated brain N-acetyl aspartate level by MRS	HP:0025053
Elevated brain N-acetyl aspartate level by magnetic resonance spectroscopy	HP:0025053
Abnormality of olfactory lobe morphology	HP:0025057
Hypothalamic atrophy	HP:0025058
Atrophy of the hypothalamus	HP:0025058
Partial or complete wasting (loss) of hypothalamus tissue that was once present.	HP:0025058
Geophagy	HP:0025062
Geophagia	HP:0025062
Thalamic haemorrhage	HP:0025064
Thalamic hemorrhage	HP:0025064
Eyelid myoclonia	HP:0025097
Blepharoclonus	HP:0025097
Eyelid myoclonus	HP:0025097
Hypothalamic dysgenesis	HP:0025098
Dysgenesis of the hypothalamus	HP:0025098
Dysgenesis of the thalamus	HP:0025099
Thalamic dysgenesis	HP:0025099
Abnormality of hippocampus morphology	HP:0025100
Abnormal morphology of the hippocampus	HP:0025100
Hippocampal dysgenesis	HP:0025101
Dysgenesis of the hippocampus	HP:0025101
Dysgenesis of the basal ganglia	HP:0025102
Basal ganglia dysgenesis	HP:0025102
Noise sensitivity	HP:0025112
Sound sensitivity	HP:0025112
Misophonia	HP:0025113
Simple partial occipital seizures	HP:0025121
Hypoganglionosis	HP:0025150
Ganglioneuromatosis	HP:0025151
Abnormal temper tantrums	HP:0025160
Frequent temper tantrums	HP:0025161
Severe temper tantrums	HP:0025162
Neuronal/glioneuronal neoplasm of the central nervous system	HP:0025170
Neuronal and mixed neuronal-glial tumor	HP:0025170
Glioneuronal tumor	HP:0025170
Neuronal/glioneuronal neoplasm of the CNS	HP:0025170
Rosette-forming glioneuronal tumour	HP:0025171
Rosette-forming glioneuronal tumor of the fourth ventricle	HP:0025171
Rosette-forming glioneuronal tumor	HP:0025171
Rosette-forming glioneuronal neoplasm	HP:0025171
Generalized tonic-clonic seizures without focal onset	HP:0025190
Primarily generalised tonic-clonic seizures	HP:0025190
Primarily generalized tonic-clonic seizures	HP:0025190
Primary generalised tonic-clonic seizures	HP:0025190
Generalised tonic-clonic seizures without focal onset	HP:0025190
Primary generalized tonic-clonic seizures	HP:0025190
Segmental myoclonic seizures	HP:0025191
Subtentorial periventricular white matter hyperdensity	HP:0025192
Sleep paralysis	HP:0025233
Parasomnia	HP:0025234
NREM parasomnia	HP:0025235
Non-rapid eye movement parasomnia	HP:0025235
Sleep walking	HP:0025236
Somnambulism	HP:0025236
Confusional arousal	HP:0025237
Claustrophobia	HP:0025253
Snoring symptoms	HP:0025267
Snores	HP:0025267
Snoring	HP:0025267
Snore	HP:0025267
Stuttering	HP:0025268
Stammering	HP:0025268
Panic attack	HP:0025269
Delayed ability to stand	HP:0025335
Delayed ability to sit	HP:0025336
Motormental retardation	HP:0025356
Psychomotor retardation	HP:0025356
Psychomotor impairment	HP:0025356
Psychomotor slowing	HP:0025356
Fragmentary myoclonus	HP:0025357
Erratic myoclonus	HP:0025357
Loud snoring	HP:0025372
Heavy snoring	HP:0025372
Have loud snoring	HP:0025372
Snores loudly	HP:0025372
Has loud snoring	HP:0025372
Interictal EEG abnormality	HP:0025373
Hypodipsia	HP:0025382
Pill rolling	HP:0025387
Pill-rolling tremor	HP:0025387
Stooped posture	HP:0025403
Decrease in amygdala volume	HP:0025444
Reduced amygdala volume	HP:0025444
Abnormal CSF metabolite level	HP:0025454
Low CSF 5-hydroxyindolacetic acid	HP:0025455
Low CSF 5-HIAA	HP:0025455
Decreased CSF 5-HIAA	HP:0025455
Decreased CSF 5-hydroxyindolacetic acid	HP:0025455
Abnormal CSF protein level	HP:0025456
Low CSF total protein	HP:0025457
Hypoproteinorrhachia	HP:0025457
Decreased CSF protein	HP:0025457
Decreased cerebrospinal fluid total protein	HP:0025457
Low CSF albumin	HP:0025458
CSF albumin level is below the lower limit of normal.	HP:0025458
Decreased CSF albumin concentration	HP:0025458
Increased CSF/serum albumin ratio	HP:0025459
High myoinositol in brain by MRS	HP:0025460
High myo-inositol in brain by MRS	HP:0025460
Self-neglect	HP:0025479
Lipomyelomeningocele	HP:0025480
Underdeveloped hippocampus	HP:0025517
Hypoplastic hippocampus	HP:0025517
Small hippocampus	HP:0025517
Focal emotional seizure	HP:0025613
Tarlov cyst	HP:0025643
Perineural cyst	HP:0025643
Abnormality of lateral ventricle	HP:0030047
Colpocephaly	HP:0030048
Brain abscess	HP:0030049
Narcolepsy	HP:0030050
Walking on tiptoes	HP:0030051
Tip-toe gait	HP:0030051
Olfactory esthesioneuroblastoma	HP:0030068
Chemodectoma	HP:0030074
Chemodectomas	HP:0030074
Punctate periventricular T2 hyperintense foci	HP:0030081
Abnormal drinking behavior	HP:0030082
Salt craving	HP:0030083
Abnormal CSF lactate level	HP:0030085
Hypolactatorachia	HP:0030086
Reduced CSF lactate	HP:0030086
Truncal titubation	HP:0030147
Peripheral amyelination	HP:0030172
Peripheral hypermyelination	HP:0030173
Increased peripheral myelination	HP:0030173
Increased peripheral myelin thickness	HP:0030174
Tomacula	HP:0030175
Myelin tomacula	HP:0030175
Asymmetric peripheral demyelination	HP:0030176
Abnormal nerve conduction study	HP:0030177
Abnormality of peripheral nervous system electrophysiology	HP:0030177
Abnormality of central nervous system electrophysiology	HP:0030178
Abnormality of CNS electrophysiology	HP:0030178
Abnormal peripheral action potential amplitude	HP:0030179
Oppenheim reflex	HP:0030180
Oppenheim sign	HP:0030180
Gordon reflex	HP:0030181
Gordon sign	HP:0030181
Tetraplegia/tetraparesis	HP:0030182
Isometric tremor	HP:0030185
Dystonia tremor	HP:0030185
Kinetic tremor	HP:0030186
Essential tremor	HP:0030186
Titubation	HP:0030187
Tremor by anatomical site	HP:0030188
Tremor of a body part	HP:0030188
Abnormal PNS synaptic transmission	HP:0030191
Abnormal peripheral nervous system synaptic transmission	HP:0030191
Fatigable weakness of bulbar muscles	HP:0030192
Fatigable weakness of chewing muscles	HP:0030193
Fatigable weakness of speech muscles	HP:0030194
Fatigable weakness of swallowing muscles	HP:0030195
Fatigable weakness of respiratory muscles	HP:0030196
Fatigable weakness of skeletal muscles	HP:0030197
Fatigable weakness of distal limb muscles	HP:0030198
Fatigable weakness of neck muscles	HP:0030199
Fatiguable weakness of proximal limb muscles	HP:0030200
Response to drugs acting on neuromuscular transmission	HP:0030201
Favorable response of weakness to acetylcholine esterase inhibitors	HP:0030202
Unfavorable response of muscle weakness to acetylcholine esterase inhibitors	HP:0030203
Collectionism	HP:0030212
Compulsive hoarding	HP:0030212
Emotional blunting	HP:0030213
Hypersexuality	HP:0030214
Sex addiction	HP:0030214
Inappropriate crying	HP:0030215
Inertia	HP:0030216
Limb apraxia	HP:0030217
Punding	HP:0030218
Trouble remembering words	HP:0030219
Semantic dementia	HP:0030219
Socially inappropriate behavior	HP:0030220
Sweet craving	HP:0030221
Visual agnosia	HP:0030222
Perseverative behavior	HP:0030223
Perseverative behaviour	HP:0030223
Perseveration	HP:0030223
Partial absence of the septum pellucidum	HP:0030283
Splayed superior cerebellar peduncle	HP:0030285
Atrophic superior cerebellar peduncle	HP:0030286
Abnormality of the anterior commissure	HP:0030301
Agenesis of the anterior commissure	HP:0030302
Hypoplastic anterior commissure	HP:0030303
Cervicomedullary schisis	HP:0030325
Spoken Word Recognition Deficit	HP:0030391
Choroid plexus carcinoma	HP:0030392
Glucagonoma	HP:0030404
Pancreatic endocrine tumor	HP:0030405
Pineocytoma	HP:0030407
Pineoblastoma	HP:0030408
Pinealoblastoma	HP:0030408
Neuroma	HP:0030430
Nerve tumor	HP:0030430
Pinched nerve	HP:0030430
Lung carcinoid tumor	HP:0030445
Pulmonary carcinoid tumor	HP:0030445
Atypical pulmonary carcinoid tumor	HP:0030446
Neuroplasm of the autonomic nervous system	HP:0030450
Holmes' tremor	HP:0030665
Rubral tremor	HP:0030665
Brain tumor	HP:0030692
Brain tumour	HP:0030692
Brain neoplasm	HP:0030692
Pineal parenchymal tumour	HP:0030693
Supratentorial neoplasm	HP:0030693
Pineal parenchymal tumor	HP:0030693
Pineal parenchymal cell neoplasm	HP:0030694
Myeloschisis	HP:0030708
Myelocystocele	HP:0030709
Lipomeningocele	HP:0030710
Vein of Galen aneurysm	HP:0030713
Median prosencephalic arteriovenous fistula	HP:0030713
Vein of Galen malformation	HP:0030713
Vein of Galen aneurysmal malformation	HP:0030713
Cyst of the central nervous system	HP:0030724
CNS cyst	HP:0030724
Central nervous system cyst	HP:0030724
Neurenteric cyst	HP:0030725
Spinal neurenteric cyst	HP:0030726
Intracranial neurenteric cyst	HP:0030727
Frontoethmoid meningocele	HP:0030729
Frontoethmoidal meningocele	HP:0030729
Parietal meningocele	HP:0030730
Intraventricular hemorrhage	HP:0030746
Preterm intraventricular hemorrhage	HP:0030747
Germinal matrix hemorrhage	HP:0030748
Grade I preterm intraventricular hemorrhage	HP:0030748
Grade II preterm intraventricular hemorrhage	HP:0030749
Grade III preterm intraventricular hemorrhage	HP:0030750
Grade IV preterm intraventricular hemorrhage	HP:0030751
Sleep terror	HP:0030765
Night terror	HP:0030765
Sleep terrors	HP:0030765
Pavor nocturnus	HP:0030765
Exencephaly	HP:0030769
Craniorachischisis	HP:0030770
Ethmocephaly	HP:0030779
Anomic aphasia	HP:0030784
Amnestic aphasia	HP:0030784
Anomia	HP:0030784
Amnesic aphasia	HP:0030784
Nominal aphasia	HP:0030784
Reduced volume of central subdivision of bed nucleus of stria terminalis	HP:0030797
Abnormality of the bed nucleus of stria terminalis	HP:0030798
Choking episodes	HP:0030842
Addictive behavior	HP:0030858
Abnormal CSF A[beta]42 level	HP:0030860
Abnormal CSF amyloid level	HP:0030860
Decreased CSF amyloid level	HP:0030861
Elevated CSF amyloid level	HP:0030862
White matter hyperintensity	HP:0030890
Hyperintensity of cerebral white matter on MRI	HP:0030890
Periventricular cerebral white matter hyperdensities	HP:0030891
Periventricular white matter hyperdensities	HP:0030891
PVWMH	HP:0030891
Periventricular white matter hyperintensities	HP:0030891
DWMH	HP:0030892
Deep white matter hyperintensities	HP:0030892
Deep cerebral white matter hyperdensities	HP:0030892
Palmomental reflex	HP:0030902
Palmar grasp reflex	HP:0030903
Grasp reflex	HP:0030903
Myerson's sign	HP:0030904
Glabellar reflex	HP:0030904
Snout reflex	HP:0030905
Persistent  nutritive  suckle  swallow	HP:0030906
Suck reflex	HP:0030906
Thunderclap headache	HP:0030907
Cerebellar oedema	HP:0030915
Cerebellar edema	HP:0030915
Oedema of the cerebellum	HP:0030915
Edema of the cerebellum	HP:0030915
Enteric intraneuronal nuclear inclusion bodies	HP:0030938
Alcoholism	HP:0030955
Vaulted pontine tegmentum	HP:0030975
Pontine tegmental cap	HP:0030975
Decreased CSF/serum albumin ratio	HP:0030978
Reduced brain glutamine level by MRS	HP:0030980
Abnormal CSF/serum albumin ratio	HP:0030981
Cerebrospinal fluid rhinorrhoea	HP:0030998
CSF rhinorrhoea	HP:0030998
Minifascicle formation	HP:0031001
Neuritis	HP:0031002
Multiple neuritis	HP:0031003
Polyneuritis	HP:0031003
Hemiareflexia	HP:0031004
Hyperalgesia	HP:0031005
Acroparesthesia	HP:0031006
Jaw dystonia induced by speaking	HP:0031007
Orofacial action-specific dystonia induced by speech	HP:0031007
Lingual dystonia	HP:0031008
Tongue dystonia	HP:0031008
Multiple mucosal neuromas	HP:0031023
Fusiform cerebral aneurysm	HP:0031056
Intracranial fusiform aneurysm	HP:0031056
Abnormal circulating thyrotropin concentration	HP:0031097
Abnormal TSH level	HP:0031097
Abnormal thyrotropin level	HP:0031097
Abnormal thyroid-stimulating hormone level	HP:0031097
Decreased plasma TSH	HP:0031098
Decreased thyrotropin level	HP:0031098
Decreased thyroid-stimulating hormone level	HP:0031098
Impaired oral bolus formation	HP:0031146
Reduced brain glutamate level by MRS	HP:0031161
Impaired oropharyngeal swallow response	HP:0031162
Multifocal seizures	HP:0031165
Multifocal onset seizures	HP:0031165
Eyelid myokymia	HP:0031166
Orbicularis myokymia	HP:0031166
Myokymia orbicularis	HP:0031166
Striatal T2 hyperintensity	HP:0031206
Parageusia	HP:0031249
Dysgeusia	HP:0031249
Metallic taste in mouth	HP:0031249
Metallic taste	HP:0031249
Thalamic arteriovenous malformation	HP:0031254
Hypothalamic arteriovenous malformation	HP:0031255
Delirium	HP:0031258
Sleep onset Insomnia	HP:0031354
Maintenance insomnia	HP:0031355
Late insomnia	HP:0031356
Terminal insomnia	HP:0031356
Vegetative state	HP:0031358
Small superior frontal cortex	HP:0031421
Abnormal morphology of the cerebellar cortex	HP:0031422
Small cerebellar cortex	HP:0031423
Persistent repetition of words	HP:0031431
Persistent repetition of actions	HP:0031432
Alexithymia	HP:0031433
Unaware of others' emotions	HP:0031433
Presacral ganglioneuroma	HP:0031455
Impairment in personality functioning	HP:0031466
Negative affectivity	HP:0031467
Separation insecurity	HP:0031468
Low self esteem	HP:0031469
Risk taking	HP:0031472
Hostility	HP:0031473
Nonconvulsive status epilepticus	HP:0031475
Continuous spike and waves during slow sleep	HP:0031491
CSWS	HP:0031491
Absent posterior alpha rhythm	HP:0031518
Increased theta frequency activity in EEG	HP:0031535
Unhappy demeanor	HP:0031588
Suicidal ideation	HP:0031589
Globus pallidus calcification	HP:0031627
Impaired tandem gait	HP:0031629
Clumsy tandem walking	HP:0031629
Abnormal posterior circulating artery morphology	HP:0031772
Posterior communicating artery aneurysm	HP:0031773
Posterior communicating artery infundibulum	HP:0031774
Palilalia	HP:0031814
Freezing gait	HP:0031825
Freezing of gait	HP:0031825
Abnormal reflex	HP:0031826
Abdominal reflex absent	HP:0031827
Absent abdominal reflex	HP:0031827
Abnormal superficial reflex	HP:0031828
Absent cremasteric reflex	HP:0031829
Absent cremaster reflex	HP:0031829
Bradyphrenia	HP:0031843
Slowness of thought	HP:0031843
Euphoria	HP:0031844
Difficulty walking backward	HP:0031847
Cock-walk gait	HP:0031848
Sleep-wake inversion	HP:0031849
Hobby horse gait	HP:0031856
Clasp-knife sign	HP:0031866
Neck hypertonia	HP:0031867
Optic ataxia	HP:0031868
Early chronotype	HP:0031873
Early sleep onset	HP:0031873
Late sleep onset	HP:0031874
Late chronotype	HP:0031874
Agyria diffuse	HP:0031882
Agyria	HP:0031882
Abnormal CSF glucose level	HP:0031884
Hyperglycorrhachia	HP:0031885
Micrographia	HP:0031908
Abnormal cranial nerve physiology	HP:0031910
Abnormal fifth cranial nerve physiology	HP:0031911
Trigeminal anesthesia	HP:0031912
Trigeminal anaesthesia	HP:0031912
Rhombencephalosynapsis	HP:0031913
Delayed walking	HP:0031936
Delayed ability to walk	HP:0031936
Tachylalia	HP:0031937
Tachylogia	HP:0031937
Abnormal conus terminalis morphology	HP:0031938
Abnormal conus medullaris morphology	HP:0031938
Conus terminalis arteriovenous malformation	HP:0031939
Akathisia	HP:0031943
Jerky movements of the tongue	HP:0031947
Tongue tremor	HP:0031947
Snowball lesion of corpus callosum	HP:0031948
Sleep seizures	HP:0031951
Nocturnal seizures	HP:0031951
Neurogenic claudication	HP:0031952
Senile gait	HP:0031953
Cautious gait	HP:0031953
Dystonic gait	HP:0031954
Limp	HP:0031955
Antalgic gait	HP:0031955
Wernicke-Mann gait	HP:0031957
Spastic hemiparetic gait	HP:0031957
Spastic paraparetic gait	HP:0031958
Leg dystonia	HP:0031959
Arm dystonia	HP:0031960
Abnormal putamen morphology	HP:0031982
Polyminimyoclonus	HP:0031986
Lack of concentration	HP:0031987
Diminished ability to concentrate	HP:0031987
Poor concentration	HP:0031987
Chvostek sign	HP:0031990
Hoffmann sign	HP:0031993
Hemidystonia	HP:0032005
Lip tremor	HP:0032006
Multiple mononeuropathy	HP:0032018
Mononeuritis multiplex	HP:0032018
Decreased vigilance	HP:0032044
Focal cortical dysplasia	HP:0032046
Focal cortical dysplasia is one of the most common entities associated with refractory epilepsy, especially in childhood.	HP:0032046
Focal cortical dysplasia type I	HP:0032047
Focal cortical dysplasia type Ia	HP:0032048
Focal cortical dysplasia type Ib	HP:0032049
Focal cortical dysplasia type Ic	HP:0032050
Focal cortical dysplasia type II	HP:0032051
Focal cortical dysplasia type IIa	HP:0032052
Focal cortical dysplasia type IIb	HP:0032053
Focal cortical dysplasia type III	HP:0032054
Focal cortical dysplasia type IIIa	HP:0032055
Focal cortical dysplasia type IIIb	HP:0032056
Focal cortical dysplasia type IIIc	HP:0032057
Focal cortical dysplasia type IIId	HP:0032058
Mild malformation of cortical development	HP:0032059
Leptomeningeal enhancement	HP:0032070
Abnormal peripheral nervous system physiology	HP:0032120
Froment thumb sign	HP:0032121
Froment sign	HP:0032121
Sural nerve atrophy	HP:0032145
Atrophy of sural nerve	HP:0032145
Fungal meningitis	HP:0032159
Cryptococcal meningitis	HP:0032160
Coccidioidal meningitis	HP:0032161
Empty delta sign	HP:0032267
Dural tail sign	HP:0032268
Lacunar stroke	HP:0032325
Interhemispheric cyst	HP:0032327
Abnormal cerebrospinal fluid amino acid level	HP:0032364
Abnormal CSF amino acid level	HP:0032364
Periventricular nodular heterotopia	HP:0032388
Periventricular laminar heterotopia	HP:0032389
Periventricular ribbonlike heterotopia	HP:0032390
Subcortical heterotopia	HP:0032391
Nodular subcortical heterotopia in peritrigonal regions	HP:0032392
Diffuse ribbon-like subcortical heterotopia	HP:0032393
Mesial parasagittal subcortical heterotopia	HP:0032394
Giant heterotopia	HP:0032395
Curvilinear subcortical heterotopia	HP:0032395
Transmantle columnar heterotopia	HP:0032396
Dysgyria	HP:0032398
Dysgyria with normal cortical thickness	HP:0032399
Dysgyria with thickened cortex	HP:0032400
Unilateral perisylvian polymicrogyria	HP:0032406
Bilateral perisylvian polymicrogyria	HP:0032407
Subcortical band heterotopia	HP:0032409
Bilateral generalized polymicrogyria	HP:0032410
Diffuse polymicrogyria	HP:0032410
Occipital subcortical band heterotopia	HP:0032411
Posterior predominant subcortical band heterotopia	HP:0032411
Subcortical band heterotopia posterior predominant	HP:0032411
Frontal subcortical band heterotopia	HP:0032412
Subcortical band heterotopia anterior predominant	HP:0032412
Anterior predominant subcortical band heterotopia	HP:0032412
Diffuse subcortical band heterotopia	HP:0032413
Subcortical band heterotopia diffuse	HP:0032413
Parasagittal parieto-occipital polymicrogyria	HP:0032415
Unlayered lissencephaly	HP:0032456
2-3-layered lissencephaly	HP:0032457
Olfactory bulb aplasia	HP:0032466
Aplastic olfactory bulb	HP:0032466
Aplasia of the olfactory bulb	HP:0032466
Focal polymicrogyria	HP:0032471
6-layered lissencephaly	HP:0032475
Lateral spinal meningocele	HP:0032478
Barber chair phenomenon	HP:0032504
Lhermitte's sign	HP:0032504
Lhermitte's phenomenon	HP:0032504
Hydrophobia	HP:0032505
Alien limb phenomenon	HP:0032506
Fasciculations, labiomental	HP:0032507
Labiomental fasciculations	HP:0032507
Polyembolokoilamania	HP:0032508
Onychotillomania	HP:0032509
Self hugging	HP:0032521
Spasmodic upper-body squeeze	HP:0032521
Persistent asymmetrical tonic neck reflex	HP:0032549
Tonic neck reflex asymmetrical and persistent	HP:0032549
Persistent fencer's reflex	HP:0032549
Hypopituitarism	HP:0040075
Axonal degeneration	HP:0040078
Happy demeanor	HP:0040082
Toe-walking	HP:0040083
Toe walking	HP:0040083
Abnormal prolactin level	HP:0040086
Nerve conduction abnormalities	HP:0040129
Abnormal nerve conduction velocities	HP:0040129
Abnormal nerve conduction velocity	HP:0040129
Abnormal nerve conduction	HP:0040129
Abnormal motor nerve conduction velocity	HP:0040131
Abnormal sensory nerve conduction velocity	HP:0040132
Degeneration of the striatum	HP:0040140
Tardive dyskinesia	HP:0040141
Cortical myoclonus	HP:0040148
Seizures, partial, afebrile	HP:0040168
Focal seizures, afebril	HP:0040168
Encephalomalacia	HP:0040197
Cerebral softening	HP:0040197
Negative chorea	HP:0040200
Motor impersistence	HP:0040200
Simultanapraxia	HP:0040201
Abnormal consumption behavior	HP:0040202
Abnormal CSF neopterin level	HP:0040203
Elevated CSF neopterin level	HP:0040204
Decreased CSF neopterin level	HP:0040205
Abnormal CSF biopterin level	HP:0040207
Abnormal cerebrospinal fluid biopterin level	HP:0040207
Elevated CSF biopterin level	HP:0040208
Decreased CSF biopterin level	HP:0040209
Low CSF BH4 (tetrahydrobiopterin)	HP:0040209
Hyperintensity of MRI T2 signal of the spinal cord	HP:0040272
Prolactinoma	HP:0040278
Hemiplegia (left)	HP:0040292
Left hemiplegia	HP:0040292
Right hemiplegia	HP:0040293
Hemiplegia (right)	HP:0040293
Hypoplastic olfactory bulb	HP:0040326
Hypoplasia of olfactory bulb	HP:0040326
Hypoplasia of the olfactory bulb	HP:0040326
Abnormal morphology of the olfactory bulb	HP:0040327
Focal hyperintensity of cerebral white matter on MRI	HP:0040328
Multifocal hyperintensity of cerebral white matter on MRI	HP:0040329
Confluent hyperintensity of cerebral white matter on MRI	HP:0040330
Focal hypointensity of cerebral white matter on MRI	HP:0040331
Multifocal hypointensity of cerebral white matter on MRI	HP:0040332
Confluent hypointensity of cerebral white matter on MRI	HP:0040333
Neutrophil nuclear clefts	HP:0041043
Neural tube defect	HP:0045005
Abnormality of neural tube closure	HP:0045005
Abnormality of the substantia nigra	HP:0045007
Abnormality of peripheral nerves	HP:0045010
Type III lissencephaly	HP:0045028
Microlissencephaly	HP:0045028
Type 3 lissencephaly	HP:0045028
Lissencephaly type III	HP:0045028
Abnormality of the brachial nerve plexus	HP:0045052
Abnormality of the lumbosacral nerve plexus	HP:0045053
Brachial plexus neuropathy	HP:0045054
Limb myoclonus	HP:0045084
Myoclonus of limbs	HP:0045084
Neoplasm of the central nervous system	HP:0100006
Neoplasia of the central nervous system	HP:0100006
Tumors of the central nervous system	HP:0100006
Neoplasm of the CNS	HP:0100006
Neoplasm of the peripheral nervous system	HP:0100007
Tumor of the peripheral nervous system	HP:0100007
Neurinoma	HP:0100008
Schwann cell tumor	HP:0100008
Neurilemmoma	HP:0100008
Schwannoma	HP:0100008
Schwann cell tumour	HP:0100008
Schwannomas	HP:0100008
Neurolemmoma	HP:0100008
Intracranial meningioma	HP:0100009
Spinal meningioma	HP:0100010
Scleral schwannoma	HP:0100011
Cerebral paralysis	HP:0100021
CP	HP:0100021
Cerebral palsy	HP:0100021
Movement disorder	HP:0100022
Unusual movement	HP:0100022
Abnormality of movement	HP:0100022
Recurrent hand flapping	HP:0100023
Conspicious happy aspect	HP:0100024
Happy aspect	HP:0100024
Conspicuously happy disposition	HP:0100024
Overfriendliness	HP:0100025
Tics	HP:0100033
Tic disorder	HP:0100033
Motor tics	HP:0100034
Vocal tics	HP:0100035
Verbal tics	HP:0100035
Phonic tics	HP:0100035
Ballismus	HP:0100248
Hemiballismus	HP:0100248
Meningeal calcification	HP:0100250
Lipomas of the central nervous system	HP:0100251
Multiple central nervous system lipomas	HP:0100251
Braindruse	HP:0100256
Senile plaques	HP:0100256
Neuritic plaques	HP:0100256
Senile druse	HP:0100256
Gustatory lacrimation	HP:0100274
Diffuse cerebellar atrophy	HP:0100275
EMG: myokymic discharges	HP:0100288
Abnormality of peripheral somatosensory evoked potentials	HP:0100290
Abnormality of central somatosensory evoked potentials	HP:0100291
Amyloidosis of peripheral nerves	HP:0100292
Cerebellar hemisphere hypoplasia	HP:0100307
Cerebral cortical hemiatrophy	HP:0100308
Subdural haematoma	HP:0100309
Subdural hemorrhage	HP:0100309
Epidural haematoma	HP:0100310
Epidural hemorrhage	HP:0100310
Extradural hematoma	HP:0100310
Epidural hematoma	HP:0100310
Extradural haematoma	HP:0100310
Cerebral ventricular adhesions	HP:0100311
Cerebral germinoma	HP:0100312
Cerebral granulomatosis	HP:0100313
Cerebral inclusion bodies	HP:0100314
Lewy bodies	HP:0100315
Lewy body disease	HP:0100315
Hirano bodies	HP:0100316
Agyrophilic inclusion bodies	HP:0100317
Pick inclusion bodies	HP:0100317
Argyrophilic inclusion bodies	HP:0100317
Lafora bodies	HP:0100318
Cerebral colloid bodies	HP:0100319
Cerebral hyaline bodies	HP:0100319
Rosenthal fibres	HP:0100320
Abnormality of the dentate nucleus	HP:0100321
Absent pyramidal tract	HP:0100322
Aplasia of the pyramidal tract	HP:0100322
Cognitive defects	HP:0100543
Cognitive abnormality	HP:0100543
Mental impairment	HP:0100543
Cognitive impairment	HP:0100543
Intellectual impairment	HP:0100543
Abnormality of cognition	HP:0100543
Cognitive deficits	HP:0100543
Abnormality of forebrain morphology	HP:0100547
Abnormality of the forebrain	HP:0100547
Abnormal shape of forebrain	HP:0100547
Spinal cord lesion	HP:0100561
Diplomyelia	HP:0100562
Duplication of spinal cord	HP:0100562
Diastomatomyelia	HP:0100563
Triplomyelia	HP:0100564
Triplication of spinal cord	HP:0100564
Hydromyelia	HP:0100565
Absent spinal cord	HP:0100566
Amyelia	HP:0100566
Carcinoid	HP:0100570
Carcinoid tumor	HP:0100570
Carcinoid tumors	HP:0100570
Neuroendocrine neoplasm	HP:0100634
Neuroendocrine neoplasia	HP:0100634
Carotid paraganglioma	HP:0100635
Pulmonary paraglioma	HP:0100636
Abnormality of the cerebral vasculature	HP:0100659
Abnormality of the cerebral blood vessels	HP:0100659
Dyskinesis	HP:0100660
Dyskinesia	HP:0100660
Disorder of involuntary muscle movements	HP:0100660
Dyskinesias	HP:0100660
Trigeminal neuralgia	HP:0100661
Tic douloureux	HP:0100661
Subcutaneous neurofibromas	HP:0100698
Abnormality of the arachnoidea	HP:0100700
Abnormality of the arachnoid mater	HP:0100700
Abnormal arachnoid mater morphology	HP:0100700
Abnormal pia mater	HP:0100701
Abnormality of the pia mater	HP:0100701
Fluid-filled sac located in membrane surrounding brain or spinal cord	HP:0100702
Arachnoid cyst	HP:0100702
Arachnoid cysts	HP:0100702
Tongue thrusting	HP:0100703
Abnormality of the glial cells	HP:0100705
Abnormality of the oligodendroglia	HP:0100706
Abnormality of the astrocytes	HP:0100707
Abnormality of the microglia	HP:0100708
Reduction of oligodendroglia	HP:0100709
Impulsive	HP:0100710
Impulsivity	HP:0100710
Autoagression	HP:0100716
Self-injurious behavior	HP:0100716
Self-harm	HP:0100716
Self-injurious behaviors	HP:0100716
Self injury	HP:0100716
Self-injurious behaviour	HP:0100716
Abnormal eating behavior	HP:0100738
Bulimia	HP:0100739
Binge and purge	HP:0100739
Schizophrenia	HP:0100753
Mania	HP:0100754
Manic	HP:0100754
Dural ectasia	HP:0100775
Fragmented sleep	HP:0100785
Insomnia	HP:0100785
Difficulty staying or falling asleep	HP:0100785
Hypersomnia	HP:0100786
Excessive sleepiness	HP:0100786
Benign neoplasm of the CNS	HP:0100835
Benign neoplasm of the central nervous system	HP:0100835
Malignant neoplasm of the CNS	HP:0100836
Malignant neoplasm of the central nervous system	HP:0100836
Septo-optic dysplasia	HP:0100842
De Morsier syndrome	HP:0100842
Abnormal emotion/affect behavior	HP:0100851
Abnormal emotion/affect behaviour	HP:0100851
Abnormal fear/anxiety-related behavior	HP:0100852
Enlarged basal cistern	HP:0100951
Enlarged interpeduncular cistern	HP:0100951
Enlarged fossa interpeduncularis	HP:0100951
Enlarged lateral sulcus	HP:0100952
Enlarged sylvian cistern	HP:0100952
Enlarged sylvian fissure	HP:0100952
Enlarged lateral fissure	HP:0100952
Enlarged great longitudinal fissure	HP:0100953
Enlarged interhemispheric fissure	HP:0100953
Enlarged longitudinal cerebral fissure	HP:0100953
Enlarged longitudinal fissure	HP:0100953
